 	il	m'	a	beaucoup	fait	marcher	</S>
a87	0.345035	0.272562	0.146373	0.10274	0.0629779	0.0380438	0.0322673
a23	0.307991	0.187956	0.120927	0.123037	0.100867	0.0829224	0.0763006
a87	0.222592	0.192	0.153803	0.136347	0.0908902	0.0930766	0.111291
a23	0.20754	0.168705	0.126548	0.11222	0.092668	0.120567	0.171751
a53	0.218873	0.179004	0.12048	0.100674	0.092583	0.13134	0.157045
a15	0.346267	0.268465	0.136518	0.0705959	0.0471904	0.056438	0.0745255
a79	0.288915	0.27008	0.175498	0.0925873	0.05806	0.054898	0.0599611
a93	0.224682	0.247907	0.17427	0.0965448	0.0685278	0.0768541	0.111214
a75	0.129319	0.176657	0.171816	0.113967	0.0969066	0.11865	0.192684
a34	0.118997	0.157337	0.157185	0.116756	0.105143	0.129648	0.214933
a70	0.11256	0.153189	0.181788	0.145326	0.113927	0.115746	0.177464
a0	0.0711855	0.0799925	0.126618	0.151711	0.14556	0.165975	0.258958
a62	0.0522373	0.0440978	0.0713973	0.119721	0.166809	0.216516	0.329221
a75	0.0301397	0.0273515	0.0535309	0.120795	0.207061	0.230179	0.330943
a25	0.0244434	0.0230784	0.0339445	0.0546337	0.106432	0.21714	0.540328
a90	0.0205085	0.0199232	0.0319898	0.0615878	0.137253	0.256831	0.471907
a34	0.0142575	0.0110616	0.021242	0.0484167	0.128546	0.250677	0.525798
a21	0.0107641	0.00939976	0.0184747	0.0383653	0.0998402	0.224207	0.598949
a62	0.0096562	0.00771157	0.0139132	0.0268571	0.0679832	0.200481	0.673398
a83	0.00517682	0.00399714	0.00651111	0.0153466	0.0480249	0.194546	0.726397
a71	0.00267751	0.00209845	0.00372076	0.0103469	0.0411431	0.183674	0.756339
a9	0.0196099	0.01242	0.0160667	0.0298861	0.0822204	0.215633	0.624164
a87	0.116646	0.0623865	0.0605034	0.0727809	0.109151	0.16288	0.415653
a10	0.246122	0.122857	0.0827918	0.0819307	0.09917	0.146208	0.220921
a87	0.137961	0.0752514	0.0561591	0.070164	0.101486	0.201372	0.357608
</S>	0.0996444	0.0602638	0.0504452	0.0681402	0.105022	0.219215	0.397269
