 	notre	père	est	devenu	vieux	</S>
a87	0.429449	0.206531	0.135041	0.100446	0.0696296	0.0589038
a23	0.534776	0.162267	0.095603	0.072981	0.061098	0.0732745
a54	0.424294	0.194079	0.118001	0.0911563	0.0881655	0.084304
a47	0.465954	0.215298	0.124634	0.0888529	0.0585933	0.0466678
a44	0.408977	0.268357	0.149527	0.0769046	0.0556821	0.0405525
a61	0.383754	0.255795	0.174191	0.083341	0.0567043	0.046215
a0	0.333339	0.24746	0.194707	0.10674	0.0704448	0.0473095
a75	0.202468	0.208215	0.221893	0.162367	0.119457	0.0855996
a85	0.133876	0.151779	0.172053	0.183346	0.190269	0.168677
a37	0.10046	0.138927	0.156542	0.173641	0.216264	0.214165
a47	0.11833	0.12147	0.145348	0.205037	0.224047	0.185768
a83	0.10869	0.102002	0.112832	0.178003	0.245072	0.253401
a71	0.0189126	0.0234973	0.04044	0.132624	0.326377	0.458149
a38	0.00572615	0.00586396	0.013498	0.0575316	0.230579	0.686801
a70	0.0030704	0.00324595	0.0100535	0.0564257	0.226634	0.70057
a11	0.00200503	0.00239812	0.00764738	0.0458439	0.214434	0.727672
a70	0.0044927	0.00373665	0.0102206	0.0520231	0.195877	0.73365
a9	0.00117213	0.00161615	0.00539679	0.0352554	0.174104	0.782456
a87	0.00925406	0.00670944	0.012888	0.0481336	0.18354	0.739475
a23	0.190034	0.115179	0.0982674	0.128811	0.176104	0.291604
a87	0.102327	0.0790186	0.078518	0.13179	0.215509	0.392837
</S>	0.0253837	0.0254411	0.0349088	0.106075	0.267064	0.541127
