 	sur	cette	bande	de	terrain	il	a	fait	une	belle	plantation	</S>
a23	0.276534	0.150697	0.0748506	0.10817	0.11898	0.110048	0.0697181	0.0289496	0.0163365	0.0133143	0.0143532	0.0180492
a83	0.323199	0.270644	0.185281	0.0956569	0.0392701	0.0193005	0.01261	0.00808213	0.00792427	0.0082239	0.0111158	0.0186921
a62	0.261701	0.242667	0.19858	0.101498	0.0480877	0.0211157	0.0180838	0.0139407	0.0164226	0.0155542	0.0231255	0.0392247
a88	0.287121	0.285709	0.190034	0.112872	0.0722682	0.0196081	0.00965269	0.00541181	0.00463209	0.00406125	0.00409682	0.00453355
a71	0.266779	0.272254	0.208576	0.120221	0.0759366	0.022296	0.00872616	0.0050421	0.00466785	0.00489577	0.00499178	0.00561489
a38	0.130394	0.16572	0.205555	0.159889	0.12638	0.067483	0.0362951	0.0238944	0.0222114	0.0220074	0.0196876	0.0204834
a62	0.0852634	0.129713	0.17972	0.165656	0.150917	0.0834807	0.0439507	0.033089	0.0349202	0.0330006	0.0293951	0.0308945
a70	0.0755794	0.122459	0.180771	0.162781	0.153883	0.0958276	0.0484519	0.0336339	0.0339397	0.0316962	0.0292109	0.0317673
a62	0.0611407	0.0996209	0.159256	0.169329	0.163522	0.126088	0.05991	0.0369364	0.0348721	0.0302392	0.028033	0.0310537
a75	0.0613638	0.097185	0.154824	0.175623	0.168816	0.127707	0.0658534	0.0364465	0.030901	0.0263912	0.0265341	0.0283554
a54	0.0540818	0.0822917	0.139502	0.16974	0.152071	0.112291	0.0778029	0.049328	0.0413025	0.0347488	0.0392344	0.0476063
a7	0.0306488	0.0372901	0.0587747	0.121839	0.133206	0.184384	0.117606	0.0662077	0.0558822	0.0512124	0.0613494	0.0815993
a58	0.0347071	0.0387165	0.061915	0.13022	0.143955	0.250053	0.123079	0.0513192	0.0405686	0.0342085	0.0392178	0.0520399
a53	0.0234471	0.0272004	0.0463709	0.0929587	0.101062	0.232947	0.133746	0.0651495	0.0560953	0.0504177	0.0690045	0.101601
a15	0.0339056	0.0325801	0.0402123	0.0662765	0.0769158	0.174733	0.13275	0.0853413	0.0851328	0.0694937	0.0867666	0.115892
a92	0.0182625	0.0164684	0.0203949	0.0312578	0.0358087	0.0954891	0.096851	0.0913158	0.115614	0.110228	0.15426	0.21405
a7	0.0249599	0.0217416	0.0270965	0.0425432	0.0498555	0.128752	0.113675	0.0886193	0.103614	0.0955119	0.128847	0.174785
a62	0.0230759	0.0218004	0.029861	0.0476482	0.0520151	0.14301	0.127274	0.083062	0.0854679	0.0801151	0.118634	0.188036
a34	0.024877	0.027474	0.0403038	0.0579327	0.0574746	0.137082	0.1321	0.0930625	0.0873905	0.0777851	0.103485	0.161032
a70	0.029764	0.0290208	0.0364899	0.0514737	0.0533183	0.130128	0.127999	0.0976436	0.101807	0.0914071	0.106644	0.144304
a93	0.0191561	0.0213746	0.0328696	0.0421794	0.0420914	0.107644	0.121152	0.112166	0.120336	0.105603	0.116671	0.158758
a34	0.0157353	0.0156828	0.0204174	0.0278982	0.0281576	0.0898091	0.11065	0.108545	0.12255	0.110369	0.135873	0.214313
a70	0.00964802	0.0100687	0.0148455	0.0210348	0.0221009	0.0725888	0.0938474	0.107446	0.138639	0.132205	0.158596	0.218979
a75	0.00549691	0.00567831	0.00841276	0.0114849	0.0111972	0.0393168	0.0546464	0.0701118	0.099887	0.11628	0.203093	0.374395
a34	0.00796169	0.00647309	0.00777309	0.00969724	0.0107703	0.0499329	0.0698076	0.0767126	0.107956	0.114613	0.209067	0.329236
a70	0.0046687	0.00463174	0.00701541	0.00880756	0.00844583	0.0321927	0.0467089	0.06388	0.109616	0.137147	0.234571	0.342315
a75	0.00125755	0.00131027	0.00220597	0.0030458	0.00304473	0.0119143	0.0184411	0.0315719	0.0608973	0.0999518	0.256387	0.509972
a21	0.00327314	0.00313751	0.0043892	0.006556	0.00811751	0.0339378	0.0449565	0.0541033	0.0859683	0.108512	0.244418	0.402631
a18	0.00267258	0.00239423	0.00345756	0.00418962	0.00376677	0.0148545	0.0217463	0.0334358	0.067386	0.10732	0.281242	0.457535
a82	0.000667745	0.000560373	0.000915858	0.0012663	0.00136	0.00418723	0.00673242	0.0153632	0.0362918	0.0729204	0.260651	0.599083
a87	0.00301448	0.00198974	0.0024041	0.0027121	0.0023067	0.00459488	0.00796499	0.0204431	0.054216	0.115296	0.309861	0.475198
a23	0.0932388	0.0512143	0.0500649	0.0410622	0.0377363	0.0462836	0.0631062	0.0986959	0.112065	0.114691	0.122181	0.169661
a87	0.00917266	0.00607091	0.00745173	0.00780682	0.00932394	0.0168176	0.03123	0.067948	0.108186	0.149168	0.232957	0.353868
</S>	0.00392092	0.00244775	0.00297799	0.00466902	0.00809003	0.0252266	0.0415763	0.0694278	0.102791	0.128614	0.211969	0.39829
