 	nous	avons	tué	le	petit	de	la	vipère	avec	la	machette	</S>
a66	0.136058	0.105698	0.129582	0.137798	0.119238	0.118133	0.106807	0.0679432	0.0450489	0.0180822	0.00887736	0.00673551
a87	0.289596	0.212043	0.129015	0.0902907	0.0498622	0.0525017	0.0581685	0.0463765	0.0338042	0.0161589	0.0116594	0.010525
a23	0.288458	0.213017	0.127784	0.0891914	0.058724	0.0503557	0.050794	0.0404312	0.028152	0.0175907	0.0160474	0.0194546
a97	0.286418	0.195827	0.105815	0.086278	0.0671906	0.0551119	0.0525494	0.0356848	0.0305416	0.0220514	0.0264966	0.0360361
a99	0.223738	0.190893	0.139497	0.119932	0.0877431	0.0675935	0.0626692	0.0402641	0.0257903	0.0150843	0.0135909	0.0132036
a71	0.282923	0.189563	0.124896	0.0977078	0.0575036	0.0496282	0.0487775	0.0333085	0.0280105	0.0228571	0.029973	0.0348525
a9	0.25367	0.155584	0.152581	0.119806	0.0552758	0.0464949	0.0443061	0.0360212	0.0338402	0.0285572	0.0375763	0.0362874
a24	0.295581	0.160748	0.142981	0.114699	0.0576956	0.0492779	0.0460656	0.0346695	0.0278835	0.0219559	0.0263277	0.022115
a0	0.22077	0.138615	0.132017	0.114265	0.069356	0.0602541	0.0554048	0.0484616	0.0422357	0.0373577	0.0441426	0.0371212
a31	0.168304	0.123666	0.124224	0.113832	0.0812645	0.0713882	0.0653097	0.0591032	0.0504185	0.043204	0.0522344	0.0470508
a12	0.121817	0.167144	0.1557	0.129969	0.0973204	0.0706419	0.0566701	0.0516194	0.0420404	0.0375729	0.0362559	0.0332487
a96	0.100316	0.147955	0.156813	0.141818	0.12439	0.0855133	0.0648157	0.0536038	0.0386596	0.0300302	0.0280762	0.0280095
a83	0.0870493	0.12733	0.142451	0.138585	0.133853	0.0944871	0.074346	0.0611569	0.0424178	0.0327029	0.0318583	0.0337629
a70	0.0660034	0.0972859	0.121464	0.142606	0.153676	0.110088	0.0854982	0.0714135	0.0463569	0.0330626	0.0344139	0.0381321
a13	0.0658979	0.0937827	0.11352	0.140995	0.156916	0.117375	0.0923538	0.0725315	0.046206	0.0311093	0.0331773	0.0361361
a83	0.0376812	0.0506116	0.0708666	0.122863	0.169231	0.138537	0.111392	0.0997664	0.0655732	0.0406841	0.0425288	0.0502637
a9	0.0292441	0.0348304	0.048734	0.0982505	0.165964	0.147301	0.125383	0.113559	0.0762421	0.0483841	0.0538949	0.0582133
a62	0.0209281	0.0241446	0.0399035	0.0876098	0.198453	0.184728	0.158548	0.119991	0.0701388	0.0375469	0.0283004	0.0297075
a47	0.0143602	0.015267	0.021068	0.0500843	0.130062	0.149039	0.155207	0.152475	0.117425	0.0759766	0.0635948	0.0554406
a62	0.0116061	0.0130145	0.0201453	0.0472481	0.124992	0.155647	0.165109	0.176323	0.134562	0.0737424	0.0446967	0.0329142
a88	0.0121916	0.0126106	0.0166462	0.0379625	0.106024	0.130522	0.152755	0.154322	0.131624	0.103741	0.0793866	0.0622137
a83	0.00877926	0.00883841	0.0138973	0.0284761	0.0769916	0.110974	0.140102	0.169158	0.131595	0.114965	0.104106	0.0921184
a9	0.00732963	0.00709132	0.0114136	0.0250781	0.0707118	0.10254	0.127647	0.160927	0.138972	0.132063	0.12043	0.095797
a99	0.0153529	0.0158042	0.0202218	0.0342382	0.0734982	0.1121	0.150691	0.162314	0.129352	0.119359	0.0957647	0.0713036
a87	0.026923	0.0233974	0.0214054	0.0290822	0.0539609	0.083187	0.115189	0.132926	0.118982	0.134955	0.144164	0.115828
a23	0.0885856	0.0613157	0.0397111	0.0399725	0.0533464	0.0730019	0.094891	0.098665	0.0970922	0.123015	0.129181	0.101224
a99	0.0310128	0.0237332	0.017251	0.0216953	0.0304428	0.0427094	0.0557636	0.0648018	0.0940518	0.157161	0.210839	0.250538
a53	0.00481247	0.00590011	0.00741736	0.0139648	0.023171	0.0316763	0.0353122	0.0532272	0.103994	0.191873	0.254753	0.273899
a58	0.00864178	0.00879527	0.0126609	0.0234987	0.03896	0.0470733	0.0482047	0.0615624	0.098436	0.164144	0.249856	0.238167
a84	0.00153978	0.00164414	0.00304702	0.00741371	0.0177615	0.0242117	0.0248957	0.0403048	0.0860064	0.156346	0.313346	0.323483
a20	0.00487276	0.00459837	0.00682378	0.0116558	0.0269103	0.0396664	0.0485149	0.0684214	0.0990497	0.141968	0.242634	0.304885
a79	0.0029241	0.00316166	0.00446191	0.00756972	0.0149533	0.0213951	0.0270208	0.0440539	0.0736747	0.149985	0.300323	0.350477
a37	0.000594045	0.000683113	0.00123908	0.00290634	0.00771008	0.0115728	0.0148228	0.0254023	0.0439315	0.115587	0.311226	0.464325
a26	0.000182037	0.000180301	0.000313963	0.000876389	0.00273865	0.00513328	0.00787892	0.0170866	0.0417993	0.122579	0.33149	0.469741
a82	0.00068205	0.000608835	0.000872482	0.00188652	0.00417151	0.00676065	0.0094706	0.0161292	0.0338046	0.118713	0.310671	0.49623
a87	0.0230077	0.0177497	0.0140763	0.0159987	0.0175673	0.0227322	0.0294425	0.0394737	0.0704528	0.156559	0.262613	0.330328
a23	0.132864	0.101649	0.0609812	0.0556469	0.0491751	0.0619579	0.0771999	0.0641061	0.0757378	0.0936879	0.103799	0.123196
a87	0.112276	0.0788971	0.0447687	0.0406633	0.0383418	0.0529144	0.0696808	0.0568913	0.0773864	0.098249	0.131141	0.198791
</S>	0.0537639	0.0434331	0.0271323	0.0286935	0.030945	0.0423967	0.0499339	0.0410055	0.0588084	0.0934935	0.17091	0.359484
