 	je	ne	comprends	pas	ce	que	tu	dis	tu	bredouilles	</S>
a10	0.233062	0.10475	0.0932488	0.0999806	0.0909082	0.064895	0.0476613	0.0418571	0.0449249	0.0683461	0.110366
a83	0.333541	0.137781	0.0998265	0.0738302	0.0613724	0.044784	0.0342812	0.0235377	0.0337626	0.0477691	0.109514
a18	0.420396	0.195346	0.0707524	0.0356255	0.0291996	0.0221346	0.0174006	0.0191427	0.0311873	0.0496308	0.109185
a11	0.493655	0.287806	0.0955171	0.0450025	0.0253864	0.0117984	0.00615996	0.00479154	0.00713889	0.00786785	0.0148763
a31	0.517622	0.292007	0.103755	0.0434494	0.0205078	0.00897631	0.00410472	0.00248007	0.00200864	0.00202891	0.00306019
a11	0.399411	0.310128	0.148972	0.0665392	0.035291	0.0156628	0.00722672	0.00439844	0.00329113	0.00363434	0.00544575
a90	0.28321	0.281486	0.189516	0.098398	0.057526	0.0310983	0.0167674	0.0115287	0.00879308	0.00958555	0.0120914
a57	0.229338	0.293177	0.232935	0.116649	0.0558661	0.0260289	0.0126914	0.00913593	0.00692373	0.00770066	0.00955359
a53	0.190035	0.246471	0.221755	0.134368	0.0820521	0.0453407	0.0244402	0.0161035	0.0120693	0.0128851	0.0144806
a90	0.152861	0.214513	0.226157	0.153645	0.0924284	0.0528771	0.0283265	0.0241751	0.0167708	0.0186053	0.0196406
a98	0.116798	0.165835	0.210077	0.160524	0.106767	0.0677259	0.0428295	0.0407727	0.0278855	0.030034	0.0307517
a75	0.0629867	0.0962856	0.175709	0.146031	0.104362	0.0760558	0.0594318	0.0849417	0.0696161	0.0655542	0.0590257
a43	0.0421085	0.0587993	0.116136	0.11653	0.0954657	0.0849393	0.0762509	0.116156	0.105648	0.100961	0.0870056
a11	0.0549224	0.0604847	0.0979882	0.130447	0.136217	0.142279	0.103674	0.0866908	0.0608243	0.0626971	0.0637753
a75	0.0394651	0.0418691	0.067933	0.103442	0.127047	0.166357	0.138511	0.112567	0.0714308	0.0676644	0.0637141
a92	0.0221959	0.0292109	0.0462921	0.0630211	0.069001	0.0864121	0.0854004	0.155736	0.15384	0.164333	0.124558
a79	0.0301987	0.0380869	0.0500354	0.0572721	0.0579897	0.0750122	0.0798155	0.149396	0.152566	0.17029	0.139338
a44	0.0229485	0.0256246	0.0356225	0.0515949	0.0662391	0.109404	0.116136	0.169682	0.144671	0.14765	0.110427
a26	0.0198634	0.0191666	0.0243422	0.0364113	0.0507114	0.0966813	0.122409	0.196959	0.162264	0.159823	0.111369
a40	0.011799	0.0104765	0.0150282	0.0228432	0.034407	0.0616337	0.0863615	0.13486	0.148508	0.199718	0.274365
a98	0.03533	0.0322283	0.0289322	0.0374477	0.0387533	0.0465356	0.0490956	0.102393	0.149884	0.229256	0.250144
a73	0.0301983	0.0275332	0.0250126	0.0292805	0.0311991	0.0483093	0.0634668	0.121414	0.157066	0.201311	0.265209
a37	0.015354	0.0155358	0.0127958	0.0146329	0.0167476	0.0331957	0.0442962	0.139899	0.205397	0.256538	0.245608
a79	0.0112401	0.0115842	0.0116622	0.0160603	0.0217068	0.0456934	0.0619827	0.160771	0.206969	0.240422	0.211909
a56	0.0137643	0.0128043	0.011939	0.0175717	0.0246739	0.0538744	0.0713396	0.168023	0.195218	0.227774	0.203019
a66	0.012394	0.011778	0.0121765	0.0173775	0.0221289	0.046794	0.0654793	0.1575	0.185213	0.239631	0.229528
a11	0.00168228	0.00173741	0.0029271	0.00470883	0.00663175	0.0126906	0.0219328	0.0640852	0.166254	0.284229	0.433121
a75	0.00101124	0.000832735	0.00111637	0.0016426	0.00268267	0.00521594	0.0112992	0.033504	0.139137	0.275346	0.528212
a41	0.00399264	0.00408726	0.00578948	0.00971794	0.0138016	0.0219337	0.0269257	0.0624948	0.125125	0.226605	0.499527
a0	0.00706775	0.00759783	0.00944123	0.0122913	0.0143496	0.0197308	0.0243045	0.0579648	0.139512	0.239956	0.467785
a25	0.0011087	0.00132808	0.0023216	0.00345979	0.00501166	0.00798897	0.0145783	0.0406179	0.141535	0.247547	0.534503
a44	0.00135337	0.0013741	0.00189358	0.00250086	0.00349279	0.0065526	0.0121151	0.0351084	0.144673	0.259979	0.530957
a20	0.000888593	0.000946709	0.00145278	0.0024027	0.00377913	0.00782339	0.0126533	0.0358424	0.116732	0.236986	0.580494
a84	0.00556788	0.00554841	0.00734636	0.00941526	0.0120448	0.0180515	0.0194872	0.0431153	0.113494	0.240218	0.525712
a10	0.00150273	0.001659	0.00222137	0.00225741	0.00323027	0.00486319	0.0088347	0.0253566	0.139411	0.29649	0.514174
</S>	0.0195076	0.0120454	0.00806766	0.00609968	0.00660901	0.00857903	0.017052	0.0480704	0.15935	0.294617	0.420003
