 	venez	manger	le	repas	est	bien	réchauffé	</S>
a66	0.299155	0.367771	0.157533	0.094332	0.0437534	0.0169175	0.0108074	0.00973112
a87	0.429635	0.22092	0.0578347	0.0383472	0.0336448	0.0461489	0.0732224	0.100247
a23	0.39749	0.219071	0.0840484	0.0499733	0.0557518	0.0567834	0.069543	0.0673397
a21	0.549343	0.140066	0.0811744	0.0417309	0.0351844	0.045287	0.0521412	0.0550739
a47	0.562517	0.198239	0.0737096	0.0454923	0.0361079	0.0337219	0.0273124	0.0229007
a75	0.505599	0.344475	0.0852439	0.0225655	0.0165369	0.0131807	0.00726097	0.00513834
a92	0.413788	0.337518	0.125229	0.0456194	0.0305799	0.0237377	0.0144706	0.00905649
a75	0.407645	0.325332	0.121335	0.045145	0.0348588	0.0364154	0.0197725	0.0094964
a85	0.401307	0.269635	0.108989	0.0740624	0.0549255	0.0486133	0.0270611	0.0154064
a6	0.380423	0.158074	0.0879342	0.10099	0.0939008	0.0812816	0.0566843	0.040712
a36	0.316952	0.221178	0.144287	0.12713	0.0725116	0.056164	0.0373554	0.0244224
a37	0.133264	0.22343	0.190063	0.138914	0.0731757	0.0716084	0.0830161	0.0865285
a96	0.0783378	0.210387	0.216529	0.160526	0.0759994	0.0682848	0.0860952	0.103841
a70	0.0450391	0.149751	0.254431	0.200016	0.0906916	0.0704678	0.0840361	0.105568
a75	0.0240812	0.0930007	0.232478	0.234461	0.119961	0.0826003	0.0910519	0.122366
a92	0.0105144	0.0256563	0.0844601	0.151629	0.141318	0.150057	0.182487	0.253878
a47	0.00511549	0.0135861	0.0784836	0.184785	0.169214	0.159167	0.166634	0.223015
a79	0.00488347	0.0116562	0.0781073	0.202757	0.17939	0.151713	0.147934	0.223559
a98	0.00358859	0.00934654	0.0713109	0.193722	0.213728	0.165597	0.135966	0.206741
a47	0.0063994	0.0109168	0.0564569	0.143811	0.172557	0.173929	0.15831	0.27762
a7	0.0120544	0.0144622	0.062267	0.138448	0.160664	0.130136	0.119151	0.362817
a2	0.00328784	0.00579293	0.0237174	0.0850953	0.159632	0.203142	0.186864	0.332468
a13	0.00405503	0.00674861	0.0106103	0.0330358	0.0779605	0.135233	0.261455	0.470903
a70	0.00385975	0.0062713	0.0103736	0.0284017	0.064736	0.0955403	0.236501	0.554316
a75	0.000759514	0.00201687	0.00557965	0.0170794	0.0484733	0.0787395	0.191042	0.65631
a79	9.30814e-05	0.000295864	0.00101299	0.00612464	0.0386493	0.114343	0.260059	0.579422
a7	7.13502e-05	0.000227801	0.000792712	0.0043749	0.0242852	0.0834435	0.242499	0.644306
a44	4.9383e-05	0.000215845	0.000813584	0.00444778	0.0217479	0.0606827	0.164332	0.747711
a37	8.62778e-05	0.000336069	0.00130643	0.00578322	0.0255396	0.0638248	0.164831	0.738293
a26	0.000157562	0.000718149	0.00221863	0.00568893	0.0183989	0.0433939	0.128968	0.800456
a9	0.0177238	0.0284943	0.0409039	0.0580234	0.0859599	0.116614	0.173496	0.478784
a87	0.144041	0.107264	0.0812352	0.0842904	0.0888647	0.100126	0.125394	0.268785
a23	0.2703	0.14853	0.0725768	0.0647339	0.0718654	0.0827871	0.0942402	0.194966
a87	0.0292202	0.015444	0.00923302	0.0202875	0.0535624	0.140253	0.263784	0.468216
</S>	0.00873699	0.00419888	0.00473347	0.0150585	0.0412959	0.125455	0.26572	0.534801
