 	il	a	mis	un	appât	au	bout	de	sa	ligne	</S>
a23	0.307063	0.210918	0.135598	0.081481	0.0493137	0.0499539	0.0345965	0.0242524	0.0293308	0.0435495	0.0339428
a79	0.227883	0.133977	0.0834589	0.0658726	0.083398	0.071815	0.0525216	0.0411147	0.0555243	0.0904025	0.0940327
a20	0.222406	0.190258	0.129013	0.0881916	0.0889355	0.0825812	0.0498756	0.0230744	0.0330162	0.0578434	0.0348053
a35	0.295037	0.275364	0.177432	0.0912136	0.0597631	0.0491808	0.0272835	0.00690559	0.00539243	0.00838742	0.00404075
a24	0.251048	0.241845	0.200051	0.118824	0.0765929	0.0557244	0.0273445	0.00707723	0.00580126	0.00966777	0.00602358
a25	0.218346	0.191102	0.18914	0.147624	0.100014	0.0710397	0.0385658	0.0117068	0.00982538	0.0134797	0.0091567
a38	0.131776	0.108349	0.126981	0.145545	0.133981	0.0867262	0.0594604	0.0316268	0.0429414	0.0749073	0.0577065
a14	0.0949766	0.0772693	0.0941015	0.117523	0.140475	0.148072	0.10075	0.050274	0.0516247	0.0704478	0.0544858
a35	0.138362	0.119991	0.143192	0.162304	0.14784	0.122749	0.0746818	0.0259871	0.0179794	0.0254428	0.0214702
a30	0.0936869	0.0774909	0.0978606	0.138009	0.161146	0.144612	0.108797	0.048186	0.0348952	0.0500648	0.0452511
a44	0.0624859	0.0546301	0.0739801	0.108639	0.1329	0.143777	0.119444	0.066218	0.0571502	0.0924632	0.0883129
a57	0.0465225	0.0414365	0.0572622	0.0702769	0.09018	0.114946	0.11652	0.0784748	0.0858779	0.165234	0.13327
a38	0.019327	0.0167046	0.0224745	0.0369605	0.0711781	0.124518	0.140019	0.115244	0.124433	0.179494	0.149647
a73	0.0336375	0.0293577	0.0398756	0.0626625	0.0872759	0.122344	0.12245	0.0982024	0.112016	0.162316	0.129863
a94	0.0321321	0.0289366	0.0391204	0.0523255	0.0647946	0.0884318	0.101844	0.0922303	0.119315	0.209078	0.171792
a76	0.0268484	0.0240505	0.0290755	0.0338461	0.0413835	0.0589934	0.0766504	0.093276	0.145985	0.256739	0.213153
a94	0.0161948	0.0150231	0.0190629	0.0200258	0.023333	0.0339073	0.051196	0.0996113	0.181687	0.278257	0.261702
a35	0.00435113	0.00363435	0.00448241	0.00577739	0.00869376	0.0138492	0.0238864	0.0794901	0.203105	0.327459	0.325271
a24	0.00212144	0.00167555	0.00212635	0.00309815	0.0051187	0.00780784	0.0138303	0.0551925	0.207363	0.361898	0.339768
a35	0.000772323	0.000613184	0.00071994	0.00101725	0.00220576	0.00402578	0.00851605	0.0415891	0.194869	0.376364	0.369308
a73	0.000664045	0.000487682	0.000565657	0.000723566	0.00145508	0.00313459	0.00808307	0.036028	0.182272	0.411373	0.355213
a76	0.000910778	0.000573257	0.000626193	0.000913791	0.00217033	0.00517312	0.0120763	0.0463293	0.192476	0.390375	0.348376
a90	0.000443838	0.000266618	0.00034393	0.000595392	0.00147002	0.00369203	0.00892776	0.0424723	0.20322	0.370584	0.367985
a69	0.000448319	0.000306518	0.000392793	0.000785542	0.00196101	0.00419661	0.00909565	0.042937	0.205488	0.394749	0.33964
a58	0.00123228	0.000794128	0.000960009	0.00164283	0.00404575	0.00772693	0.0149839	0.0553056	0.223434	0.35642	0.333455
a82	0.00119978	0.000666492	0.000739583	0.00109088	0.00292315	0.00586723	0.0177583	0.0593761	0.231007	0.354406	0.324965
a87	0.00156991	0.000901668	0.000943208	0.00107684	0.00290325	0.0063888	0.0195622	0.0867631	0.24742	0.307263	0.325208
</S>	0.0148758	0.0107311	0.0109613	0.00635346	0.0069758	0.0133124	0.0376369	0.100977	0.223816	0.303015	0.271345
