 	on	l'	a	appelé	chez	le	chef	</S>
a40	0.126443	0.0917231	0.0948263	0.115006	0.132978	0.140289	0.152379	0.146356
a30	0.190697	0.140763	0.114322	0.119327	0.100207	0.103988	0.104081	0.126616
a26	0.441378	0.260876	0.108666	0.0711823	0.0420247	0.0316135	0.0227587	0.0215003
a38	0.411651	0.264631	0.11782	0.0791497	0.0467929	0.0317033	0.0241606	0.0240908
a41	0.371346	0.262873	0.137903	0.0898475	0.0559931	0.0359193	0.0244068	0.0217117
a94	0.319045	0.235303	0.157287	0.107782	0.0810745	0.0487085	0.0299763	0.0208223
a20	0.253775	0.209695	0.17075	0.131236	0.102756	0.0618296	0.0400985	0.0298607
a94	0.159662	0.160008	0.171087	0.15294	0.132131	0.0966757	0.0720044	0.0554923
a38	0.157931	0.152752	0.163337	0.157308	0.144549	0.104277	0.0697637	0.0500829
a76	0.113567	0.114659	0.138734	0.159981	0.166332	0.134831	0.0971167	0.0747792
a90	0.104316	0.103631	0.131681	0.154519	0.160539	0.136007	0.112762	0.0965456
a4	0.0846891	0.0818047	0.106114	0.137872	0.174374	0.167707	0.133704	0.113735
a57	0.0435389	0.0410978	0.0543405	0.0976795	0.181773	0.213596	0.195323	0.172652
a82	0.031253	0.0269444	0.0396884	0.0730347	0.128909	0.185641	0.238392	0.276138
a84	0.0203374	0.0181463	0.0288944	0.0543497	0.105765	0.164471	0.25007	0.357965
a53	0.0110009	0.0086244	0.0142151	0.0306071	0.082754	0.152417	0.282409	0.417973
a4	0.0132285	0.0105691	0.0159416	0.0317134	0.0752388	0.151298	0.279615	0.422396
a13	0.012136	0.00851534	0.0114388	0.017979	0.0465327	0.112606	0.279616	0.511176
a38	0.0217617	0.0142106	0.0182374	0.0252222	0.0573534	0.116347	0.286499	0.460369
a10	0.0271949	0.0164214	0.0194209	0.0251548	0.0471444	0.0986151	0.287789	0.47826
a9	0.0213311	0.0126446	0.0152321	0.0217784	0.0432966	0.0911306	0.283688	0.510899
a87	0.0246651	0.0156135	0.0176162	0.0264074	0.0575488	0.109522	0.307153	0.441474
a23	0.060858	0.0394358	0.0402313	0.0502257	0.0874626	0.137788	0.26415	0.319849
a87	0.136483	0.103762	0.081729	0.0726653	0.0872831	0.133415	0.191064	0.193599
</S>	0.0962129	0.0697421	0.0700586	0.0682796	0.0908689	0.138047	0.210835	0.255955
