 	notre	maman	est	en	train	de	se	reposer	</S>
a82	0.224023	0.122209	0.0917852	0.101328	0.111097	0.120657	0.10473	0.07145	0.0527204
a87	0.198541	0.103875	0.0842622	0.0957802	0.120378	0.14181	0.12501	0.0706701	0.0596731
a97	0.327801	0.201042	0.111668	0.0811589	0.0822502	0.0721397	0.0521843	0.0330157	0.0387396
a10	0.291353	0.207276	0.129969	0.0963453	0.0917539	0.0727623	0.0477122	0.0299041	0.0329234
a87	0.327907	0.18953	0.106017	0.0785094	0.0798386	0.0710904	0.0535786	0.0428652	0.0506642
a23	0.326834	0.192243	0.109008	0.0757103	0.0763651	0.0685669	0.0517574	0.0454126	0.0541017
a18	0.273996	0.143004	0.104951	0.0847929	0.0813579	0.0775961	0.0623894	0.0746582	0.0972547
a30	0.216155	0.127775	0.0797906	0.060475	0.0619316	0.0666777	0.0607869	0.124792	0.201616
a53	0.239528	0.175092	0.129789	0.089702	0.0742576	0.0653703	0.0520736	0.0753613	0.0988258
a20	0.20604	0.238415	0.185577	0.107025	0.0775881	0.0603278	0.0373271	0.0423926	0.0453064
a69	0.175381	0.197248	0.173219	0.126138	0.095097	0.0743707	0.0501597	0.0543817	0.0540045
a4	0.0833129	0.126536	0.152341	0.14741	0.122389	0.101068	0.0753594	0.0800514	0.111533
a94	0.0636153	0.0914397	0.127642	0.148627	0.132535	0.112224	0.0885305	0.0902947	0.145092
a11	0.0466143	0.0738636	0.11128	0.146843	0.141953	0.1247	0.101205	0.0997408	0.153801
a70	0.0339948	0.0554328	0.087766	0.129678	0.139461	0.127531	0.110619	0.112288	0.203229
a13	0.0296519	0.0466128	0.0725965	0.118404	0.145741	0.143562	0.129886	0.110776	0.20277
a53	0.0259552	0.0411659	0.0628446	0.105787	0.139476	0.148113	0.137182	0.117419	0.222055
a44	0.0290225	0.0459135	0.0623763	0.096704	0.132149	0.154765	0.158343	0.150901	0.169825
a54	0.0219933	0.0339013	0.0452528	0.0692383	0.0997321	0.133468	0.167359	0.176318	0.252738
a36	0.0186284	0.0274688	0.036505	0.0570485	0.0806494	0.114861	0.166775	0.209444	0.28862
a37	0.0139894	0.0209472	0.0285156	0.0509739	0.0759443	0.103975	0.151934	0.165213	0.388508
a66	0.0131492	0.0186133	0.0250771	0.0414914	0.0606263	0.0802363	0.112521	0.169921	0.478365
a13	0.00674185	0.00827375	0.0114612	0.0210513	0.0342955	0.0514157	0.0866529	0.184773	0.595334
a4	0.00695379	0.00723556	0.00961585	0.0190152	0.0350699	0.0567606	0.105574	0.216683	0.543092
a57	0.00715938	0.0089216	0.0119379	0.0210697	0.0331093	0.0484839	0.0794871	0.184541	0.60529
a82	0.00228447	0.00262274	0.00360584	0.00729591	0.0136154	0.0229987	0.0468027	0.162571	0.738203
a87	0.020097	0.0160789	0.0176242	0.0271196	0.0385249	0.0530236	0.0858368	0.197932	0.543763
a23	0.0946732	0.0622065	0.0572467	0.0727272	0.0835729	0.100413	0.133516	0.165356	0.230288
a87	0.120631	0.0895064	0.0715786	0.0662548	0.0734124	0.088993	0.129008	0.16589	0.194726
a23	0.0660507	0.0668563	0.0528436	0.0506592	0.057996	0.0749303	0.121501	0.204926	0.304237
a87	0.136408	0.116463	0.0806981	0.0687506	0.078278	0.0999584	0.128013	0.137307	0.154124
a23	0.130657	0.122608	0.0852367	0.0777915	0.0836119	0.0869147	0.101055	0.131306	0.180819
a87	0.178776	0.149858	0.0965652	0.0779045	0.084491	0.0941761	0.10349	0.105091	0.109649
</S>	0.146759	0.130871	0.0866179	0.0725827	0.0797024	0.0840992	0.0932123	0.130607	0.175549
