 	ce	petit	enfant	souffre	de	la	toux	</S>
a66	0.283625	0.173558	0.131385	0.155138	0.142417	0.0660045	0.0305223	0.0173507
a87	0.35133	0.207588	0.114021	0.088613	0.077429	0.0581208	0.0506093	0.0522896
a23	0.502406	0.239513	0.0834591	0.0553975	0.039694	0.0265184	0.0211645	0.0318474
a83	0.41109	0.238913	0.107898	0.0942718	0.053369	0.0281572	0.0302608	0.0360394
a98	0.265814	0.178977	0.0946325	0.106122	0.110272	0.0851029	0.0881959	0.0708836
a92	0.268848	0.198058	0.116614	0.140284	0.120521	0.0541307	0.0610377	0.0405067
a37	0.158929	0.170134	0.13781	0.193448	0.169029	0.0688104	0.0647254	0.0371133
a61	0.142331	0.150619	0.162942	0.257049	0.188343	0.047274	0.0329499	0.0184933
a47	0.104597	0.11466	0.161146	0.290201	0.232335	0.0481821	0.0301161	0.018763
a31	0.126405	0.133373	0.170929	0.263797	0.205785	0.0505755	0.029432	0.0197039
a0	0.0814391	0.0951739	0.15267	0.251883	0.254166	0.0788443	0.0493796	0.0364444
a93	0.0585721	0.0726036	0.144411	0.240131	0.262976	0.0939783	0.0659562	0.0613716
a90	0.0754663	0.0930329	0.170551	0.228498	0.231729	0.102757	0.0551636	0.0428023
a92	0.0284083	0.0381734	0.101104	0.189713	0.252772	0.156635	0.117222	0.115972
a37	0.0185056	0.0230768	0.0632047	0.113654	0.192042	0.177586	0.180703	0.231227
a75	0.0267728	0.0296131	0.0710611	0.112646	0.181312	0.201773	0.151201	0.225621
a6	0.00886831	0.0110246	0.0328932	0.0676966	0.151402	0.185176	0.219184	0.323755
a7	0.00623781	0.00680999	0.0172377	0.0335775	0.0945759	0.19039	0.257786	0.393385
a44	0.00779365	0.00678291	0.0106738	0.0123714	0.0272717	0.103492	0.235487	0.596127
a56	0.00438426	0.00331109	0.00453186	0.00457284	0.0116137	0.0772349	0.188991	0.70536
a43	0.00336376	0.00247998	0.00385651	0.00428271	0.012713	0.0798697	0.198924	0.69451
a62	0.00180865	0.00130892	0.00193001	0.00210936	0.00590129	0.0493953	0.16891	0.768636
a88	0.00152909	0.00127886	0.00219408	0.00278966	0.00774207	0.0540989	0.178599	0.751768
a38	0.00127789	0.00103762	0.00154488	0.00207168	0.00667268	0.0619333	0.221705	0.703757
a44	0.00550856	0.00430021	0.00618038	0.00687794	0.0172846	0.0929777	0.259806	0.607064
a11	0.000782164	0.000674286	0.00120176	0.00145182	0.00530938	0.0607778	0.19505	0.734753
a9	0.00124475	0.00102022	0.00184825	0.00271659	0.0102775	0.0756962	0.255623	0.651573
a10	0.0459373	0.0270233	0.0286223	0.0253103	0.0463015	0.119782	0.259673	0.447351
a87	0.278777	0.128794	0.0693743	0.0493244	0.0598448	0.0923867	0.138065	0.183434
a23	0.322132	0.179619	0.0881182	0.0527913	0.0435102	0.0616693	0.100631	0.151528
a87	0.16918	0.0631709	0.0242182	0.0122331	0.016262	0.0642148	0.157774	0.492947
</S>	0.0203787	0.0104259	0.00789335	0.00844768	0.0176331	0.0738042	0.205056	0.656361
