 	on	commença	à	brasser	la	bière	</S>
a23	0.200184	0.136652	0.133887	0.138419	0.143109	0.127973	0.119776
a87	0.311379	0.142353	0.148477	0.125427	0.0898192	0.0780127	0.104533
a23	0.380827	0.201456	0.147158	0.0926904	0.0577012	0.0465389	0.0736286
a79	0.414054	0.147064	0.111927	0.0581059	0.0523886	0.0789479	0.137512
a15	0.44709	0.13614	0.0933138	0.0543784	0.0573981	0.0943702	0.117309
a44	0.416055	0.19745	0.140925	0.0887413	0.064632	0.0466412	0.045555
a54	0.381366	0.22811	0.151079	0.0878775	0.0538846	0.043063	0.0546193
a47	0.264581	0.232241	0.172878	0.115588	0.0779418	0.0637192	0.0730517
a6	0.166239	0.161843	0.137768	0.123936	0.120306	0.128041	0.161867
a37	0.1286	0.141055	0.119925	0.124139	0.146784	0.15704	0.182456
a31	0.118568	0.151251	0.125723	0.138866	0.144493	0.149121	0.171978
a66	0.104607	0.139363	0.118259	0.144447	0.16402	0.160616	0.168688
a90	0.099554	0.127452	0.10138	0.128903	0.160489	0.190262	0.19196
a56	0.0621869	0.0697148	0.0657603	0.108439	0.192036	0.255255	0.246608
a98	0.0402319	0.0448195	0.0462319	0.0879114	0.198624	0.301504	0.280678
a85	0.0218608	0.0212513	0.0232237	0.0508439	0.160863	0.359622	0.362335
a37	0.0124426	0.0126961	0.0135713	0.0280952	0.112696	0.387336	0.433163
a83	0.012361	0.0136699	0.0142474	0.0244369	0.0797306	0.34185	0.513705
a9	0.00498447	0.00571203	0.00640512	0.0120774	0.048532	0.282665	0.639624
a87	0.00215762	0.00229423	0.00459049	0.0131877	0.0545984	0.259799	0.663373
a10	0.156236	0.11819	0.0963408	0.0872741	0.099227	0.175062	0.267669
a87	0.144151	0.0931181	0.0803368	0.0859928	0.132271	0.210734	0.253397
a23	0.108141	0.0752565	0.0716794	0.0931533	0.151984	0.235105	0.264682
a10	0.0485008	0.033505	0.031227	0.0520586	0.138082	0.306306	0.39032
</S>	0.0367359	0.0298465	0.031285	0.0531211	0.121851	0.292825	0.434336
