 	l'	argent	suffit	pour	acheter	l'	ananas	</S>
a66	0.348898	0.225622	0.221278	0.087145	0.0492347	0.0271942	0.0207875	0.0198408
a87	0.537707	0.330385	0.0810013	0.0115902	0.0102936	0.0101332	0.00923024	0.00965922
a23	0.552255	0.228465	0.120382	0.0298213	0.0187861	0.0149573	0.0149123	0.0204211
a99	0.464973	0.221413	0.129605	0.0318595	0.0348472	0.032887	0.0373806	0.0470342
a53	0.318929	0.24979	0.196635	0.0276426	0.0300396	0.0394523	0.0596428	0.0778688
a69	0.373758	0.295191	0.203782	0.0314843	0.0206626	0.0186232	0.025768	0.0307307
a79	0.35434	0.313444	0.205685	0.0431035	0.0222183	0.0183436	0.0201062	0.0227595
a92	0.26159	0.277922	0.220344	0.0844786	0.0442766	0.0375191	0.0359191	0.0379498
a56	0.167663	0.242147	0.223245	0.11942	0.0815972	0.0630773	0.0524906	0.0503608
a43	0.26958	0.257881	0.223341	0.112117	0.057363	0.027246	0.0216866	0.0307855
a75	0.16949	0.226989	0.26317	0.150406	0.075248	0.0378018	0.0315067	0.0453889
a25	0.0824431	0.143716	0.205299	0.252511	0.145971	0.058937	0.0462167	0.0649061
a69	0.0592234	0.10081	0.161994	0.286962	0.189229	0.0718455	0.054481	0.0754554
a90	0.0514873	0.078824	0.170967	0.274394	0.188092	0.0786181	0.0665722	0.0910448
a98	0.0376929	0.0630494	0.177661	0.288085	0.164295	0.0924553	0.0806447	0.0961167
a79	0.0151116	0.031155	0.123887	0.253285	0.166298	0.125682	0.140344	0.144237
a92	0.00881241	0.0235238	0.113366	0.2379	0.162443	0.134338	0.161892	0.157724
a12	0.00459438	0.00980154	0.0593742	0.213024	0.159082	0.153516	0.187206	0.213403
a43	0.00516552	0.00868685	0.0352546	0.230077	0.202201	0.149599	0.163198	0.205818
a75	0.00721525	0.0104587	0.0284872	0.200743	0.225414	0.153007	0.163199	0.211476
a25	0.00120801	0.00193653	0.01038	0.126097	0.186497	0.170056	0.211433	0.292392
a56	0.00057033	0.000892188	0.0043698	0.0616365	0.126124	0.161535	0.259723	0.385149
a98	0.00109419	0.00114895	0.00406685	0.0453799	0.110116	0.179012	0.298259	0.360923
a85	0.000467322	0.000769031	0.00357959	0.032796	0.0749152	0.152207	0.319924	0.415342
a21	0.000267765	0.000368212	0.00178477	0.0241766	0.0570802	0.147227	0.349477	0.419618
a12	0.000794417	0.00064483	0.00141022	0.0190585	0.0680254	0.179583	0.294078	0.436406
a18	0.00114284	0.000978365	0.00208006	0.0164627	0.0539274	0.144397	0.269017	0.511995
a96	0.00242658	0.00234021	0.00419821	0.0120451	0.0370333	0.150501	0.303977	0.487478
a93	0.00272616	0.00280202	0.00515968	0.0124441	0.0334089	0.137715	0.311655	0.494089
a13	0.000373693	0.000381802	0.00123531	0.00604723	0.0204657	0.079929	0.254257	0.637311
a99	0.0015583	0.00144475	0.00351167	0.0107074	0.0321552	0.117308	0.282512	0.550802
a87	0.00845901	0.00650569	0.00903268	0.0241982	0.0498876	0.140386	0.282558	0.478973
a23	0.0641318	0.0447285	0.0447342	0.0963596	0.113641	0.15427	0.209435	0.2727
a87	0.0104865	0.00619367	0.00641035	0.0404553	0.0996852	0.175939	0.249895	0.410935
a23	0.00699597	0.00396761	0.00419474	0.0385264	0.0963651	0.150958	0.230402	0.46859
</S>	0.00647883	0.00447715	0.00704569	0.0729554	0.150579	0.166672	0.204211	0.387581
