 	il	balaie	la	cour	</S>
a15	0.355459	0.235722	0.145806	0.133908	0.129104
a66	0.460012	0.215606	0.137049	0.0979422	0.0893908
a10	0.394207	0.151662	0.127545	0.144115	0.182471
a87	0.551625	0.163868	0.0978839	0.0866865	0.0999368
a10	0.575866	0.176265	0.0923743	0.0754273	0.0800675
a79	0.573968	0.192451	0.0907723	0.0719188	0.0708904
a15	0.501075	0.17617	0.109093	0.104476	0.109187
a98	0.302174	0.163372	0.1414	0.170525	0.222529
a79	0.316202	0.215186	0.180485	0.149419	0.138708
a25	0.28365	0.208772	0.206926	0.159994	0.140657
a79	0.22994	0.174479	0.205085	0.186081	0.204415
a15	0.185062	0.170159	0.218974	0.200973	0.224832
a25	0.138848	0.151075	0.223636	0.21919	0.267251
a79	0.148322	0.161746	0.229877	0.226248	0.233806
a75	0.0826531	0.122339	0.233045	0.262953	0.29901
a5	0.0999184	0.122709	0.207567	0.264159	0.305646
a37	0.0679209	0.085998	0.162588	0.279582	0.40391
a18	0.0370198	0.048843	0.112013	0.262403	0.539721
a71	0.00899221	0.0138652	0.0482142	0.183521	0.745408
a9	0.00626806	0.0111786	0.0418995	0.175977	0.764677
a10	0.0347768	0.0333148	0.075894	0.18892	0.667095
a97	0.181813	0.0999857	0.126811	0.194951	0.39644
a38	0.215894	0.115495	0.125409	0.191723	0.351479
a97	0.107704	0.0619551	0.0989425	0.220941	0.510457
a9	0.0521273	0.0390904	0.0830766	0.235726	0.589979
a10	0.100339	0.0750675	0.110715	0.229039	0.48484
a97	0.123552	0.0894823	0.120275	0.225588	0.441103
a10	0.18023	0.120715	0.139101	0.211046	0.348908
a11	0.148748	0.105443	0.142554	0.229119	0.374137
a43	0.125153	0.09558	0.146607	0.24627	0.38639
</S>	0.157705	0.103979	0.138614	0.226408	0.373294
