 	un	homme	s'	est	tenu	debout	au	milieu	de	la	route	</S>
a66	0.148762	0.114792	0.0978213	0.0962524	0.11046	0.140418	0.109026	0.0853471	0.0503757	0.0234024	0.0127619	0.010582
a10	0.110847	0.0840332	0.0659419	0.0774792	0.124747	0.150053	0.138379	0.116804	0.0557246	0.0292526	0.022636	0.0241021
a87	0.243946	0.161378	0.113111	0.101164	0.143895	0.102509	0.0503569	0.0318306	0.0142898	0.0101814	0.0112392	0.0161004
a9	0.197908	0.171929	0.135073	0.113282	0.152333	0.0978289	0.0523457	0.0309316	0.0146847	0.0106354	0.0100527	0.0129965
a38	0.216976	0.193258	0.144402	0.118143	0.126759	0.0796991	0.0441901	0.0266006	0.0150436	0.0116636	0.0106756	0.0125911
a88	0.388986	0.241652	0.126796	0.0555476	0.0341103	0.0419893	0.0230071	0.0193563	0.0134283	0.0146443	0.0184463	0.0220368
a62	0.262438	0.230533	0.167269	0.0892453	0.0474182	0.0631756	0.0360832	0.0295245	0.0190722	0.0183163	0.0172133	0.0197107
a31	0.140466	0.16615	0.174266	0.126639	0.0832105	0.101704	0.0614345	0.0532636	0.0255597	0.0212609	0.0202257	0.0258216
a88	0.105524	0.129008	0.161015	0.146912	0.11959	0.12993	0.0700923	0.0582666	0.0246197	0.0185526	0.0162369	0.0202528
a71	0.067487	0.0944781	0.141355	0.168357	0.15703	0.139709	0.0795463	0.0629911	0.0259233	0.0192318	0.0187454	0.0251457
a90	0.0486147	0.0645568	0.0977495	0.123959	0.135037	0.124702	0.0883951	0.099493	0.0596079	0.0434025	0.0504089	0.0640729
a15	0.0504598	0.0639183	0.106836	0.15085	0.15669	0.155426	0.105281	0.0796205	0.0342786	0.0260802	0.0320718	0.0384878
a79	0.0318838	0.0512031	0.0952898	0.162069	0.180682	0.139169	0.109825	0.0716652	0.0331838	0.0301656	0.0421174	0.0527458
a94	0.0320202	0.0493335	0.0857899	0.14779	0.159348	0.116282	0.0993032	0.0694463	0.0374557	0.0414286	0.0722408	0.089563
a96	0.0211474	0.037089	0.0727522	0.149379	0.193432	0.139105	0.122437	0.0754055	0.0401552	0.034131	0.0511148	0.0638514
a88	0.0154377	0.0275689	0.0536994	0.125567	0.193357	0.149031	0.129259	0.0849028	0.0484997	0.0399562	0.0588441	0.0738764
a71	0.00840286	0.0154916	0.0335573	0.111005	0.194838	0.143788	0.13652	0.0915697	0.060683	0.0469616	0.0676621	0.0895205
a38	0.00813267	0.0133367	0.0294794	0.109964	0.189839	0.169029	0.150679	0.0913741	0.0636975	0.0450579	0.055601	0.0738097
a21	0.00925111	0.0127437	0.0234816	0.0754375	0.127248	0.144213	0.147177	0.110261	0.0848715	0.0674566	0.0874909	0.110368
a12	0.00879406	0.0112177	0.0168642	0.0455428	0.107042	0.109946	0.11984	0.0990165	0.109163	0.0935839	0.12647	0.15252
a18	0.009397	0.0127472	0.0184107	0.0457955	0.0996583	0.103397	0.112712	0.0897772	0.114734	0.106607	0.132975	0.153789
a12	0.00597017	0.00902177	0.0153089	0.044522	0.0838168	0.0856473	0.097498	0.0717552	0.113118	0.127415	0.147815	0.198112
a18	0.00629861	0.00904994	0.0140123	0.0359293	0.07181	0.0717033	0.0830534	0.0699428	0.113017	0.13091	0.178798	0.215475
a11	0.00357375	0.00526928	0.00902222	0.0269056	0.0497097	0.0522422	0.0631723	0.0534325	0.110276	0.162243	0.203401	0.260752
a90	0.00327554	0.00448254	0.00714685	0.0198173	0.0354764	0.0445314	0.0537555	0.0494989	0.109683	0.171237	0.223416	0.27768
a69	0.00146856	0.00175893	0.00272459	0.00632148	0.0103372	0.0111549	0.0161217	0.0242584	0.0694264	0.148273	0.303688	0.404466
a32	0.000993895	0.00120592	0.00197677	0.00494527	0.00770933	0.00778119	0.0127087	0.0195797	0.0539596	0.132822	0.321866	0.434452
a75	0.000302078	0.00035733	0.000575324	0.00180717	0.00336813	0.00348683	0.00460455	0.00715622	0.0312271	0.105491	0.320985	0.520639
a90	0.00165952	0.00185251	0.00260323	0.00635143	0.0115578	0.00880661	0.0145059	0.0183315	0.0581931	0.139051	0.302678	0.434409
a15	0.00052235	0.000657452	0.00114132	0.00359672	0.00640901	0.00485272	0.00676757	0.00844637	0.0293368	0.0901617	0.321981	0.526127
a69	0.000428755	0.00047788	0.000716761	0.00209934	0.00371005	0.00223539	0.00315181	0.00456597	0.0158097	0.0592467	0.310145	0.597413
a58	0.000358347	0.000375278	0.000534601	0.00145741	0.00242987	0.00168452	0.0021967	0.00331183	0.0134639	0.0546574	0.313563	0.605967
a4	0.00200222	0.00185486	0.00206862	0.0035092	0.00451169	0.00316703	0.00375594	0.00609555	0.0215606	0.0725387	0.324749	0.554187
a57	0.000272975	0.000290554	0.00037194	0.000859974	0.00137905	0.00111705	0.0015926	0.00297431	0.0166002	0.0751359	0.34742	0.551985
a3	0.000358025	0.000359477	0.000490474	0.00121957	0.00184275	0.00129881	0.00158155	0.00268763	0.01161	0.0511517	0.311677	0.615723
a87	0.0256638	0.014628	0.0106477	0.0137214	0.0182116	0.0120041	0.015302	0.0206023	0.0475771	0.102146	0.281842	0.437654
a23	0.118711	0.0728208	0.0476902	0.0496726	0.0686323	0.0387406	0.0422302	0.0343944	0.0624708	0.0973157	0.163191	0.20413
a87	0.0430826	0.0250178	0.0200592	0.0261216	0.0410595	0.0224464	0.0281588	0.0356566	0.07282	0.119864	0.243446	0.322268
