 	j'	ai	attrapé	le	petit	poisson	ikula	avec	l'	hameçon	</S>
a66	0.276906	0.225298	0.1503	0.0919313	0.0608497	0.0397757	0.0460654	0.0388247	0.033629	0.0207877	0.015632
a99	0.346158	0.292423	0.140324	0.0556484	0.0321208	0.0258163	0.0385811	0.0281317	0.0187206	0.013443	0.00863267
a13	0.379163	0.242299	0.114667	0.0612113	0.0407084	0.0235056	0.0418497	0.026621	0.0215581	0.0253994	0.0230177
a11	0.310216	0.203995	0.0949261	0.0577695	0.0479417	0.042626	0.0898276	0.0412294	0.0330305	0.0401915	0.0382468
a62	0.272594	0.167162	0.108761	0.0683716	0.0582976	0.0353466	0.0650221	0.0500516	0.0505767	0.0630472	0.0607692
a96	0.238131	0.21643	0.179896	0.13669	0.107509	0.0490263	0.0442076	0.0126481	0.00684326	0.00476354	0.00385587
a88	0.151895	0.147526	0.16344	0.170633	0.163286	0.0802169	0.0740389	0.0220895	0.0120533	0.00828462	0.00653703
a31	0.0677049	0.0807027	0.124297	0.185662	0.224765	0.137678	0.105549	0.037575	0.0188511	0.00961022	0.00760542
a62	0.050329	0.0605798	0.0987241	0.167828	0.222405	0.161469	0.123458	0.053624	0.0295549	0.0171033	0.0149252
a88	0.0557178	0.0681807	0.105507	0.16584	0.218668	0.155901	0.111424	0.0554334	0.0319049	0.0174646	0.013959
a26	0.0219372	0.0256016	0.0416453	0.0830843	0.154875	0.17361	0.166125	0.121034	0.0928272	0.0673571	0.0519025
a93	0.0200297	0.0182786	0.0191944	0.0269989	0.0602264	0.105556	0.217607	0.193939	0.150176	0.106326	0.0816681
a98	0.0184305	0.0177626	0.0269062	0.0488549	0.105605	0.145153	0.152601	0.171536	0.145207	0.101967	0.0659758
a79	0.00644971	0.00627809	0.0100433	0.0246436	0.0600638	0.114877	0.152297	0.197969	0.197227	0.139334	0.0908164
a12	0.00655761	0.00525442	0.00628731	0.0125688	0.0258532	0.0477685	0.0884809	0.203684	0.262825	0.214226	0.126494
a62	0.00550528	0.00448884	0.00484741	0.00643192	0.0105607	0.0223244	0.046807	0.174301	0.27847	0.262982	0.183282
a34	0.0020651	0.00194855	0.00229218	0.0030961	0.00411422	0.00792765	0.0180857	0.0892514	0.2094	0.327245	0.334574
a56	0.00195353	0.00169266	0.00181832	0.00241428	0.00308153	0.00589702	0.0145978	0.0743402	0.19318	0.340419	0.360605
a44	0.000535893	0.000401525	0.000417991	0.000591946	0.000917288	0.00223589	0.00656731	0.0378429	0.130623	0.346049	0.473818
a4	0.000295082	0.000209881	0.000201924	0.000265064	0.000436893	0.00111147	0.00453432	0.03588	0.12156	0.332696	0.502809
a58	0.000230817	0.000165073	0.000164632	0.000242882	0.00043296	0.00119191	0.00471854	0.0317876	0.106337	0.320326	0.534402
a82	0.000704194	0.000481223	0.000478048	0.000602053	0.0011342	0.00290582	0.0119002	0.0475744	0.110501	0.293922	0.529797
a87	0.111127	0.0590925	0.0386582	0.0345226	0.0361824	0.046466	0.0688895	0.0810719	0.10082	0.166521	0.256649
a23	0.257485	0.204618	0.120429	0.074507	0.0508033	0.0464875	0.0558539	0.0475057	0.0460975	0.0516785	0.0445351
a87	0.0242011	0.0152468	0.00736235	0.00511852	0.00489322	0.0103718	0.020584	0.0816778	0.166345	0.348103	0.316096
a3	0.00595434	0.00375017	0.00200418	0.001479	0.00175868	0.0051157	0.0134696	0.0708229	0.162462	0.374714	0.35847
</S>	0.00640112	0.00516676	0.00362691	0.0030769	0.00345825	0.00778125	0.0208796	0.0676604	0.133456	0.345595	0.402898
