 	otinya	est	un	légume	quelque	peu	amer	</S>
a66	0.471933	0.196472	0.0947571	0.0630575	0.0483458	0.0536782	0.0445355	0.0272215
a87	0.364908	0.177357	0.133226	0.119067	0.0932722	0.0577371	0.0337301	0.0207025
a23	0.522175	0.283563	0.131104	0.0253123	0.012265	0.0076951	0.00678589	0.0110998
a13	0.608659	0.172068	0.0846184	0.0276474	0.013904	0.0196641	0.0315727	0.0418659
a38	0.432093	0.120361	0.0871412	0.0485057	0.0453297	0.0568768	0.0830133	0.12668
a24	0.43728	0.130234	0.0927059	0.0511457	0.041296	0.0553056	0.0832549	0.108778
a50	0.321706	0.215088	0.197152	0.104458	0.049011	0.0365945	0.0346086	0.0413814
a34	0.0929331	0.170288	0.241611	0.281902	0.0973998	0.0497367	0.031468	0.0346606
a56	0.0587284	0.11906	0.206114	0.326939	0.123882	0.0713988	0.0442948	0.0495833
a79	0.054581	0.117471	0.19588	0.335064	0.131521	0.0725481	0.0441622	0.0487734
a37	0.0580763	0.117674	0.186612	0.265982	0.156194	0.0969472	0.0580666	0.0604476
a56	0.101344	0.15342	0.183454	0.23784	0.125811	0.0759902	0.0590164	0.0631243
a12	0.0855004	0.143109	0.154545	0.192023	0.154057	0.110637	0.0809918	0.079137
a21	0.0243166	0.0505419	0.064177	0.151978	0.185249	0.181522	0.155454	0.186761
a5	0.0183429	0.0320535	0.0389051	0.112244	0.175782	0.220954	0.189735	0.211983
a12	0.01028	0.0202329	0.0249133	0.0712955	0.147088	0.221293	0.220572	0.284326
a94	0.00583769	0.00910046	0.0112425	0.0388454	0.0990926	0.206576	0.254821	0.374484
a96	0.00345389	0.0053302	0.00552601	0.0133444	0.0394808	0.125318	0.288538	0.519009
a93	0.00317474	0.00378797	0.00324402	0.00545567	0.0174538	0.0800515	0.286395	0.600438
a70	0.00143734	0.00198132	0.0018403	0.00349864	0.0132235	0.0638685	0.232905	0.681245
a13	0.00121279	0.00167787	0.0014905	0.00183205	0.00958797	0.0604043	0.273267	0.650527
a57	0.00312063	0.0039779	0.00354371	0.00454705	0.0213574	0.079882	0.312519	0.571052
a82	0.0105284	0.012818	0.0107521	0.0114055	0.0385446	0.0916378	0.308093	0.516221
a87	0.0390137	0.0308354	0.0234455	0.0227767	0.0411779	0.0677924	0.216714	0.558245
a23	0.34543	0.207397	0.113417	0.0554176	0.0537562	0.0575649	0.073537	0.0934801
a87	0.0854928	0.0855733	0.0696209	0.0481371	0.0846756	0.167288	0.228449	0.230763
</S>	0.0331749	0.025943	0.0221978	0.022793	0.0624487	0.193585	0.315037	0.32482
