 	le	gambea	est	un	fruit	rouge	</S>
a87	0.264568	0.199444	0.221713	0.181932	0.0682063	0.038168	0.0259695
a23	0.393996	0.154818	0.0921871	0.0824102	0.0996503	0.0841707	0.0927677
a83	0.328929	0.218818	0.150926	0.0885712	0.0677145	0.065632	0.079409
a99	0.426895	0.252667	0.153052	0.0826405	0.0402036	0.0251813	0.0193602
a98	0.375956	0.252521	0.16933	0.0924792	0.0501376	0.0318625	0.0277132
a47	0.218599	0.244256	0.23285	0.133205	0.0621226	0.0539737	0.0549925
a37	0.254221	0.302567	0.222898	0.0929759	0.0430177	0.040894	0.0434265
a96	0.174496	0.311495	0.280383	0.113656	0.0455595	0.0360299	0.0383798
a24	0.132464	0.234857	0.297161	0.169803	0.0674074	0.0487928	0.0495153
a21	0.115702	0.159115	0.234172	0.20879	0.11197	0.0835278	0.0867242
a88	0.131381	0.171085	0.240413	0.230455	0.108849	0.0625811	0.0552362
a21	0.05302	0.0672983	0.125275	0.230301	0.217404	0.162725	0.143977
a66	0.0906665	0.0977455	0.132818	0.220371	0.18993	0.143654	0.124814
a11	0.0204141	0.026149	0.044151	0.126503	0.21608	0.272934	0.293769
a70	0.0176008	0.0200315	0.033926	0.0968255	0.187252	0.300072	0.344293
a94	0.0124698	0.0142263	0.0241148	0.074441	0.188226	0.315181	0.371341
a98	0.00657288	0.00811882	0.0155918	0.0483015	0.150666	0.308596	0.462152
a44	0.0071534	0.00953032	0.0116381	0.0293052	0.100928	0.310873	0.530572
a57	0.00595438	0.00732944	0.00949761	0.0262156	0.0936862	0.282924	0.574393
a10	0.00396392	0.00362192	0.00442524	0.0150442	0.0833241	0.309358	0.580263
a13	0.0150948	0.00869143	0.00602042	0.0136437	0.0672996	0.295246	0.594004
a9	0.0293609	0.0188124	0.0119513	0.0200262	0.0736213	0.289286	0.556942
a87	0.0676786	0.0404701	0.0198461	0.0253132	0.0768888	0.251111	0.518692
a23	0.231794	0.168037	0.0887177	0.0815222	0.123555	0.14585	0.160524
a87	0.0857002	0.0663576	0.0396883	0.0630443	0.200238	0.28771	0.257262
a23	0.0198104	0.0195283	0.0170551	0.0353063	0.133216	0.338077	0.437007
a87	0.0328204	0.0345134	0.0248886	0.0514324	0.177691	0.329099	0.349556
a23	0.0349056	0.0310032	0.0277042	0.0469682	0.145933	0.319006	0.39448
a87	0.093331	0.0647056	0.0394363	0.0580852	0.155793	0.279653	0.308996
</S>	0.0684139	0.0500639	0.0359782	0.0603321	0.166772	0.296586	0.321854
