 	aucun	homme	n'	est	venu	hier	</S>
a85	0.172574	0.213084	0.18495	0.175237	0.118155	0.0711061	0.064894
a87	0.276674	0.286526	0.152881	0.0823786	0.0560878	0.0507413	0.0947112
a23	0.280981	0.27353	0.182364	0.103633	0.0593291	0.0402288	0.0599334
a10	0.309658	0.286735	0.157417	0.0799212	0.0603365	0.0432241	0.0627086
a24	0.408089	0.288932	0.145302	0.0625073	0.0372222	0.0243741	0.0335723
a62	0.582721	0.250033	0.0993195	0.0367644	0.0145423	0.00817298	0.00844594
a31	0.598554	0.245573	0.0923522	0.0362082	0.0129756	0.00729079	0.00704687
a24	0.423292	0.262004	0.160725	0.0804039	0.0315575	0.0207237	0.0212949
a25	0.382864	0.271107	0.174635	0.0917383	0.034031	0.0221597	0.0234648
a11	0.255268	0.2299	0.196507	0.147052	0.0727951	0.048269	0.0502096
a76	0.23036	0.201358	0.194001	0.165665	0.0864254	0.0589169	0.063274
a41	0.271178	0.24915	0.204766	0.130157	0.0609134	0.0423841	0.0414518
a61	0.239947	0.218375	0.194205	0.134674	0.0823853	0.0658347	0.0645787
a32	0.156262	0.164571	0.18681	0.175006	0.127495	0.0932268	0.0966289
a24	0.119031	0.14031	0.183804	0.182398	0.149401	0.107204	0.117852
a12	0.0894385	0.096496	0.134657	0.157977	0.178948	0.162495	0.179989
a41	0.0906455	0.0961689	0.132645	0.162597	0.187124	0.166642	0.164177
a73	0.0660286	0.0656691	0.106485	0.149475	0.179105	0.19851	0.234728
a84	0.083328	0.0829337	0.127522	0.162759	0.175203	0.173997	0.194256
a76	0.0493135	0.037697	0.0697406	0.117615	0.170097	0.244101	0.311436
a73	0.0865256	0.0655412	0.0843576	0.106633	0.13234	0.211537	0.313066
a2	0.0326945	0.0309823	0.0558367	0.0985996	0.184349	0.264775	0.332763
a75	0.0199051	0.014988	0.0249612	0.0469744	0.128279	0.289256	0.475636
a73	0.0423441	0.0285357	0.0342013	0.0467565	0.109856	0.274678	0.463629
a84	0.0202108	0.0157224	0.0226882	0.0447807	0.142754	0.297851	0.455993
a57	0.00896334	0.00784454	0.0129148	0.0202823	0.0736049	0.285664	0.590726
a87	0.0119837	0.0105851	0.014933	0.0227209	0.0809468	0.264782	0.594048
</S>	0.0107026	0.00987882	0.0172986	0.0353988	0.111896	0.278165	0.53666
