 	la	bise	s'	est	mise	à	souffler	de	toute	sa	force	jusqu'	à	un	certain	temps	</S>
a66	0.126351	0.186228	0.0902438	0.066886	0.0722906	0.085826	0.132784	0.0841402	0.0576317	0.0293674	0.0137956	0.0134568	0.0156071	0.0118564	0.00642865	0.00416197	0.00294408
a87	0.39756	0.209484	0.0667128	0.0374172	0.0292302	0.0370549	0.101659	0.0502023	0.0246491	0.0128356	0.0058366	0.00591244	0.00598994	0.00563319	0.00365533	0.00337962	0.00278751
a23	0.218199	0.24835	0.126466	0.0678831	0.0778702	0.0697182	0.0976865	0.0369181	0.0197738	0.0101205	0.00340256	0.00411041	0.00406723	0.00430923	0.00355272	0.00366385	0.00390842
a87	0.284895	0.30711	0.111484	0.0556992	0.044753	0.0420307	0.0660444	0.0237681	0.015086	0.00865223	0.00442943	0.00447249	0.00528909	0.00778532	0.0080869	0.0056114	0.00480207
a23	0.221277	0.32363	0.148095	0.0563701	0.0579836	0.0454079	0.0577905	0.0225606	0.013094	0.00916713	0.00611164	0.00573651	0.00565678	0.00771183	0.00838803	0.00576075	0.0052583
a79	0.308358	0.261573	0.107431	0.0487668	0.0456496	0.0354118	0.0525757	0.033153	0.0180393	0.0141611	0.0109817	0.0103918	0.0101373	0.0125694	0.0133195	0.00954414	0.00793731
a57	0.133163	0.0651693	0.0421559	0.036882	0.0384781	0.0468335	0.0910144	0.127771	0.09387	0.0695709	0.0585605	0.0513868	0.0485437	0.0439677	0.0254002	0.0149599	0.0122732
a53	0.0674686	0.0535737	0.0435286	0.0449355	0.0510823	0.0551665	0.087001	0.136567	0.093257	0.068489	0.0704975	0.0580904	0.0528183	0.0461222	0.0333439	0.0214534	0.0166049
a4	0.067884	0.0623081	0.0701613	0.0862064	0.0712339	0.0825582	0.0968315	0.0795073	0.073022	0.0528844	0.0553618	0.0507759	0.0505667	0.0396603	0.0275785	0.0198312	0.0136285
a57	0.0377767	0.0459868	0.0580728	0.0754476	0.0712768	0.0736802	0.0838773	0.07645	0.076229	0.0601869	0.0633321	0.0545419	0.0569282	0.0503201	0.0447153	0.0398706	0.0313076
a38	0.03953	0.0599701	0.0766623	0.0920057	0.0863483	0.0941063	0.0996997	0.0674512	0.0701379	0.048699	0.0441579	0.0367965	0.0360205	0.0330949	0.0366969	0.0393968	0.039226
a18	0.0285419	0.0532627	0.0748799	0.0931464	0.101668	0.112217	0.113463	0.0654795	0.0687858	0.0478072	0.0443507	0.0315013	0.0311214	0.0277459	0.0329352	0.0354881	0.0376051
a57	0.0197997	0.0307662	0.0440397	0.0655129	0.0884938	0.0990351	0.0933312	0.0751145	0.0817775	0.0611288	0.0623923	0.0382775	0.0352293	0.0315468	0.0454229	0.0561313	0.0720008
a53	0.017319	0.0287793	0.039563	0.0595706	0.0904945	0.119754	0.094925	0.0823841	0.0988287	0.066794	0.0592459	0.0375624	0.033461	0.0299946	0.03991	0.0451523	0.0562619
a69	0.0140603	0.0207357	0.0303159	0.0480501	0.0529202	0.0564487	0.0539094	0.0621041	0.0713953	0.0681497	0.0912969	0.0619095	0.0672441	0.0622786	0.0738275	0.0784356	0.0869183
a4	0.0103642	0.0131028	0.0219023	0.0402145	0.0347152	0.0348136	0.0369456	0.066336	0.0776387	0.0893612	0.124836	0.0836669	0.0878884	0.0737555	0.0712948	0.0660364	0.0671275
a20	0.00664348	0.0073542	0.0115189	0.0216439	0.0249642	0.0274743	0.025887	0.0450074	0.0565308	0.0654022	0.104454	0.0739015	0.0833251	0.088653	0.118182	0.113482	0.125577
a94	0.00578314	0.0068978	0.0114269	0.022499	0.0208355	0.0225004	0.0218049	0.0527742	0.0675609	0.084927	0.128303	0.0911443	0.0962367	0.0931652	0.0964773	0.0888126	0.0888513
a4	0.00182426	0.00208405	0.00331456	0.00709388	0.0127253	0.0169118	0.012048	0.0512137	0.0645039	0.0694214	0.0918188	0.0598809	0.0619991	0.0683048	0.111282	0.153799	0.211775
