 	le	chasseur	a	tué	une	fouine	</S>
a23	0.421803	0.177699	0.124944	0.0988609	0.0659473	0.0581974	0.0525482
a13	0.440663	0.271794	0.135296	0.060083	0.0316973	0.0247956	0.0356712
a62	0.439486	0.284201	0.113973	0.0541112	0.0303144	0.0264857	0.0514281
a83	0.491145	0.324617	0.108024	0.0468423	0.0181319	0.00539175	0.0058488
a88	0.42904	0.322424	0.119925	0.0609679	0.029572	0.0178597	0.0202119
a54	0.313867	0.245279	0.136288	0.103884	0.0736948	0.0649202	0.0620669
a85	0.163715	0.154084	0.126359	0.129824	0.12431	0.142846	0.15886
a92	0.138002	0.142938	0.13217	0.141381	0.144038	0.145698	0.155772
a37	0.105448	0.121508	0.122833	0.15354	0.169558	0.159646	0.167467
a93	0.0702216	0.0946017	0.132072	0.1709	0.177693	0.164079	0.190432
a70	0.0302606	0.0476727	0.0896355	0.145146	0.18906	0.227363	0.270863
a93	0.0199901	0.0308997	0.0604866	0.108725	0.166503	0.275422	0.337973
a4	0.0116514	0.0199657	0.04828	0.100505	0.168323	0.293593	0.357681
a13	0.00702806	0.0108792	0.0235621	0.0486636	0.101575	0.300708	0.507584
a70	0.00211842	0.00329601	0.00759399	0.0176355	0.0509006	0.218231	0.700225
a44	0.00319186	0.00444169	0.0105898	0.0246133	0.0662484	0.266335	0.62458
a7	0.00337837	0.00439281	0.00986344	0.0227899	0.0623804	0.255491	0.641705
a57	0.00525088	0.00749073	0.0145436	0.0271549	0.0644282	0.246965	0.634166
a87	0.0275302	0.0253805	0.0313988	0.0419729	0.0748833	0.248131	0.550703
a23	0.228429	0.169797	0.149101	0.107755	0.0863639	0.112408	0.146146
a87	0.099187	0.106994	0.141085	0.126421	0.116429	0.176062	0.233823
</S>	0.0186889	0.0260262	0.0583746	0.0906202	0.142607	0.270856	0.392826
