 	dans	notre	parcelle	il	y	a	des	fleurs	</S>
a66	0.311288	0.191099	0.108934	0.0977543	0.10161	0.0947895	0.0491734	0.0284691	0.016883
a10	0.260043	0.168457	0.135269	0.118398	0.116763	0.0812786	0.0500081	0.0400009	0.029782
a87	0.4268	0.275495	0.134417	0.0677314	0.0382315	0.0195808	0.0121998	0.0127821	0.0127623
a23	0.365488	0.261227	0.154463	0.0897583	0.056838	0.0293929	0.0161261	0.0136811	0.0130251
a87	0.287396	0.219685	0.156882	0.0954357	0.0750241	0.0534044	0.0411461	0.0378839	0.0331429
a23	0.302924	0.224031	0.161146	0.0968007	0.0755142	0.0507294	0.0355859	0.028047	0.0252214
a50	0.246201	0.186574	0.150242	0.0959024	0.0752498	0.0630814	0.0613004	0.0649975	0.0564519
a88	0.180176	0.15741	0.146877	0.112706	0.0848856	0.0894812	0.0871755	0.0808055	0.060484
a43	0.224645	0.220841	0.189584	0.117623	0.0757788	0.0602672	0.0500191	0.0354727	0.0257695
a11	0.203431	0.233767	0.193057	0.119566	0.0816104	0.0633319	0.0508537	0.030332	0.0240501
a34	0.142522	0.197231	0.202297	0.145511	0.109881	0.0790207	0.0598013	0.0348966	0.028839
a94	0.116176	0.155635	0.199321	0.165599	0.135532	0.0910566	0.0628237	0.0402098	0.0336468
a75	0.101913	0.130323	0.190469	0.183414	0.154268	0.0917094	0.0597621	0.0451797	0.0429613
a5	0.034407	0.0541209	0.115192	0.153416	0.17314	0.138901	0.112101	0.113921	0.1048
a43	0.0599599	0.0714842	0.121921	0.160706	0.175065	0.122514	0.0901332	0.0937471	0.10447
a47	0.0512839	0.0573788	0.0888559	0.119272	0.160893	0.141486	0.109683	0.121459	0.149687
a61	0.0521066	0.0563937	0.0841141	0.109202	0.152915	0.151964	0.116433	0.123425	0.153446
a75	0.028643	0.0288219	0.0395445	0.058728	0.109848	0.163482	0.169277	0.185339	0.216317
a85	0.00671843	0.00847783	0.0149257	0.0256375	0.0517866	0.0976425	0.163295	0.283579	0.347937
a47	0.00517646	0.00817633	0.0165157	0.0282887	0.0569072	0.118358	0.175964	0.262651	0.327963
a0	0.00260943	0.00292209	0.00475957	0.00761954	0.0128708	0.0413532	0.12965	0.319032	0.479183
a37	0.00682713	0.00599735	0.00659524	0.00808736	0.00968118	0.0236842	0.0717952	0.312992	0.55434
a36	0.00846577	0.00674506	0.00670962	0.00814684	0.00938493	0.0209405	0.0588216	0.281259	0.599526
a26	0.00947953	0.0076787	0.0080263	0.0103386	0.0119528	0.0258926	0.0693875	0.27318	0.584064
a57	0.125524	0.0912019	0.0707761	0.0687481	0.0472641	0.0587314	0.0861376	0.163807	0.28781
a87	0.275071	0.184152	0.108107	0.082413	0.0549719	0.0544021	0.0580005	0.0754089	0.107473
a23	0.285541	0.209393	0.137762	0.102529	0.0684304	0.0564956	0.0451704	0.0456473	0.0490312
a97	0.174133	0.127052	0.0778812	0.057744	0.0456364	0.0537998	0.0861083	0.157976	0.219669
a87	0.0320531	0.0249563	0.0230839	0.0243544	0.0322703	0.054913	0.114294	0.257867	0.436208
a23	0.0700109	0.0599152	0.0501127	0.041154	0.0422135	0.0578128	0.0995773	0.22549	0.353714
a99	0.0589375	0.055085	0.0497345	0.04664	0.0512835	0.0780304	0.128037	0.217265	0.314987
a30	0.0701109	0.067201	0.0593647	0.0638441	0.0717746	0.0915718	0.129188	0.181087	0.265858
</S>	0.0486125	0.0473406	0.0531055	0.0622328	0.0691454	0.0830469	0.124806	0.196189	0.31552
