 	j'	ai	une	chique	à	l'	orteil	</S>
a66	0.171605	0.217281	0.236484	0.217182	0.0826415	0.04505	0.0194012	0.0103557
a87	0.502708	0.266391	0.146326	0.0593841	0.0113061	0.00669132	0.00403149	0.00316305
a23	0.472699	0.278365	0.103314	0.0710013	0.030295	0.0181737	0.0134261	0.0127262
a18	0.379917	0.175727	0.0721273	0.0722876	0.0852426	0.0713149	0.0560919	0.0872918
a50	0.408101	0.148736	0.0922361	0.0896978	0.0651404	0.0488474	0.0678359	0.0794063
a88	0.381268	0.192358	0.1504	0.161565	0.0838787	0.0208616	0.00567762	0.00399098
a62	0.300763	0.16915	0.14512	0.180593	0.139053	0.0462421	0.0120959	0.00698248
a75	0.225927	0.146454	0.140255	0.223531	0.171351	0.0600736	0.0203519	0.0120569
a6	0.166949	0.137992	0.145045	0.22335	0.186265	0.0902953	0.0337622	0.0163415
a36	0.104689	0.0963234	0.133152	0.226582	0.214294	0.115341	0.0615725	0.0480456
a85	0.115553	0.105207	0.119621	0.179831	0.223476	0.106819	0.0666676	0.0828256
a6	0.0874891	0.0884976	0.105581	0.170742	0.194415	0.115277	0.113586	0.124412
a37	0.100888	0.0987184	0.119996	0.157069	0.179908	0.105986	0.117014	0.120421
a85	0.0561502	0.0616522	0.099608	0.142787	0.219958	0.151579	0.130995	0.13727
a6	0.0202135	0.0300105	0.0597531	0.106222	0.201551	0.189007	0.189759	0.203484
a79	0.0204992	0.0262921	0.0470651	0.0688112	0.121953	0.165039	0.273041	0.277299
a56	0.0108228	0.0118067	0.0254987	0.0455942	0.0909368	0.14258	0.296442	0.376319
a75	0.0039867	0.00403362	0.00662741	0.0115588	0.0409154	0.107162	0.286003	0.539713
a92	0.00105196	0.00107998	0.00217089	0.00570257	0.0306722	0.111167	0.345181	0.502974
a37	0.000625362	0.00064105	0.00118073	0.00299762	0.0150348	0.0624175	0.285295	0.631808
a21	0.000484811	0.000470542	0.000835085	0.00158893	0.0100067	0.0477429	0.232755	0.706116
a12	0.000363491	0.000386645	0.000628745	0.00115022	0.00683734	0.0434341	0.253476	0.693723
a18	0.000133187	0.000167919	0.000303097	0.000584869	0.00420466	0.0289884	0.223832	0.741786
a70	0.000450989	0.000361884	0.00058978	0.0008252	0.00335395	0.0261731	0.27457	0.693675
a13	0.00021379	0.000212323	0.000451133	0.000687156	0.00304599	0.022885	0.270483	0.702022
a57	0.00054566	0.00042983	0.000913092	0.00143763	0.00808826	0.0444024	0.329995	0.614188
a3	0.00929637	0.00673517	0.0071805	0.00866135	0.0264394	0.083025	0.396292	0.46237
a99	0.196501	0.15262	0.0883498	0.0645684	0.0507342	0.0737331	0.180861	0.192632
a87	0.204126	0.155858	0.110084	0.077213	0.0549464	0.0771908	0.134109	0.186473
a23	0.13545	0.112527	0.0973455	0.0754916	0.063835	0.102992	0.165875	0.246483
a97	0.0292512	0.0199843	0.0149934	0.0143058	0.0141844	0.0467827	0.175472	0.685026
a3	0.0227484	0.0156496	0.0130119	0.0206372	0.0237791	0.0467133	0.150338	0.707123
</S>	0.0289777	0.0216932	0.016905	0.0217469	0.0238188	0.0468673	0.143446	0.696545
