 	il	achète	du	sésame	au	marché	</S>
a30	0.120747	0.135128	0.128518	0.135381	0.14065	0.1787	0.160876
a14	0.0926325	0.131437	0.142122	0.217569	0.191416	0.136786	0.0880383
a43	0.340956	0.280092	0.155377	0.0995422	0.0522838	0.0395099	0.0322395
a75	0.332609	0.269029	0.15992	0.118985	0.065122	0.033374	0.0209596
a76	0.318182	0.259856	0.185691	0.137429	0.0547442	0.0254265	0.0186726
a35	0.275	0.237771	0.195682	0.159728	0.0699644	0.0359977	0.0258569
a66	0.248718	0.217307	0.190553	0.175253	0.0851779	0.0479528	0.0350385
a76	0.172628	0.145007	0.153159	0.183305	0.133992	0.111891	0.100018
a90	0.162321	0.1673	0.181014	0.185837	0.126063	0.0925452	0.0849194
a82	0.157207	0.142553	0.154694	0.194452	0.145253	0.110258	0.0955824
a10	0.0409345	0.0499413	0.0924319	0.129047	0.170788	0.216861	0.299996
a11	0.0268311	0.0350884	0.0666927	0.0921326	0.149749	0.247472	0.382035
a98	0.0213402	0.0288517	0.0566387	0.0914761	0.158717	0.259575	0.383401
a24	0.0152983	0.0222259	0.0439621	0.0964159	0.187231	0.280128	0.354739
a25	0.0101214	0.0174962	0.0302188	0.0751487	0.184911	0.321701	0.360403
a90	0.00494643	0.0113403	0.027483	0.0589472	0.134023	0.279625	0.483636
a38	0.00644943	0.0143025	0.029765	0.0663916	0.14409	0.276838	0.462163
a14	0.00450648	0.00985537	0.0226362	0.0585283	0.144607	0.295355	0.464511
a35	0.0040645	0.00757569	0.0196372	0.0643715	0.172624	0.32868	0.403047
a62	0.0032544	0.00721007	0.0209816	0.0640252	0.130414	0.282791	0.491323
a24	0.00606105	0.0132112	0.0318065	0.0887239	0.143917	0.26161	0.454671
a9	0.00957599	0.0193809	0.0421373	0.110775	0.164414	0.251709	0.402007
a87	0.0243262	0.0340604	0.0567698	0.106973	0.125024	0.207886	0.444961
</S>	0.0198586	0.0252783	0.044282	0.0905311	0.184175	0.272108	0.363768
