 	ces	femmes	parlent	beaucoup	</S>
a66	0.489693	0.320059	0.107656	0.0462883	0.0363032
a87	0.518387	0.150556	0.121357	0.0983805	0.11132
a23	0.570308	0.140367	0.0811907	0.0833108	0.124823
a87	0.603286	0.180331	0.0554317	0.0594599	0.101492
a97	0.559613	0.195595	0.0733158	0.0716251	0.0998511
a23	0.557489	0.216208	0.0597674	0.0696215	0.0969146
a40	0.468808	0.200047	0.0780366	0.094852	0.158257
a73	0.631053	0.222969	0.0296193	0.0457674	0.0705916
a5	0.525075	0.283078	0.0679886	0.0544716	0.0693868
a96	0.376687	0.272595	0.129632	0.10447	0.116615
a70	0.352942	0.277525	0.135005	0.107438	0.127091
a13	0.342816	0.265271	0.149875	0.111987	0.130051
a53	0.279269	0.227733	0.177474	0.141241	0.174283
a4	0.204942	0.193525	0.187755	0.185459	0.228318
a15	0.171039	0.18765	0.232225	0.190231	0.218854
a69	0.11935	0.185338	0.226776	0.220309	0.248228
a15	0.0993481	0.162928	0.236516	0.206458	0.294751
a79	0.0565357	0.118557	0.249993	0.237752	0.337161
a56	0.0693164	0.126012	0.269229	0.238371	0.297072
a96	0.0565324	0.11965	0.298183	0.246861	0.278773
a44	0.0304709	0.0599657	0.315602	0.27933	0.314632
a94	0.0200119	0.0427767	0.294506	0.305217	0.337489
a88	0.0145877	0.0291298	0.272062	0.318464	0.365757
a50	0.00678806	0.0123421	0.188185	0.304468	0.488216
a94	0.00484624	0.00804279	0.128948	0.28549	0.572672
a90	0.00604773	0.00964686	0.138622	0.277371	0.568313
a69	0.00327442	0.00760535	0.0979056	0.249827	0.641388
a7	0.003959	0.00895435	0.119551	0.254582	0.612953
a79	0.00252458	0.00368833	0.0584727	0.212442	0.722873
a5	0.00406408	0.00552472	0.0693166	0.225937	0.695157
a18	0.00184225	0.00341965	0.0542155	0.211865	0.728658
a66	0.00668634	0.00869305	0.0721539	0.263845	0.648622
a71	0.0304222	0.0313757	0.114478	0.277278	0.546446
a9	0.0583971	0.0492669	0.103157	0.260218	0.528962
a97	0.160099	0.0854773	0.137325	0.237761	0.379338
a99	0.207739	0.0966732	0.150704	0.208426	0.336458
a97	0.125323	0.0588243	0.136633	0.225673	0.453547
a87	0.0853239	0.0457248	0.143573	0.238621	0.486758
a97	0.0808896	0.051165	0.143705	0.236129	0.488112
a84	0.090773	0.0712283	0.145993	0.237291	0.454715
</S>	0.11011	0.0802222	0.14817	0.232443	0.429054
