 	cette	fille	est	calme	si	bien	qu'	il	te	faut	la	prendre	en	mariage	</S>
a66	0.159592	0.105495	0.109226	0.11213	0.0562369	0.059576	0.0825342	0.0658572	0.0889898	0.0727927	0.046207	0.0215848	0.00851497	0.00603347	0.00523046
a87	0.250898	0.104202	0.0771575	0.0490938	0.045195	0.0495627	0.0489641	0.0401732	0.0435009	0.0514762	0.0484363	0.0447185	0.0400554	0.0506793	0.0558869
a97	0.255439	0.127597	0.105545	0.0701014	0.0514623	0.0448962	0.044228	0.0224789	0.0224797	0.0275127	0.0342097	0.0459716	0.0423668	0.0466507	0.0590619
a10	0.186465	0.145534	0.13958	0.083767	0.0505641	0.0467886	0.048105	0.0262838	0.0294734	0.0376253	0.0473407	0.0570182	0.036201	0.0324622	0.0327915
a87	0.208137	0.133949	0.123611	0.0708655	0.0380667	0.034621	0.0384452	0.0268415	0.0337749	0.0447561	0.0630858	0.0807202	0.0428132	0.0323575	0.0279544
a97	0.18633	0.1153	0.108103	0.0692398	0.0408509	0.0354134	0.0374417	0.0260456	0.0327594	0.0457821	0.0687194	0.0949789	0.0579893	0.0440928	0.036954
a87	0.188744	0.101715	0.0939584	0.059679	0.033002	0.0252789	0.028494	0.0247738	0.034006	0.046248	0.0768439	0.117987	0.0788341	0.0504701	0.0399658
a97	0.160565	0.0985103	0.0956221	0.06687	0.0431812	0.0349807	0.0372178	0.0291268	0.0366163	0.0472401	0.0724346	0.107416	0.0728931	0.0523665	0.044959
a38	0.164654	0.0941685	0.092731	0.0668133	0.0407774	0.0307312	0.0324513	0.0296182	0.0389109	0.0471731	0.0723742	0.112694	0.0865401	0.0535145	0.0368481
a90	0.130721	0.116742	0.120735	0.100118	0.0576686	0.0424879	0.0420081	0.0318637	0.0434616	0.0470772	0.0662934	0.0811248	0.0583207	0.0381575	0.0232211
a98	0.153615	0.15543	0.170669	0.118648	0.0612778	0.0511382	0.0463758	0.0241272	0.0238883	0.0209129	0.0249525	0.0303274	0.0393342	0.0398473	0.0394569
a92	0.0602596	0.0876693	0.130586	0.140072	0.103546	0.0959651	0.0808503	0.0442913	0.0389622	0.0297165	0.0296195	0.0271154	0.0349074	0.0441147	0.0523243
a56	0.0445347	0.0835572	0.14246	0.159203	0.121443	0.115824	0.0942029	0.0543411	0.0452145	0.0328804	0.0265436	0.0187665	0.0160283	0.0189264	0.0260745
a93	0.0486661	0.073608	0.127935	0.170845	0.148416	0.129102	0.0943073	0.0513015	0.0410795	0.0292193	0.0232957	0.0173242	0.0134177	0.0135379	0.0179457
a25	0.0459516	0.0710554	0.109778	0.158104	0.158904	0.13615	0.108609	0.059607	0.043176	0.0288541	0.0207315	0.0145999	0.0126649	0.0138915	0.0179236
a92	0.0219013	0.0519373	0.0927234	0.133791	0.139585	0.146164	0.126388	0.0833052	0.0620789	0.041158	0.0254819	0.0151426	0.0137579	0.0179403	0.0286449
a56	0.0225483	0.0465185	0.0844019	0.140208	0.156858	0.144779	0.117158	0.0787335	0.0617724	0.0467036	0.0292179	0.015643	0.0126831	0.0162019	0.0265724
a96	0.0141234	0.0318571	0.0665052	0.127911	0.154719	0.144707	0.130743	0.0922253	0.0703116	0.0501157	0.0294167	0.0176209	0.0161102	0.0207374	0.0328951
a18	0.00770999	0.0173979	0.0394322	0.0913907	0.132572	0.142993	0.148227	0.12344	0.0898755	0.0638525	0.0361963	0.0222822	0.0204403	0.0258356	0.038355
a71	0.00288384	0.00658015	0.0155472	0.0532204	0.128281	0.1377	0.143983	0.14623	0.113482	0.0772233	0.0440996	0.0290632	0.0251776	0.0314286	0.0450998
a24	0.0030931	0.00502383	0.00904442	0.0357036	0.132283	0.14118	0.14613	0.161168	0.137554	0.0852238	0.0476603	0.028792	0.0201477	0.0215563	0.0254405
a88	0.00415479	0.00522424	0.0088082	0.0318988	0.109342	0.120389	0.12231	0.134315	0.116092	0.0894867	0.0580716	0.0388817	0.0387845	0.0510388	0.0712025
a9	0.00222497	0.00322019	0.00556111	0.0218502	0.098604	0.108491	0.115822	0.150107	0.135135	0.105197	0.0685834	0.045919	0.0365659	0.0436577	0.0590616
a99	0.0046145	0.0056988	0.00841358	0.0220344	0.089896	0.0989403	0.102307	0.136617	0.140757	0.115109	0.0748135	0.0527653	0.0437998	0.0493848	0.0548493
