 	le	porc-épic	se	nourrit	de	fruits	sauvages	tsonii	</S>
a66	0.273496	0.241859	0.136892	0.0971569	0.0885499	0.0657807	0.0581875	0.0256447	0.012434
a87	0.496437	0.262689	0.10782	0.0409269	0.0296093	0.0187613	0.0213811	0.0119752	0.0103998
a23	0.575386	0.24048	0.0622529	0.0246936	0.0192199	0.0171671	0.0246366	0.0202064	0.0159572
a99	0.548788	0.253605	0.0661585	0.0259621	0.0163976	0.0142558	0.0214849	0.0266201	0.026728
a30	0.24684	0.141891	0.0842674	0.0625904	0.0574642	0.067905	0.122102	0.130529	0.0864117
a93	0.144154	0.122066	0.115388	0.0962148	0.0802825	0.0796725	0.132741	0.139721	0.089759
a44	0.133771	0.15254	0.200926	0.15825	0.101263	0.0725494	0.0851033	0.0622281	0.0333698
a90	0.0837703	0.13454	0.200326	0.18574	0.126664	0.0809535	0.0749023	0.067579	0.0455245
a98	0.0499274	0.0979852	0.202286	0.208666	0.146146	0.0907494	0.0779154	0.0722316	0.0540923
a85	0.0707863	0.124313	0.210117	0.188037	0.131309	0.0865418	0.0725031	0.0607187	0.0556742
a37	0.069417	0.11413	0.193935	0.190114	0.149281	0.10616	0.0789705	0.051955	0.0460361
a75	0.0607646	0.0978614	0.162564	0.206873	0.158682	0.097052	0.0678088	0.0730261	0.0753688
a85	0.0278606	0.0475313	0.0949125	0.142397	0.134567	0.130789	0.130434	0.153138	0.138371
a6	0.036202	0.0570215	0.0904903	0.122952	0.12217	0.131984	0.125624	0.151276	0.162279
a37	0.0186142	0.0251535	0.0512221	0.0986131	0.114213	0.152662	0.142722	0.196684	0.200115
a44	0.0167148	0.015587	0.0248394	0.0635103	0.0971684	0.151993	0.157236	0.204542	0.268409
a11	0.0129037	0.00939305	0.0115117	0.0307773	0.0610405	0.130571	0.168766	0.263229	0.311807
a93	0.00636118	0.00449542	0.00570703	0.0123083	0.0277074	0.0793302	0.133776	0.318238	0.412076
a70	0.00513111	0.00371799	0.00488039	0.0112275	0.025002	0.0680965	0.119851	0.318043	0.44405
a62	0.00268284	0.00178205	0.00256963	0.0055866	0.0105485	0.0314024	0.0642673	0.28844	0.592721
a88	0.00250828	0.00169967	0.00294717	0.00529202	0.00955654	0.0250144	0.0692277	0.324495	0.55926
a83	0.0011967	0.00087839	0.00191063	0.00403372	0.0085106	0.023321	0.0717838	0.353624	0.534742
a9	0.000896432	0.000647718	0.00170173	0.00427499	0.00923385	0.0256661	0.0729401	0.336762	0.547877
a99	0.0105497	0.00653098	0.00805899	0.0137462	0.0236723	0.0634981	0.123694	0.297679	0.452571
a87	0.0976623	0.0466665	0.0366304	0.0476148	0.0616664	0.0959691	0.124138	0.201148	0.288505
a23	0.294654	0.116002	0.0519818	0.046142	0.0551102	0.0711	0.100354	0.128056	0.1366
a97	0.14638	0.0489057	0.0263269	0.0212469	0.0301184	0.0605604	0.121622	0.233111	0.311728
</S>	0.0402441	0.0155124	0.0130449	0.0137266	0.0213873	0.0401429	0.0975994	0.296667	0.461675
