 	l'	enfant	qui	était	en	train	de	pleurer	s'	est	calmé	</S>
a66	0.0526259	0.04019	0.0323618	0.0382068	0.0543383	0.100043	0.159466	0.282339	0.163995	0.0590704	0.0114476	0.00591594
a87	0.0896555	0.0497488	0.040523	0.0470598	0.0592117	0.0702001	0.100131	0.195581	0.16739	0.109723	0.0496424	0.0211334
a23	0.107441	0.0751787	0.0634655	0.0659158	0.078279	0.10049	0.134814	0.184961	0.11179	0.0528264	0.015498	0.00934081
a87	0.0745528	0.0526868	0.0616284	0.0688569	0.0962187	0.11803	0.163089	0.218016	0.0961822	0.0323673	0.0110943	0.00727697
a23	0.0661841	0.0496922	0.064143	0.0699811	0.0971093	0.115155	0.154035	0.216326	0.111163	0.0386008	0.0113777	0.00623295
a83	0.0583288	0.0406538	0.0422039	0.0420346	0.0501691	0.0675486	0.121146	0.289635	0.171945	0.0703845	0.0288056	0.0171453
a54	0.0879878	0.0808304	0.0581341	0.0486081	0.046616	0.0585534	0.107478	0.196708	0.12016	0.0908565	0.0691008	0.0349674
a6	0.135135	0.100007	0.0485973	0.0355135	0.0323914	0.0435966	0.0770059	0.133998	0.0923597	0.102902	0.131139	0.0673537
a21	0.083903	0.0792952	0.0588652	0.0574993	0.0631873	0.0754842	0.123451	0.170674	0.0948561	0.0680692	0.0648453	0.0598707
a47	0.102867	0.0883716	0.0786724	0.0737707	0.0743994	0.075234	0.114686	0.186043	0.0972733	0.0524568	0.031849	0.0243769
a21	0.0614143	0.0610756	0.0769388	0.0908479	0.102671	0.100212	0.134213	0.189425	0.099178	0.0425142	0.0214445	0.0200651
a85	0.0653832	0.0615332	0.0782967	0.0937291	0.10816	0.104431	0.131014	0.186637	0.0953697	0.0362707	0.0191297	0.0200449
a5	0.0406128	0.0519511	0.092926	0.111482	0.131232	0.105606	0.121306	0.142804	0.0803912	0.0421934	0.0296605	0.0498354
a61	0.0434471	0.0438174	0.0821866	0.110773	0.132116	0.126019	0.136559	0.150838	0.0844525	0.0347901	0.0236944	0.0313074
a21	0.0295252	0.0287431	0.0666019	0.108417	0.142875	0.142909	0.145311	0.136444	0.0880718	0.0418311	0.0291702	0.0401011
a41	0.0227995	0.0215682	0.0507596	0.0896004	0.135413	0.13775	0.139669	0.129545	0.0960444	0.0615814	0.0447997	0.0704697
a18	0.0121471	0.0123073	0.0325501	0.060478	0.100296	0.113159	0.101647	0.0646498	0.0665723	0.0666338	0.0882526	0.281307
a88	0.0149621	0.0163766	0.0299837	0.0540691	0.0891592	0.128768	0.11992	0.0704601	0.0920382	0.0903638	0.0983794	0.19552
a71	0.0145768	0.0147425	0.0238017	0.0416562	0.0653457	0.100616	0.105845	0.0819676	0.106859	0.118633	0.120311	0.205645
a38	0.0180834	0.0191336	0.0278482	0.0443016	0.0611452	0.0928233	0.09695	0.0956421	0.0869684	0.0963454	0.159417	0.201342
a4	0.0282386	0.025476	0.0316818	0.0443516	0.0633719	0.0962727	0.113444	0.172354	0.139869	0.10215	0.0879947	0.0947951
a57	0.004558	0.00346919	0.0055198	0.00933386	0.0144189	0.0198704	0.0234255	0.0342194	0.0455978	0.135101	0.280611	0.423875
a82	0.00364554	0.00324914	0.00529169	0.00974541	0.0162914	0.0283817	0.0345565	0.0426214	0.051438	0.106562	0.263621	0.434597
a11	0.0111819	0.00928787	0.0115025	0.0173835	0.0260924	0.0451624	0.0583585	0.0883293	0.0915136	0.121457	0.228061	0.29167
a10	0.01947	0.0120609	0.0123125	0.0170411	0.0283222	0.0528935	0.0655779	0.0875404	0.0896421	0.136	0.20252	0.276619
a87	0.0241517	0.0144483	0.013658	0.0178391	0.0273846	0.0484624	0.0559765	0.0750864	0.111599	0.157801	0.180021	0.273571
a23	0.0414684	0.0231182	0.0173581	0.0192276	0.0283067	0.0514491	0.0626913	0.0953685	0.185314	0.212815	0.138109	0.124774
a10	0.0117933	0.00703949	0.0084885	0.0131872	0.0238307	0.0377633	0.0490219	0.0836475	0.188115	0.276886	0.175572	0.124656
a87	0.0121318	0.00946577	0.0125428	0.0176081	0.0260088	0.0357541	0.044818	0.0894573	0.130588	0.142634	0.193763	0.285228
</S>	0.0402221	0.0264248	0.0264626	0.03183	0.0412784	0.0609028	0.0689978	0.0924123	0.134419	0.13522	0.151392	0.190438
