 	j'	ai	une	plaie	à	la	joue	</S>
a66	0.292324	0.173471	0.134649	0.124877	0.113257	0.0809087	0.0426762	0.0378376
a87	0.395661	0.291719	0.147024	0.0668476	0.0363232	0.0217859	0.0157046	0.0249348
a97	0.407215	0.286852	0.13045	0.0743513	0.0357152	0.0209554	0.0175919	0.026869
a83	0.394512	0.290075	0.124546	0.0733972	0.0347669	0.0231343	0.0241464	0.0354218
a50	0.433011	0.252125	0.103162	0.0570999	0.041906	0.0359164	0.0401069	0.0366729
a62	0.343559	0.241114	0.170199	0.0898286	0.0614853	0.0400105	0.0312779	0.0225256
a61	0.252886	0.283271	0.198295	0.111251	0.063676	0.0404231	0.0292551	0.0209426
a21	0.163625	0.239446	0.207915	0.151442	0.0917564	0.0636982	0.0462192	0.0358984
a6	0.111559	0.157532	0.167604	0.181509	0.137219	0.107639	0.0780828	0.0588554
a36	0.0362409	0.0461988	0.0728654	0.124707	0.148241	0.182332	0.21431	0.175105
a90	0.0217528	0.0186995	0.0369259	0.0936148	0.124536	0.159427	0.231879	0.313165
a98	0.0186025	0.0154505	0.0361751	0.107525	0.154469	0.181295	0.226223	0.260261
a79	0.00964674	0.00884417	0.0273662	0.0956188	0.149451	0.196039	0.241848	0.271186
a25	0.00286247	0.00221848	0.00700575	0.03118	0.0675527	0.139787	0.309396	0.439998
a69	0.000374795	0.000281165	0.000935773	0.00706485	0.0273143	0.0987182	0.340237	0.525074
a15	0.000499043	0.000295701	0.00068608	0.0045614	0.0197836	0.0763587	0.334163	0.563652
a79	0.000292912	0.000179687	0.000451385	0.00288559	0.0133629	0.0612377	0.339283	0.582307
a7	0.000504226	0.000304711	0.000675582	0.00334257	0.0138785	0.0616385	0.340377	0.579279
a54	0.000907991	0.000707608	0.00181887	0.00745482	0.0254666	0.084861	0.301543	0.57724
a36	0.00439591	0.00391742	0.00617611	0.0147604	0.0316267	0.081925	0.286485	0.570713
a2	0.00970004	0.00932532	0.0147652	0.0250581	0.0431028	0.095667	0.255602	0.546779
a57	0.0669237	0.0452196	0.0433115	0.0612953	0.0872	0.140804	0.237788	0.317458
a97	0.296848	0.178224	0.114818	0.105912	0.0921921	0.077524	0.0723577	0.0621245
a87	0.216959	0.145179	0.0984169	0.0946835	0.0936648	0.0987908	0.12622	0.126086
a97	0.214453	0.133701	0.0866903	0.0904046	0.0883146	0.0955351	0.141676	0.149225
a99	0.111625	0.0922179	0.0606114	0.0729159	0.0744664	0.102368	0.204819	0.280976
a27	0.0970859	0.065707	0.0467655	0.0850232	0.0951691	0.134624	0.230359	0.245266
</S>	0.0840327	0.0627411	0.0460764	0.0926421	0.104767	0.145095	0.222519	0.242126
