 	cet	enfant	a	volé	des	mangues	chez	nous	</S>
a66	0.305982	0.191512	0.132474	0.102711	0.0919051	0.0819018	0.053405	0.0224863	0.0176232
a97	0.315138	0.163346	0.108016	0.0759602	0.0870467	0.0932063	0.0694764	0.0447314	0.0430799
a3	0.427903	0.247258	0.153666	0.0728422	0.0360742	0.0224116	0.0149139	0.0111622	0.0137686
a97	0.42502	0.228972	0.160691	0.0748211	0.0360773	0.0245077	0.0184266	0.0142874	0.017197
a3	0.422002	0.206118	0.14947	0.0642877	0.0377532	0.0334773	0.0314015	0.0257411	0.0297493
a99	0.422579	0.206352	0.141906	0.056338	0.03574	0.0349736	0.0356937	0.0302433	0.0361739
a53	0.459521	0.156394	0.0935167	0.0379796	0.0314405	0.0421772	0.0597081	0.0567087	0.0625548
a90	0.268441	0.231705	0.204289	0.0986652	0.0515318	0.0354652	0.0376019	0.0349939	0.037306
a44	0.152331	0.219278	0.226362	0.159543	0.0905261	0.0473749	0.0397809	0.0351634	0.0296393
a90	0.0840332	0.151128	0.18198	0.157304	0.12245	0.0805931	0.0730406	0.0791411	0.0703305
a69	0.0689909	0.144045	0.18947	0.176622	0.140331	0.0846636	0.067201	0.0673707	0.0613052
a15	0.0635467	0.132813	0.178848	0.174321	0.148803	0.0927851	0.0708154	0.0712679	0.0667991
a56	0.0679028	0.143327	0.195675	0.19086	0.153335	0.0920187	0.0594169	0.0489741	0.0484907
a44	0.0653986	0.104442	0.144804	0.172823	0.170537	0.117486	0.0769305	0.0737548	0.0738228
a94	0.0459004	0.0777754	0.11171	0.171794	0.19732	0.141845	0.0919786	0.0805104	0.0811666
a44	0.0253169	0.0381031	0.0564854	0.116572	0.204509	0.190502	0.132274	0.113078	0.12316
a15	0.0171777	0.0270568	0.0409728	0.0957689	0.192839	0.197286	0.157884	0.133161	0.137854
a44	0.0122771	0.0234702	0.0362065	0.0853835	0.179743	0.19812	0.169973	0.139094	0.155733
a54	0.0053666	0.00812717	0.0118573	0.031307	0.0987743	0.166948	0.198262	0.213911	0.265447
a94	0.00927773	0.0146801	0.0219755	0.0447135	0.115578	0.190415	0.222311	0.18502	0.196029
a70	0.00331015	0.00465013	0.00627487	0.0168366	0.0504874	0.105233	0.201168	0.27703	0.33501
a11	0.00131235	0.00171611	0.00217662	0.0061519	0.0232928	0.0621037	0.16719	0.342704	0.393353
a54	0.0011976	0.00141602	0.00170134	0.00348651	0.0128829	0.0422649	0.130129	0.331116	0.475806
a79	0.00130144	0.00170106	0.00234114	0.00692376	0.0237711	0.052915	0.124391	0.288382	0.498274
a44	0.00112872	0.0017255	0.00225372	0.00564468	0.0167714	0.0401826	0.109195	0.298969	0.524129
a26	0.0005637	0.000840233	0.00100157	0.00256937	0.00987574	0.0292623	0.0962946	0.306456	0.553137
a11	0.00116202	0.00125224	0.00133194	0.00231392	0.00897207	0.0364202	0.101545	0.278937	0.568066
a43	0.00767218	0.00793894	0.00783342	0.0103531	0.0228141	0.0533644	0.0968849	0.229473	0.563666
a0	0.0055649	0.00628017	0.00674146	0.0100292	0.0226311	0.0469231	0.0848483	0.236754	0.580228
a83	0.0639434	0.0448097	0.036681	0.0386253	0.0539153	0.071166	0.0938495	0.185885	0.411125
a9	0.0142646	0.0132935	0.0121974	0.0174823	0.0333942	0.0595015	0.101852	0.227889	0.520125
a3	0.0374607	0.0295012	0.0268204	0.0330129	0.0524576	0.0715662	0.0939508	0.192835	0.462395
a97	0.163191	0.0981625	0.0656484	0.0539687	0.0621851	0.0743818	0.0902692	0.13858	0.253614
a3	0.140224	0.101944	0.0776853	0.0642331	0.0691332	0.0839984	0.109115	0.144056	0.209611
a9	0.0733719	0.0618133	0.0569509	0.0762383	0.115143	0.141585	0.136792	0.144793	0.193313
a3	0.0649639	0.0652047	0.0559502	0.0714457	0.103062	0.130227	0.137257	0.153413	0.218477
a87	0.0695811	0.0776369	0.068179	0.0904058	0.119101	0.131428	0.120057	0.126713	0.196898
</S>	0.0793626	0.0872627	0.0626684	0.0657422	0.0839424	0.105567	0.120242	0.152878	0.242335
