 	hier	j'	ai	acheté	un	balai	au	marché	</S>
a66	0.265941	0.21136	0.155927	0.119656	0.111329	0.0769539	0.0346595	0.0144869	0.00968581
a87	0.302422	0.218741	0.178654	0.140265	0.0867575	0.0361699	0.0172598	0.0110039	0.00872694
a23	0.423555	0.26488	0.153822	0.0734633	0.0298218	0.0152249	0.0151635	0.0121701	0.0119
a83	0.416036	0.26734	0.129477	0.054353	0.0215241	0.0141774	0.0202838	0.0316386	0.0451703
a75	0.220274	0.178969	0.144073	0.0898479	0.0551713	0.051063	0.0771686	0.0904028	0.0930305
a47	0.234628	0.246389	0.186716	0.111021	0.0698878	0.0429346	0.0437268	0.0373517	0.0273457
a36	0.13086	0.196407	0.196192	0.166998	0.127555	0.0641996	0.0543253	0.0414686	0.0219929
a7	0.113756	0.152037	0.163064	0.173141	0.150988	0.0850901	0.0726247	0.0603323	0.0289661
a15	0.0792392	0.105826	0.126592	0.157646	0.151846	0.102234	0.0998006	0.109027	0.0677903
a25	0.06513	0.0883716	0.113994	0.153037	0.148103	0.0964845	0.0974177	0.129029	0.108432
a56	0.0700192	0.0901022	0.116289	0.164874	0.165293	0.0972022	0.087173	0.113029	0.096017
a90	0.0836783	0.079687	0.0977606	0.142262	0.152571	0.101669	0.0891329	0.126041	0.127199
a12	0.0626608	0.0502512	0.0588901	0.0982987	0.147016	0.145435	0.124696	0.154721	0.15803
a43	0.0376083	0.0282818	0.0288598	0.0486461	0.100419	0.158229	0.15649	0.191001	0.250465
a75	0.0313337	0.0240347	0.0230612	0.0341185	0.0654173	0.139778	0.176817	0.230399	0.275041
a56	0.00692866	0.00514276	0.00478482	0.00734795	0.0211256	0.0904399	0.179745	0.286653	0.397832
a75	0.0112224	0.00794156	0.00658648	0.00848158	0.0166751	0.0692983	0.165955	0.297739	0.416101
a92	0.00315772	0.00197667	0.00160131	0.00214513	0.00484172	0.0287888	0.11602	0.294421	0.547049
a90	0.00143717	0.000867545	0.000752077	0.00113696	0.00303872	0.0211753	0.106143	0.285484	0.579965
a92	0.00157995	0.000819486	0.000668942	0.000949085	0.00217204	0.0134299	0.0841237	0.258486	0.637771
a79	0.000896766	0.000420021	0.000351548	0.000532596	0.00137915	0.0088006	0.0610336	0.221219	0.705367
a75	0.0003809	0.000180007	0.000160063	0.000274748	0.000851939	0.00640995	0.0502532	0.202615	0.738875
a5	0.000554475	0.000277295	0.000263966	0.000463964	0.00136971	0.00899024	0.0548893	0.193653	0.739538
a37	0.00172249	0.000864202	0.000785994	0.00125243	0.0031241	0.0129892	0.0651842	0.20837	0.705708
a27	0.00233744	0.00143044	0.00189496	0.00347477	0.00765311	0.0239706	0.0782927	0.202368	0.678578
a82	0.0577729	0.0264299	0.0241559	0.0236701	0.0277096	0.0420233	0.070883	0.160188	0.567167
a87	0.379778	0.14148	0.0804859	0.0486546	0.0362665	0.036917	0.0472437	0.0714538	0.157721
a23	0.408461	0.189529	0.106932	0.0607519	0.0361489	0.0277821	0.0360699	0.0512435	0.0830818
a99	0.183282	0.0895065	0.0481381	0.029304	0.0167814	0.0220267	0.0618488	0.16234	0.386772
a97	0.0752267	0.0365491	0.0231605	0.0210116	0.0214251	0.0390452	0.0939074	0.224703	0.464971
</S>	0.0700844	0.032723	0.0187685	0.0183509	0.0198596	0.0303484	0.0768862	0.222729	0.510249
