 	l'	ombrette	a	un	long	bec	</S>
a23	0.441258	0.206956	0.112299	0.0903639	0.0681268	0.0432797	0.037717
a13	0.455419	0.228921	0.125789	0.0709677	0.0407917	0.0336559	0.0444552
a94	0.393945	0.231786	0.147429	0.0796148	0.0353573	0.0471941	0.0646744
a41	0.41977	0.291313	0.191865	0.0634084	0.0144513	0.0109176	0.00827525
a27	0.321186	0.247626	0.235429	0.113594	0.0339234	0.0257582	0.0224826
a30	0.26654	0.227457	0.237209	0.140769	0.0474803	0.0396495	0.0408952
a40	0.198807	0.178444	0.193865	0.195969	0.0926664	0.0695639	0.0706852
a41	0.199915	0.194284	0.207105	0.179849	0.0853666	0.0683911	0.0650891
a26	0.210698	0.211966	0.215326	0.184557	0.0817721	0.0514362	0.0442446
a24	0.181024	0.174366	0.176882	0.199013	0.114862	0.0772811	0.076571
a61	0.145848	0.157081	0.1695	0.213275	0.146165	0.0890916	0.0790397
a18	0.137447	0.133894	0.12601	0.167427	0.173629	0.140752	0.120843
a90	0.0891591	0.0920934	0.0904609	0.130723	0.212677	0.193064	0.191822
a38	0.125815	0.108265	0.0909334	0.108049	0.193929	0.191133	0.181876
a90	0.0599864	0.0476801	0.0424616	0.0669327	0.18758	0.269415	0.325944
a94	0.0708505	0.0451337	0.0352877	0.0511548	0.155426	0.278354	0.363793
a76	0.0341047	0.0200427	0.0144217	0.0219583	0.0915485	0.275233	0.542691
a90	0.0469763	0.0293506	0.0206862	0.0373443	0.119846	0.248959	0.496838
a98	0.039754	0.0251185	0.0182606	0.0303405	0.108546	0.268099	0.509881
a73	0.0666354	0.0357549	0.0206185	0.0327756	0.111049	0.249454	0.483713
a84	0.0545492	0.0298833	0.0173721	0.0299693	0.089965	0.230153	0.548108
a57	0.0170032	0.0104466	0.00746194	0.0150462	0.0604205	0.202485	0.687137
a87	0.0126312	0.0100986	0.00751926	0.0157359	0.0762274	0.191871	0.685917
</S>	0.0150305	0.0124571	0.0105154	0.024216	0.0982141	0.261442	0.578124
