 	le	mal	de	ventre	de	cette	femme	s'	est	aggravé	</S>
a15	0.139454	0.105006	0.0824697	0.0721852	0.0836939	0.123424	0.137024	0.167155	0.0685542	0.0123956	0.00863812
a66	0.262425	0.162586	0.136457	0.0990221	0.0731862	0.076599	0.0589068	0.0717135	0.0370986	0.0110591	0.010947
a87	0.418003	0.260636	0.134988	0.0589366	0.0336742	0.035178	0.0224852	0.0192136	0.00697777	0.00395232	0.00595584
a23	0.2745	0.243943	0.170165	0.104931	0.0649646	0.0622846	0.0331958	0.0224566	0.0123419	0.00521231	0.00600516
a30	0.306406	0.25685	0.155946	0.0863645	0.0495854	0.0557789	0.0355365	0.0191539	0.0104808	0.0082215	0.0156763
a93	0.283266	0.197718	0.136451	0.0989105	0.0742856	0.0790884	0.0525903	0.0344846	0.0148604	0.0129596	0.0153852
a62	0.304506	0.245449	0.168003	0.0924818	0.052626	0.0412514	0.035061	0.0374363	0.0106855	0.00774604	0.00475395
a61	0.189755	0.190484	0.167167	0.119394	0.0806923	0.0599126	0.0558358	0.0812862	0.0300098	0.0162562	0.0092079
a93	0.17088	0.15358	0.140675	0.112706	0.0836191	0.0670561	0.0670486	0.12132	0.0445961	0.0267112	0.0118084
a94	0.122694	0.117881	0.123438	0.121223	0.104881	0.0939919	0.102409	0.131979	0.0410541	0.0254528	0.0149962
a34	0.0907272	0.0831833	0.0972343	0.107636	0.103761	0.101236	0.119958	0.181715	0.0634462	0.0350022	0.0161003
a47	0.0645493	0.0589582	0.0812862	0.099073	0.104734	0.108139	0.135711	0.217443	0.0803768	0.0359147	0.0138146
a61	0.033252	0.0317305	0.0523501	0.0749623	0.0995248	0.115032	0.145922	0.213379	0.139565	0.0653601	0.0289223
a43	0.0225775	0.0216435	0.0391245	0.0622973	0.0904367	0.11441	0.164321	0.28143	0.151252	0.0371844	0.0153229
a34	0.0194718	0.0192351	0.0356063	0.0551797	0.0852434	0.114464	0.165092	0.245092	0.192414	0.0457357	0.0224671
a96	0.0136844	0.0130801	0.0244404	0.0416176	0.0746692	0.123745	0.202954	0.264494	0.178654	0.0400859	0.0225757
a34	0.0148892	0.0149604	0.0238956	0.0336181	0.0607171	0.108102	0.193374	0.238477	0.194684	0.0575814	0.0597014
a96	0.010602	0.00992987	0.0162485	0.0250545	0.0468264	0.0937435	0.193905	0.249816	0.235902	0.0697057	0.0482664
a11	0.0167034	0.0175402	0.0252751	0.0316012	0.0486908	0.0796166	0.14776	0.185584	0.229868	0.0980463	0.119314
a62	0.0257063	0.0332118	0.0503798	0.0565737	0.0748148	0.0919689	0.114853	0.113044	0.141687	0.103102	0.194658
a47	0.0172609	0.0194769	0.029029	0.034095	0.0495678	0.065825	0.0873378	0.100348	0.175522	0.134574	0.286963
a12	0.0149176	0.0155989	0.0214058	0.0243728	0.0349821	0.045887	0.0599167	0.0646888	0.137151	0.146094	0.434985
a47	0.00612416	0.00548075	0.00696511	0.00794642	0.0110031	0.0173659	0.0309798	0.0422968	0.134336	0.299925	0.437576
a61	0.011071	0.012687	0.0166786	0.018082	0.0200532	0.0186417	0.015187	0.013593	0.0395039	0.195185	0.639318
a34	0.00384068	0.00357727	0.00483721	0.00570201	0.00771453	0.0106453	0.0136173	0.0148798	0.0538518	0.278764	0.60257
a93	0.00233111	0.00219376	0.00283984	0.0032506	0.00413612	0.00533782	0.00645201	0.00760171	0.03073	0.286922	0.648205
a56	0.00279822	0.00283247	0.00365769	0.00438119	0.00570828	0.00645712	0.00588891	0.0057018	0.0223241	0.216087	0.724163
a37	0.00145987	0.00134928	0.00165225	0.00182883	0.00239175	0.00266566	0.00259699	0.00286465	0.0138542	0.208288	0.761048
a26	0.0013773	0.00137407	0.00170231	0.00197187	0.00249586	0.00222133	0.0013784	0.00152038	0.00759162	0.164268	0.814099
a82	0.0199287	0.0175025	0.0186615	0.0200046	0.0220077	0.017238	0.0128203	0.0133818	0.0531699	0.286277	0.519008
a3	0.0805554	0.054782	0.0430879	0.0364201	0.0333007	0.028972	0.0271203	0.0374383	0.0812451	0.224939	0.352139
a87	0.16948	0.116304	0.081659	0.0470818	0.0372389	0.0345509	0.0381204	0.0670182	0.0998446	0.176838	0.131864
a23	0.166741	0.125239	0.0937433	0.0541115	0.0429635	0.0373414	0.0403712	0.0674153	0.151691	0.148566	0.0718168
a87	0.127801	0.10419	0.0793768	0.044617	0.0364564	0.0303048	0.0355926	0.0584171	0.12437	0.145058	0.213816
</S>	0.0408188	0.0279972	0.0194564	0.0105109	0.0105397	0.0118231	0.0214163	0.0504442	0.122689	0.230497	0.453807
