 	le	ciel	se	brouille	</S>
a23	0.274572	0.198131	0.196292	0.182396	0.148609
a50	0.454429	0.240894	0.134829	0.0822186	0.0876299
a88	0.52213	0.225032	0.116281	0.0779392	0.0586178
a9	0.596367	0.259785	0.0851805	0.0377166	0.0209511
a38	0.559603	0.236877	0.115645	0.0543236	0.0335519
a93	0.527842	0.265001	0.107752	0.0553052	0.0441008
a75	0.436344	0.30097	0.146102	0.0697812	0.046803
a31	0.315475	0.309321	0.18224	0.115803	0.0771608
a56	0.206917	0.291306	0.254072	0.157925	0.0897805
a90	0.146724	0.255887	0.27234	0.210277	0.114773
a25	0.118117	0.221363	0.282932	0.250401	0.127188
a44	0.0700336	0.146615	0.288933	0.320827	0.173591
a11	0.0661494	0.134056	0.2654	0.313156	0.221238
a75	0.0354373	0.0699402	0.197445	0.315233	0.381945
a35	0.0279531	0.0430618	0.126297	0.33695	0.465738
a2	0.017494	0.0283958	0.0925169	0.281519	0.580074
a57	0.00611175	0.0107683	0.0324249	0.189761	0.760934
a87	0.0257005	0.0304597	0.0750744	0.219071	0.649694
a23	0.0866981	0.0571217	0.113323	0.244292	0.498565
a10	0.0574324	0.045798	0.120779	0.304988	0.471003
</S>	0.0316215	0.0360202	0.10773	0.264044	0.560584
