 	on	essaya	d'	arrêter	la	bagare	</S>
a10	0.252311	0.222986	0.0739539	0.0850822	0.123816	0.12146	0.12039
a87	0.187475	0.194392	0.121909	0.167521	0.118916	0.0953231	0.114463
a10	0.198766	0.268203	0.129825	0.150744	0.0828995	0.0766409	0.0929226
a87	0.192777	0.296011	0.113581	0.148263	0.101414	0.0697601	0.0781945
a10	0.18284	0.322598	0.128226	0.167132	0.0953762	0.0584542	0.045374
a87	0.206959	0.324173	0.135676	0.13976	0.0796088	0.0593425	0.0544822
a23	0.16381	0.305363	0.16087	0.175037	0.0926113	0.0588804	0.0434289
a87	0.162988	0.415876	0.170256	0.122749	0.0493045	0.03457	0.0442562
a23	0.130543	0.330752	0.158671	0.135856	0.0916569	0.0692581	0.083263
a83	0.175485	0.391657	0.155428	0.10555	0.0539849	0.0432491	0.074646
a11	0.237142	0.373385	0.203249	0.107942	0.0444623	0.0201226	0.0136966
a12	0.202256	0.290438	0.245786	0.148042	0.0703571	0.0271844	0.0159366
a96	0.214992	0.27294	0.245228	0.153503	0.0621686	0.0301996	0.0209687
a94	0.154795	0.200218	0.233431	0.184016	0.1174	0.0674215	0.0427191
a41	0.123566	0.195226	0.235336	0.192376	0.1283	0.0750152	0.0501808
a94	0.114199	0.181539	0.236917	0.221577	0.127033	0.0716666	0.0470682
a25	0.086588	0.130248	0.202189	0.229982	0.18148	0.10262	0.0668929
a53	0.0605306	0.0947931	0.149988	0.210754	0.224183	0.148575	0.111176
a90	0.0703216	0.104346	0.16419	0.179199	0.199385	0.143493	0.139065
a32	0.0478899	0.0756012	0.127457	0.178664	0.219179	0.16932	0.18189
a90	0.0375543	0.0526616	0.0849012	0.140215	0.20963	0.209043	0.265995
a94	0.0503258	0.0676728	0.0870471	0.117269	0.215575	0.202841	0.259269
a98	0.0381099	0.0488574	0.0625848	0.0899448	0.197548	0.233884	0.329071
a73	0.0417448	0.0545471	0.0687025	0.0928981	0.167451	0.217483	0.357173
a2	0.0336862	0.0374923	0.0526979	0.0772477	0.152657	0.217409	0.428809
a94	0.0223738	0.0187423	0.0248616	0.039711	0.115316	0.247221	0.531774
a56	0.0293225	0.0291737	0.0388898	0.0614791	0.130084	0.212823	0.498227
a98	0.021169	0.0282534	0.0330708	0.0490303	0.0927779	0.196667	0.579032
a71	0.0243765	0.0325936	0.0326874	0.040807	0.0672518	0.173864	0.62842
a9	0.0115498	0.0114896	0.0139179	0.0198505	0.0445293	0.125002	0.773661
a79	0.0107231	0.00853764	0.0107128	0.0151624	0.0408839	0.119531	0.794449
a4	0.0290824	0.0318835	0.030157	0.0467141	0.0593458	0.124456	0.678361
a13	0.0155368	0.0179946	0.0174259	0.0297696	0.0453372	0.115573	0.758363
a53	0.0082364	0.00847226	0.0100602	0.0177298	0.0442447	0.121759	0.789497
a69	0.00882297	0.0102703	0.0110061	0.020548	0.0446666	0.126127	0.778559
a84	0.00581976	0.00715031	0.00792133	0.0153442	0.0300574	0.0926816	0.841025
a87	0.0104239	0.0097697	0.0153493	0.0219158	0.0486885	0.120373	0.773479
a23	0.0233568	0.0214202	0.0391277	0.0385533	0.0655391	0.130693	0.68131
a87	0.0673231	0.0431121	0.0685599	0.0587831	0.0899092	0.150351	0.521962
</S>	0.013878	0.0174207	0.0266638	0.0348123	0.0723841	0.175441	0.6594
