 	c'	est	moi	qui	ai	construit	cette	maison	</S>
a66	0.244797	0.180398	0.123505	0.115878	0.104007	0.086082	0.0657863	0.0456575	0.03389
a87	0.128307	0.109947	0.119628	0.12724	0.133601	0.135306	0.102893	0.0816423	0.061435
a23	0.244528	0.206523	0.150808	0.112037	0.0852006	0.0568464	0.0458267	0.0550422	0.0431876
a99	0.245213	0.190533	0.144934	0.108215	0.0838786	0.0605931	0.0540837	0.0613644	0.0511849
a54	0.205434	0.15571	0.129868	0.110386	0.0877725	0.0716453	0.0730668	0.0843256	0.081791
a20	0.20506	0.165958	0.144358	0.104786	0.0780836	0.0569306	0.0615469	0.0776447	0.105632
a44	0.172621	0.14047	0.139192	0.123091	0.107759	0.0844084	0.0747785	0.0737269	0.0839543
a93	0.0778338	0.0778281	0.104726	0.118765	0.122948	0.113656	0.105735	0.120459	0.158049
a56	0.0721827	0.0746267	0.102849	0.128094	0.13923	0.119137	0.10508	0.114338	0.144464
a34	0.0735458	0.0760887	0.100756	0.126976	0.144591	0.127425	0.103697	0.105373	0.141548
a62	0.0547383	0.0510352	0.0647991	0.098158	0.142138	0.158192	0.139318	0.130353	0.161268
a83	0.0468494	0.03625	0.0393174	0.0639271	0.114021	0.160937	0.172735	0.164318	0.201644
a93	0.0299524	0.0238809	0.026871	0.0452235	0.0891254	0.15054	0.199251	0.199765	0.235391
a70	0.0362401	0.0279748	0.0294468	0.0474762	0.0890206	0.150723	0.195693	0.198269	0.225156
a50	0.0164041	0.0123729	0.0136185	0.0221606	0.0437124	0.105478	0.208525	0.26069	0.317038
a70	0.0047981	0.00410724	0.00480335	0.00750956	0.0136634	0.0439227	0.148106	0.311563	0.461526
a62	0.00361132	0.00281348	0.00321328	0.00520936	0.00982172	0.0310334	0.11459	0.303386	0.526321
a50	0.00384608	0.00331989	0.00418514	0.00580926	0.00976098	0.0326825	0.122477	0.301434	0.516485
a88	0.003368	0.00281843	0.00346325	0.00441313	0.00695893	0.0230253	0.10125	0.298034	0.556669
a83	0.0089788	0.00728221	0.00791501	0.0100867	0.0139555	0.033265	0.111947	0.274572	0.531998
a9	0.0102259	0.00816168	0.00854738	0.0104983	0.0135345	0.0299686	0.104277	0.267318	0.547469
a99	0.0418996	0.0302686	0.0269512	0.0295752	0.0321847	0.046799	0.104879	0.228773	0.45867
a97	0.100339	0.0675454	0.0535934	0.0516584	0.0485565	0.0544819	0.0895054	0.18724	0.34708
a10	0.10539	0.0722861	0.0556525	0.0517109	0.048159	0.0529187	0.0929828	0.210462	0.310438
a99	0.0649145	0.0515297	0.0475115	0.0519904	0.0570282	0.0741868	0.128033	0.232089	0.292717
a30	0.0547723	0.045369	0.0466303	0.0490565	0.0551096	0.0711963	0.126265	0.231321	0.32028
</S>	0.0845554	0.0619945	0.060216	0.0582419	0.0694425	0.0744848	0.106251	0.186645	0.298169
