 	sa	baguette	cassa	</S>
a10	0.373345	0.163422	0.244349	0.218884
a87	0.270256	0.308995	0.230932	0.189818
a23	0.367379	0.314255	0.190647	0.12772
a98	0.402269	0.285481	0.211951	0.100298
a71	0.728426	0.212304	0.0401637	0.0191066
a9	0.713629	0.237846	0.0346852	0.0138395
a38	0.579959	0.281219	0.0914978	0.0473241
a24	0.497194	0.309538	0.132713	0.0605543
a41	0.505987	0.310737	0.130375	0.0529013
a94	0.460381	0.313307	0.164156	0.0621563
a41	0.343051	0.327718	0.226531	0.102701
a73	0.243317	0.28992	0.301031	0.165733
a76	0.155439	0.216745	0.366363	0.261454
a73	0.143425	0.194297	0.385888	0.276389
a12	0.0654862	0.135145	0.410843	0.388525
a24	0.0572329	0.0956025	0.374735	0.47243
a94	0.0408787	0.0690434	0.262979	0.627099
a71	0.0673437	0.105101	0.259222	0.568334
a9	0.0584874	0.0801871	0.287384	0.573942
a53	0.0336068	0.0472459	0.217608	0.70154
a76	0.0504818	0.0804129	0.201748	0.667357
a73	0.0246925	0.0677355	0.182623	0.724949
a84	0.0129633	0.0366514	0.160788	0.789597
a57	0.00775479	0.0248165	0.180257	0.787172
a38	0.0103056	0.0285598	0.170287	0.790848
a90	0.0250798	0.0621477	0.216625	0.696148
a12	0.0180396	0.0464605	0.157693	0.777807
a90	0.0228671	0.0469777	0.171849	0.758306
a71	0.0205492	0.0505561	0.168586	0.760308
a25	0.0166397	0.042842	0.212391	0.728128
a11	0.0223888	0.0561254	0.207765	0.713721
a75	0.0193764	0.0509815	0.214044	0.715598
a94	0.0455627	0.0900936	0.186526	0.677818
a90	0.0197373	0.0549928	0.212928	0.712342
a4	0.0334481	0.0736448	0.211865	0.681042
a13	0.0247502	0.0622271	0.224941	0.688081
a9	0.0326598	0.0884775	0.284426	0.594437
a87	0.0349048	0.0939682	0.266137	0.60499
</S>	0.0588795	0.102068	0.204702	0.634351
