 	attention	tu	vas	tomber	</S>
a23	0.247208	0.17289	0.206318	0.161803	0.211781
a87	0.365983	0.206812	0.174152	0.121558	0.131494
a23	0.38352	0.236203	0.200407	0.104188	0.0756818
a20	0.286937	0.214983	0.230325	0.149573	0.118181
a58	0.441275	0.253864	0.160663	0.0830277	0.0611697
a82	0.42557	0.289058	0.179349	0.0736457	0.0323777
a79	0.32149	0.274958	0.185959	0.13612	0.0814727
a20	0.330875	0.271035	0.177686	0.132603	0.0878001
a73	0.328179	0.255217	0.186695	0.145396	0.0845131
a2	0.286276	0.252256	0.19919	0.152618	0.10966
a75	0.175273	0.190782	0.161226	0.216877	0.255842
a5	0.139131	0.152339	0.142067	0.256871	0.309593
a96	0.0722514	0.0941861	0.11313	0.291724	0.428708
a76	0.0596767	0.063337	0.0718934	0.233198	0.571895
a69	0.0519348	0.0686906	0.0852297	0.260181	0.533964
a94	0.0476036	0.0574932	0.0685954	0.239871	0.586436
a57	0.0342374	0.0356652	0.0471149	0.184609	0.698374
a9	0.0227994	0.0256196	0.0338198	0.152124	0.765638
a38	0.0278904	0.028731	0.0379833	0.13508	0.770315
a83	0.0321143	0.0301783	0.0386073	0.133162	0.765938
a9	0.0418629	0.0458739	0.0682303	0.17888	0.665152
a87	0.0509257	0.0530257	0.0743755	0.182966	0.638707
</S>	0.0326748	0.047597	0.0821928	0.197138	0.640397
