 	il	porte	des	vêtements	blancs	</S>
a23	0.450152	0.28182	0.135972	0.0575637	0.0383103	0.0361829
a85	0.483901	0.25309	0.136171	0.0599579	0.0339022	0.032978
a87	0.335394	0.283825	0.196122	0.0821705	0.0466239	0.0558653
a23	0.372674	0.270291	0.177072	0.0700252	0.0474042	0.0625336
a79	0.3304	0.233027	0.134426	0.0799578	0.0818604	0.140329
a20	0.509021	0.274554	0.0997391	0.0462584	0.036338	0.0340895
a44	0.382276	0.323658	0.189749	0.0591377	0.0268806	0.0182987
a20	0.275882	0.309566	0.266882	0.0922215	0.0330995	0.0223498
a73	0.267281	0.326277	0.256418	0.0815216	0.0378097	0.0306935
a94	0.271816	0.298492	0.258994	0.10065	0.0386495	0.0313979
a14	0.204898	0.232827	0.274039	0.163874	0.0691876	0.0551737
a35	0.196424	0.258703	0.269654	0.150854	0.0703248	0.0540397
a41	0.144159	0.185623	0.235709	0.205617	0.136937	0.0919539
a24	0.0837743	0.0966357	0.171035	0.264907	0.220138	0.16351
a32	0.0333373	0.0377409	0.0880155	0.216648	0.314891	0.309368
a38	0.0292051	0.0268375	0.051501	0.163048	0.289823	0.439586
a73	0.0291381	0.0196189	0.0329742	0.134805	0.300439	0.483025
a35	0.022412	0.015428	0.0349887	0.14192	0.320647	0.464604
a73	0.0139151	0.00884789	0.0190459	0.101081	0.330738	0.526372
a20	0.0211298	0.0131782	0.0235446	0.0994229	0.311597	0.531127
a73	0.0248742	0.0157801	0.0240242	0.0814046	0.23526	0.618657
a44	0.0104892	0.0086889	0.0169505	0.0724017	0.25691	0.634559
a58	0.0110675	0.00955777	0.0160154	0.0589415	0.201333	0.703085
a84	0.0131011	0.0148945	0.0200918	0.0569996	0.186468	0.708445
a11	0.00921717	0.00877386	0.0119407	0.0302902	0.151289	0.788489
a53	0.00684211	0.00953944	0.0183289	0.0589731	0.21029	0.696027
a4	0.00732827	0.0103463	0.0182003	0.0588455	0.19109	0.714189
a57	0.010228	0.0131416	0.0184848	0.0580838	0.186529	0.713533
a38	0.00727593	0.00920038	0.0147807	0.0465006	0.187958	0.734284
a10	0.00703249	0.00953803	0.017333	0.0535953	0.202977	0.709524
a53	0.00423545	0.00544564	0.00974184	0.0313645	0.159353	0.78986
a4	0.00699559	0.00952044	0.0153481	0.0487047	0.189438	0.729993
a13	0.00692018	0.00934415	0.0148631	0.0478983	0.180661	0.740313
a99	0.00541899	0.00619587	0.0104682	0.0340259	0.164212	0.779679
a87	0.00542133	0.00680846	0.0121976	0.0398724	0.175873	0.759827
</S>	0.00695057	0.0122008	0.0290985	0.0766484	0.213649	0.661453
