 	alomba	parlait	en	paraboles	</S>
a15	0.722013	0.200825	0.0594962	0.0119409	0.00572473
a66	0.621292	0.138717	0.102666	0.0925911	0.0447338
a87	0.750967	0.105291	0.0818517	0.0415107	0.0203797
a40	0.728053	0.119468	0.082829	0.0409843	0.0286663
a92	0.620676	0.210913	0.0896358	0.044702	0.0340734
a37	0.500997	0.29771	0.119801	0.057188	0.0243042
a98	0.322914	0.2922	0.147451	0.155659	0.0817757
a92	0.312752	0.38012	0.12856	0.118485	0.0600824
a85	0.304277	0.367587	0.126991	0.11911	0.0820351
a6	0.183359	0.294159	0.157738	0.181463	0.183281
a0	0.382639	0.361339	0.0965581	0.0827319	0.0767323
a21	0.285975	0.35169	0.112465	0.117721	0.13215
a85	0.152187	0.274469	0.161261	0.184129	0.227955
a92	0.0720311	0.152474	0.135321	0.234864	0.40531
a98	0.0665257	0.159306	0.223084	0.277307	0.273777
a47	0.0538381	0.133405	0.202879	0.256636	0.353242
a36	0.00641848	0.0385065	0.0741993	0.192391	0.688485
a47	0.0070793	0.0238513	0.0382377	0.138726	0.792105
a36	0.0169205	0.0439888	0.0750845	0.167308	0.696698
a47	0.0177018	0.0328115	0.0736067	0.172833	0.703047
a37	0.0570991	0.0727623	0.137828	0.216573	0.515738
a18	0.0169932	0.036454	0.0819018	0.18483	0.679821
a9	0.0316608	0.0606129	0.0786673	0.186663	0.642396
a99	0.378494	0.192776	0.11442	0.111444	0.202865
a97	0.274702	0.16576	0.143571	0.131391	0.284576
a99	0.226348	0.152536	0.17315	0.149891	0.298075
a97	0.0784424	0.0584813	0.106247	0.179433	0.577397
</S>	0.0414426	0.0407236	0.0949592	0.181104	0.641771
