 	le	pêcheur	apprend	à	son	enfant	à	pagayer	</S>
a66	0.446917	0.176471	0.0697046	0.0738683	0.0652529	0.0549858	0.0408482	0.0367292	0.0352231
a87	0.415846	0.15618	0.059183	0.0609924	0.0566549	0.0568774	0.0505621	0.0676835	0.0760207
a23	0.552472	0.22174	0.0626279	0.0350535	0.0206526	0.0187517	0.018732	0.032323	0.037647
a87	0.393381	0.218926	0.120948	0.0737426	0.0426201	0.0392659	0.0327487	0.0367939	0.0415739
a23	0.386958	0.176348	0.10666	0.0728678	0.0492373	0.0521213	0.0466362	0.0521184	0.0570531
a79	0.434835	0.201354	0.108423	0.0655171	0.0404094	0.0415161	0.0361075	0.0342813	0.0375573
a4	0.436935	0.297503	0.118326	0.0551482	0.0296134	0.0219122	0.0154653	0.0111248	0.013973
a30	0.316444	0.332837	0.154349	0.0787388	0.0460528	0.0287565	0.0182507	0.0119791	0.0125924
a53	0.19726	0.246691	0.193763	0.125358	0.0897826	0.0577248	0.0391723	0.0257471	0.0245004
a4	0.0951195	0.14908	0.178343	0.150001	0.13171	0.0947548	0.0783362	0.0616258	0.0610299
a44	0.0637691	0.110103	0.158792	0.147158	0.142756	0.105361	0.098449	0.0871814	0.0864302
a70	0.0557326	0.0984271	0.160835	0.146112	0.142823	0.105323	0.103913	0.0941853	0.0926482
a76	0.0233013	0.044676	0.111779	0.120118	0.137848	0.110917	0.133843	0.151589	0.16593
a41	0.0853162	0.0996768	0.166436	0.148198	0.145946	0.114819	0.0964723	0.0742677	0.0688675
a56	0.0375182	0.0506777	0.130726	0.13187	0.150375	0.120517	0.121517	0.114085	0.142714
a96	0.00737963	0.0136204	0.0678064	0.0921243	0.130071	0.120795	0.160486	0.183565	0.224152
a12	0.00391544	0.00746064	0.0478832	0.0782337	0.119799	0.117359	0.158628	0.199103	0.267619
a43	0.00410844	0.00706443	0.0415282	0.0763929	0.121331	0.117909	0.153304	0.199073	0.279289
a54	0.00393347	0.00675303	0.0407467	0.0641547	0.103046	0.104797	0.141701	0.199434	0.335435
a73	0.00547461	0.011438	0.058974	0.0868439	0.139656	0.141637	0.162427	0.174013	0.219537
a44	0.0053781	0.0122492	0.0722545	0.0893728	0.136374	0.148237	0.152254	0.158475	0.225405
a70	0.00396081	0.00944486	0.0585448	0.0700778	0.0912161	0.108617	0.133253	0.183541	0.341345
a99	0.00249205	0.00554882	0.0346906	0.049678	0.0751232	0.100831	0.134857	0.203941	0.392838
a18	0.001283	0.00326915	0.0234454	0.0314543	0.0478029	0.0754024	0.120162	0.208295	0.488886
a13	0.00136878	0.00257276	0.0107853	0.0123908	0.0185488	0.0392626	0.0958798	0.260947	0.558244
a53	0.00121773	0.00247687	0.0103299	0.0104554	0.0142879	0.0328921	0.0877706	0.277759	0.562811
a4	0.00104345	0.00204975	0.0105088	0.0139768	0.0232538	0.0469246	0.0890358	0.214212	0.598995
a7	0.00111031	0.00236085	0.0104418	0.0126273	0.0196382	0.044234	0.0978494	0.245182	0.566556
a44	0.000590139	0.00150954	0.00797234	0.00928127	0.0153786	0.0372107	0.0945813	0.263339	0.570137
a57	0.00188725	0.00377141	0.0125969	0.0138517	0.0198892	0.0425648	0.091543	0.236864	0.577032
a54	0.00170457	0.00258659	0.0100306	0.0107211	0.0154879	0.0318317	0.076652	0.247838	0.603148
a7	0.001006	0.00156799	0.0061657	0.00752026	0.0124235	0.0308326	0.0687315	0.202996	0.668756
a26	0.000483144	0.00101757	0.00483844	0.00610035	0.0102913	0.0251601	0.0660429	0.233793	0.652273
a38	0.00334314	0.00380389	0.0132538	0.0150161	0.0199575	0.0340018	0.073837	0.236884	0.599902
a82	0.0145804	0.0142683	0.0336943	0.0360459	0.0447601	0.0581588	0.0963796	0.225231	0.476881
a3	0.0678899	0.0343188	0.0414787	0.045007	0.0504841	0.063142	0.0883884	0.206913	0.402378
a97	0.0875858	0.0609763	0.0510324	0.0509339	0.0557328	0.0715816	0.0926144	0.206936	0.322607
a87	0.0745783	0.0578027	0.060697	0.0639988	0.082371	0.108642	0.112741	0.184957	0.254212
a97	0.0541759	0.0557679	0.0717139	0.0843205	0.11586	0.130673	0.119229	0.16867	0.19959
a87	0.0605633	0.0647556	0.0908591	0.0999951	0.123139	0.128535	0.111425	0.149808	0.17092
a97	0.0783847	0.0817795	0.10294	0.108859	0.117792	0.118863	0.0981732	0.14103	0.152179
a87	0.118882	0.1111	0.145067	0.119799	0.103532	0.0955211	0.0767605	0.110225	0.119113
a97	0.0840714	0.0923331	0.134155	0.120614	0.110489	0.103598	0.0873634	0.126112	0.141265
a87	0.149317	0.140568	0.158542	0.119059	0.0951758	0.0839908	0.0665723	0.0921778	0.0945963
a23	0.145594	0.137145	0.147123	0.113583	0.0928242	0.084054	0.0683816	0.102585	0.108709
a87	0.0755906	0.0777326	0.113477	0.120988	0.130897	0.123665	0.103677	0.123361	0.130612
a23	0.119463	0.0995543	0.144084	0.121893	0.113641	0.105873	0.0889007	0.103795	0.102796
</S>	0.0982759	0.0852882	0.11705	0.1149	0.126428	0.125045	0.100101	0.120763	0.112149
