 	il	fend	la	terre	avec	une	houe	</S>
a23	0.375156	0.367532	0.119703	0.0533512	0.031184	0.0229532	0.0161048	0.0140157
a85	0.420352	0.256609	0.122392	0.0846796	0.0478172	0.0295179	0.0202735	0.0183583
a87	0.264149	0.165803	0.121809	0.105997	0.0900748	0.0789377	0.0752559	0.0979728
a23	0.356287	0.221912	0.183419	0.117587	0.0365195	0.0216382	0.0224116	0.0402257
a20	0.328329	0.212483	0.133385	0.0799907	0.0452143	0.0427485	0.0467092	0.11114
a73	0.394924	0.313987	0.138913	0.05678	0.0268368	0.021838	0.0194686	0.0272533
a7	0.314372	0.267465	0.167488	0.112064	0.0670272	0.0351791	0.018799	0.0176053
a11	0.284395	0.246723	0.185929	0.127907	0.0663922	0.0375431	0.0233392	0.0277718
a24	0.223138	0.1951	0.188468	0.137835	0.0773871	0.0618611	0.0507564	0.0654549
a94	0.171176	0.139651	0.169829	0.157959	0.113103	0.0950131	0.0789415	0.0743277
a98	0.164129	0.115658	0.13595	0.166736	0.141795	0.113147	0.0852824	0.0773023
a41	0.162677	0.113535	0.133138	0.174374	0.1509	0.109337	0.0823151	0.073725
a27	0.11559	0.0785869	0.0928834	0.141204	0.163521	0.15625	0.130759	0.121205
a75	0.0476717	0.0355148	0.0489997	0.0746691	0.0909189	0.151521	0.219367	0.331337
a5	0.0633365	0.0444903	0.0410611	0.0560923	0.101584	0.173974	0.212246	0.307215
a18	0.0207807	0.0158645	0.0160559	0.0262931	0.0804159	0.206603	0.316887	0.3171
a21	0.0449106	0.0313966	0.0234184	0.02383	0.0380126	0.101502	0.3066	0.43033
a41	0.0283244	0.0248626	0.0229255	0.0282829	0.0563995	0.148425	0.312967	0.377813
a94	0.00670558	0.0068741	0.00978288	0.0171044	0.0459221	0.137626	0.33892	0.437064
a75	0.0139894	0.0100229	0.00916092	0.0128654	0.026636	0.0807756	0.265973	0.580577
a41	0.0154784	0.0130237	0.015425	0.0233427	0.0480194	0.119558	0.285736	0.479416
a0	0.00835639	0.00717063	0.00959238	0.0171856	0.0438119	0.1279	0.317457	0.468526
a32	0.00622431	0.00453808	0.00493625	0.00943781	0.0268376	0.0928832	0.282201	0.572941
a75	0.00845131	0.00527067	0.00465746	0.00827329	0.0233543	0.0863544	0.25873	0.604909
a5	0.00618747	0.00432911	0.00535217	0.0104814	0.0304725	0.104165	0.277315	0.561697
a18	0.00656304	0.00491025	0.00544171	0.0101078	0.0264391	0.0919746	0.291319	0.563244
a25	0.00755357	0.00545298	0.00364563	0.00651456	0.0198472	0.0791233	0.25623	0.621632
a87	0.00670254	0.00511753	0.00278023	0.00536635	0.0183967	0.0730537	0.222875	0.665708
</S>	0.0091051	0.00961619	0.00822745	0.0137643	0.0301696	0.0748389	0.224814	0.629464
