 	ce	malade	a	pris	trop	de	poids	</S>
a84	0.183112	0.185104	0.180882	0.152574	0.13746	0.0782282	0.054928	0.0277125
a87	0.333411	0.225705	0.16645	0.094133	0.0850873	0.0488322	0.0341427	0.0122387
a23	0.317869	0.257952	0.16569	0.0911101	0.0773575	0.0441438	0.027524	0.0183539
a87	0.389388	0.332565	0.14379	0.063389	0.0322728	0.0151111	0.011742	0.0117419
a79	0.373825	0.336513	0.15133	0.0679388	0.036426	0.0148982	0.0105319	0.00853775
a58	0.3088	0.300775	0.15155	0.0823334	0.0581257	0.0343036	0.0319127	0.0321991
a53	0.202722	0.261857	0.167489	0.134867	0.126477	0.0587408	0.0307636	0.0170838
a90	0.20927	0.182303	0.136216	0.10563	0.127213	0.129814	0.0806451	0.0289084
a56	0.109699	0.101979	0.0948612	0.0873284	0.112926	0.192712	0.207688	0.0928075
a96	0.0974511	0.0860185	0.0785927	0.0765998	0.0939647	0.171475	0.241878	0.15402
a56	0.122728	0.11531	0.10833	0.101325	0.0964777	0.119482	0.182554	0.153794
a12	0.111549	0.111328	0.114678	0.108831	0.0950261	0.106616	0.175996	0.175978
a35	0.0895979	0.0888916	0.101867	0.106041	0.0952423	0.0990113	0.184494	0.234855
a56	0.0680777	0.0794951	0.105816	0.119543	0.096623	0.0915113	0.183435	0.2555
a75	0.0586336	0.0692202	0.0959118	0.116968	0.090614	0.0889265	0.196811	0.282915
a21	0.0353507	0.0424623	0.0625483	0.0831461	0.0694703	0.101107	0.24941	0.356505
a12	0.0241101	0.0244503	0.0322397	0.0480546	0.04238	0.0721989	0.264726	0.49184
a96	0.0148337	0.0125576	0.01314	0.0201258	0.0195966	0.051461	0.247027	0.621258
a18	0.0162231	0.0127038	0.0107494	0.0148643	0.013533	0.0431859	0.230238	0.658503
a71	0.0148028	0.0169758	0.0161841	0.0230287	0.0331949	0.0835115	0.220663	0.591639
a25	0.0497076	0.0553072	0.0570597	0.0927851	0.127157	0.150904	0.186499	0.28058
a3	0.121501	0.107331	0.113665	0.152596	0.151668	0.114319	0.104459	0.134463
a87	0.105193	0.110864	0.142636	0.197045	0.169968	0.120771	0.0739002	0.0796215
a97	0.0696173	0.0756865	0.103876	0.146772	0.164542	0.17498	0.14117	0.123356
a87	0.0943965	0.08929	0.101626	0.126642	0.151114	0.183414	0.148331	0.105187
a23	0.0885303	0.0886447	0.104347	0.126203	0.141444	0.170649	0.156724	0.123458
a99	0.108535	0.102174	0.112736	0.121038	0.0956407	0.0972909	0.119379	0.243206
a97	0.0714501	0.0678905	0.0781072	0.0766815	0.0752108	0.103841	0.176532	0.350287
a87	0.0872348	0.0875627	0.0873026	0.0746453	0.0661579	0.0876937	0.130302	0.3791
a23	0.131641	0.135169	0.128733	0.104141	0.0900015	0.0996605	0.102721	0.207933
a87	0.0821547	0.0769942	0.0870643	0.0830819	0.0792972	0.0989517	0.140325	0.352131
a23	0.123928	0.128012	0.121828	0.0929443	0.0792393	0.0856328	0.103931	0.264484
a99	0.100859	0.10367	0.111839	0.096763	0.0921784	0.104607	0.129964	0.26012
a30	0.0771716	0.0769005	0.081181	0.0767342	0.0770383	0.110874	0.174987	0.325113
</S>	0.101395	0.1006	0.098969	0.0966467	0.0948832	0.111067	0.142988	0.253452
