 	le	chasseur	a	pris	le	couteau	pour	dépecer	l'	animal	</S>
a66	0.122162	0.103714	0.127409	0.189443	0.215279	0.16554	0.0496586	0.0163741	0.00404826	0.00314827	0.00322361
a87	0.276201	0.216749	0.17633	0.141619	0.0924424	0.0298705	0.0091722	0.00602732	0.0105773	0.0198766	0.0211346
a23	0.234513	0.236519	0.197202	0.143677	0.0892401	0.0335324	0.0177309	0.00651924	0.00654305	0.0136313	0.0208919
a99	0.257201	0.237054	0.158402	0.101664	0.0515105	0.0162058	0.0164461	0.0206819	0.0229973	0.0458408	0.0719965
a13	0.269117	0.209034	0.141126	0.0942974	0.0512562	0.0268956	0.029509	0.0417491	0.0326073	0.0490002	0.0554096
a93	0.266629	0.190174	0.134907	0.11272	0.0873272	0.0624272	0.0428485	0.0445315	0.0186376	0.0212216	0.0185759
a96	0.152048	0.138285	0.142976	0.157221	0.158018	0.107521	0.07255	0.043803	0.0129089	0.00884799	0.00582067
a75	0.138243	0.118553	0.121699	0.144475	0.157185	0.111731	0.0885944	0.0580399	0.0285151	0.0196766	0.013286
a79	0.0775978	0.0753185	0.0956767	0.130852	0.166463	0.17533	0.159456	0.0773397	0.0193607	0.0133428	0.0092636
a7	0.053078	0.062755	0.0936424	0.136567	0.183166	0.178304	0.134139	0.0706715	0.0375992	0.0308891	0.0191889
a93	0.0499244	0.0613138	0.0828151	0.106841	0.139308	0.170966	0.175759	0.0799283	0.0579265	0.0442979	0.0309199
a96	0.0621701	0.072953	0.0861687	0.110244	0.147454	0.199602	0.162731	0.0594653	0.0424238	0.0352247	0.0215644
a98	0.0424378	0.0622866	0.0768056	0.100899	0.127808	0.166746	0.16197	0.0817083	0.0736653	0.0639947	0.0416786
a15	0.0262868	0.0377675	0.0524334	0.0762471	0.106251	0.187799	0.212536	0.123876	0.0845716	0.0613159	0.0309165
a79	0.0237014	0.0329047	0.0461476	0.0679659	0.0951618	0.183938	0.230776	0.151704	0.0809878	0.0582959	0.0284178
a37	0.023435	0.0328921	0.0452263	0.0641195	0.0902965	0.185641	0.225913	0.141886	0.083955	0.0681345	0.0385016
a56	0.0239469	0.0304433	0.0379014	0.0541589	0.0682021	0.115645	0.149694	0.162776	0.139843	0.121449	0.09594
a96	0.0100706	0.0118809	0.0127609	0.0179586	0.0227168	0.0452481	0.0669708	0.172921	0.245829	0.210065	0.183579
a61	0.00504405	0.00569076	0.00543519	0.00627542	0.00774846	0.0165788	0.0271251	0.114855	0.290233	0.259518	0.261496
a21	0.00266884	0.0028951	0.00250914	0.00284938	0.00343328	0.00655685	0.0105376	0.0585848	0.271987	0.281672	0.356306
a12	0.000798757	0.000841286	0.000745426	0.000869936	0.00112169	0.00221167	0.00608135	0.056798	0.241897	0.295855	0.392779
a21	0.000734418	0.000785916	0.000769806	0.000779957	0.000800524	0.00115847	0.00269633	0.0253404	0.162594	0.290181	0.51416
a5	0.000448719	0.000448548	0.00042043	0.000367989	0.000348352	0.000473929	0.0010007	0.01097	0.117307	0.273919	0.594295
a12	0.000439635	0.00040829	0.000401018	0.000412196	0.000450845	0.000854781	0.00255223	0.025722	0.131668	0.263295	0.573796
a5	0.000415894	0.000385065	0.000401563	0.000430561	0.000479165	0.000956617	0.00298289	0.0291992	0.133471	0.264152	0.567127
a6	0.00037705	0.000342805	0.000349512	0.000336672	0.000360397	0.00073808	0.0026081	0.0262538	0.128152	0.256383	0.584098
a37	0.00016073	0.000125388	0.000129925	0.000134366	0.000197516	0.000639846	0.00177015	0.0136049	0.110887	0.298563	0.573788
a26	0.000318262	0.000303706	0.000312279	0.000226017	0.00019842	0.000525834	0.00221899	0.025423	0.131173	0.292627	0.546673
a57	0.00279761	0.00269394	0.00249021	0.00168174	0.00143685	0.00327514	0.00717073	0.0373782	0.169963	0.272828	0.498284
a87	0.0788779	0.0552342	0.0553551	0.0408061	0.0350967	0.0518885	0.0635893	0.0915999	0.15439	0.167148	0.206014
a23	0.294164	0.2113	0.183363	0.120582	0.0716067	0.038614	0.0234712	0.0176763	0.0147867	0.0127558	0.0116813
a99	0.0215477	0.0163583	0.0179983	0.0111809	0.00668128	0.00598874	0.00950875	0.0579657	0.269678	0.33461	0.248483
a97	0.0040647	0.00294969	0.00356878	0.00286475	0.00237265	0.00495531	0.0110528	0.0430688	0.186875	0.39394	0.344287
</S>	0.0018992	0.00162039	0.00203417	0.0018365	0.0016345	0.00320612	0.00804269	0.0303046	0.173713	0.398633	0.377076
