 	on	a	construit	un	dispensaire	au	bout	du	village	</S>
a66	0.261944	0.19643	0.126472	0.119435	0.0702526	0.0947425	0.0593893	0.0310622	0.0215347	0.0187372
a87	0.232394	0.180155	0.134211	0.123131	0.0636481	0.102507	0.0627771	0.0378216	0.0292176	0.0341378
a23	0.360399	0.2911	0.133344	0.0784286	0.0364572	0.0346864	0.0182711	0.0144872	0.0131776	0.0196481
a40	0.339679	0.258706	0.107513	0.0781774	0.0647395	0.0653328	0.0283416	0.0189829	0.0148826	0.0236454
a36	0.367402	0.265166	0.106979	0.0743549	0.057903	0.0467588	0.0246932	0.0173717	0.0187108	0.0206611
a90	0.2489	0.221617	0.124063	0.0771506	0.0572043	0.0894547	0.0706007	0.0384921	0.0339276	0.0385903
a44	0.170874	0.162523	0.143242	0.101876	0.0638758	0.0828596	0.0898106	0.0608026	0.0573331	0.0668035
a93	0.0885384	0.0997319	0.122227	0.108957	0.0843922	0.0987786	0.115648	0.0875608	0.0888049	0.105362
a13	0.0819182	0.0994195	0.138151	0.133918	0.0882908	0.0972243	0.091842	0.0780094	0.0902743	0.100952
a62	0.0676616	0.0805559	0.130883	0.139886	0.106527	0.104536	0.0901192	0.0824019	0.0920244	0.105405
a88	0.0632231	0.0686739	0.126143	0.136822	0.115336	0.0970403	0.0813069	0.086416	0.104521	0.120518
a21	0.0374454	0.042534	0.107091	0.131495	0.126576	0.0954016	0.0855394	0.0978975	0.125331	0.15069
a12	0.0444439	0.0488127	0.0942184	0.1077	0.108611	0.114261	0.121391	0.114181	0.121461	0.124921
a96	0.0211983	0.020914	0.0530649	0.0780111	0.110167	0.112622	0.132501	0.14359	0.165074	0.162857
a94	0.0170013	0.0176448	0.0522875	0.084106	0.1215	0.117151	0.127209	0.133258	0.15974	0.170102
a93	0.0155548	0.0143953	0.0310084	0.0485891	0.0968799	0.104743	0.137288	0.156284	0.19456	0.200697
a56	0.00551906	0.0049072	0.011949	0.0212104	0.0540949	0.0675872	0.114894	0.191668	0.263164	0.265007
a75	0.00494856	0.00416388	0.00822924	0.0135402	0.0390154	0.055382	0.117121	0.196441	0.271307	0.289851
a25	0.001556	0.00131755	0.00272973	0.0039939	0.0139006	0.0218195	0.0641691	0.164197	0.311514	0.414802
a79	0.000918873	0.000853269	0.0020953	0.00295771	0.0113473	0.0149506	0.0411847	0.144049	0.31556	0.466083
a69	0.000419356	0.000358435	0.000890591	0.00106451	0.00554265	0.00589748	0.0186504	0.100338	0.297275	0.569564
a44	0.000428161	0.000341159	0.000692356	0.000620906	0.00261705	0.00288713	0.0110191	0.0834358	0.301572	0.596386
a4	0.000756553	0.000594097	0.00109886	0.000983361	0.00302579	0.00337532	0.0108628	0.0804952	0.292009	0.606799
a13	0.00111275	0.000974266	0.00175604	0.00159589	0.0035052	0.00444837	0.015811	0.100798	0.304674	0.565324
a57	0.0110817	0.0101886	0.0170124	0.0147515	0.0250306	0.0181084	0.0424405	0.155515	0.279628	0.426243
a3	0.139795	0.0909387	0.0660252	0.0378787	0.0266234	0.0198455	0.0301562	0.0880123	0.190121	0.310604
a87	0.228219	0.166045	0.0943849	0.0567093	0.0360194	0.0298498	0.0330861	0.0767457	0.112945	0.165996
a23	0.227986	0.176596	0.109743	0.076164	0.0486187	0.041766	0.0430708	0.0768363	0.0887301	0.11049
a87	0.160891	0.111011	0.0616741	0.0262741	0.0197836	0.0298453	0.0571354	0.118131	0.150966	0.264288
a23	0.043651	0.0332518	0.0288598	0.0170265	0.0271751	0.0364761	0.0699504	0.133597	0.196193	0.413819
a97	0.083646	0.0659433	0.0512567	0.0256844	0.0290634	0.0492243	0.0961342	0.140633	0.16307	0.295344
a87	0.0864328	0.0696296	0.0646045	0.0433317	0.0445548	0.0562274	0.0883743	0.117956	0.145475	0.283414
a23	0.0853763	0.0727231	0.0647926	0.0466786	0.0503165	0.0635543	0.0814392	0.111069	0.144551	0.2795
a87	0.117538	0.100183	0.0825409	0.0483277	0.0389041	0.0659373	0.0986544	0.114553	0.121243	0.212118
a23	0.0618711	0.0471007	0.0406288	0.0263308	0.0316693	0.066754	0.113196	0.148315	0.168575	0.295559
a87	0.119745	0.0901193	0.0648193	0.037406	0.0342629	0.0622358	0.102886	0.12192	0.133172	0.233434
a23	0.0537513	0.0410325	0.0340117	0.0222392	0.0281078	0.0578681	0.112561	0.154577	0.188747	0.307104
a99	0.102484	0.0753993	0.0553939	0.0334908	0.0312729	0.0596728	0.10962	0.133341	0.150991	0.248334
a87	0.112147	0.0724376	0.053597	0.0286726	0.0226228	0.04185	0.0928297	0.126222	0.162218	0.287403
a97	0.098864	0.0650708	0.0478872	0.0284826	0.0248381	0.0466438	0.0926086	0.126246	0.171919	0.29744
</S>	0.127181	0.0935574	0.0777634	0.046778	0.0336129	0.0484597	0.0748682	0.0982915	0.142221	0.257267
