 	lorsque	mon	mari	boit	du	vin	il	devient	toujours	étourdi	</S>
a66	0.18073	0.157866	0.151431	0.178219	0.0893803	0.0940483	0.0834159	0.0326392	0.0134706	0.00920303	0.009597
a87	0.432389	0.251834	0.132699	0.0745594	0.02059	0.0220805	0.0131648	0.00754528	0.0122346	0.0139502	0.0189533
a23	0.415229	0.325839	0.140796	0.0576764	0.0168174	0.0136017	0.00774103	0.0039883	0.00498297	0.0063094	0.00701906
a30	0.463917	0.31889	0.0983927	0.033752	0.0119018	0.00759858	0.00583244	0.0043293	0.00816833	0.0177926	0.0294246
a70	0.492339	0.216202	0.0683197	0.0430857	0.0271891	0.0150959	0.0137878	0.0103738	0.0178778	0.0459917	0.0497372
a90	0.393451	0.149293	0.0675415	0.0827989	0.0885428	0.0880882	0.0324118	0.0171254	0.0205109	0.0335987	0.0266379
a56	0.309691	0.108688	0.0671145	0.0915753	0.135275	0.137716	0.0563731	0.0292723	0.025721	0.0239035	0.0146696
a79	0.191251	0.104606	0.0662329	0.0847331	0.181428	0.160861	0.0738868	0.0384813	0.0359817	0.0336805	0.0288574
a44	0.0996716	0.0648104	0.0487198	0.072821	0.200418	0.179208	0.112136	0.0762622	0.0624368	0.0428523	0.0406635
a75	0.0839174	0.0569762	0.0456263	0.0563228	0.165618	0.180371	0.115445	0.0901129	0.0752303	0.0610454	0.0693349
a85	0.0901161	0.0716911	0.0665706	0.0790788	0.149961	0.155701	0.122463	0.120698	0.0606719	0.0367226	0.046326
a15	0.0638143	0.0581416	0.0540974	0.0567409	0.11091	0.151678	0.140337	0.152268	0.076006	0.0539268	0.0820805
a47	0.0812696	0.0699725	0.0661661	0.0597662	0.116047	0.149445	0.114388	0.113941	0.0656751	0.0674261	0.0959029
a6	0.0771784	0.0579182	0.0605738	0.0473116	0.106703	0.158241	0.122011	0.0746107	0.0558179	0.0974069	0.142227
a37	0.0443947	0.0373973	0.0417561	0.0303005	0.0762163	0.173634	0.138808	0.109199	0.0821907	0.109513	0.156591
a85	0.0429572	0.0328585	0.0354236	0.0284838	0.0507539	0.172849	0.182584	0.107918	0.0727056	0.105733	0.167733
a37	0.0115195	0.00928344	0.00991913	0.00633624	0.0152382	0.0744188	0.107879	0.121038	0.140902	0.207088	0.296378
a92	0.0137392	0.0107146	0.0125162	0.00925563	0.0143407	0.0571999	0.121355	0.136247	0.134911	0.192113	0.297608
a85	0.00494078	0.00388562	0.00438632	0.00339633	0.00689817	0.0315571	0.082419	0.139642	0.183212	0.226212	0.313452
a5	0.00314878	0.00203699	0.0019886	0.00128206	0.00281946	0.0134533	0.0418116	0.0840536	0.147501	0.269144	0.432761
a21	0.00474616	0.00402572	0.00378767	0.00222451	0.00262734	0.00718919	0.026101	0.0908807	0.203038	0.26132	0.39406
a5	0.00178854	0.00149379	0.00145924	0.00123214	0.00138479	0.00264292	0.00988131	0.0453327	0.156385	0.304359	0.474041
a61	0.00240842	0.00196589	0.00185837	0.00173678	0.00225005	0.00435146	0.010902	0.0384048	0.124532	0.297983	0.513607
a62	0.00118007	0.000912814	0.000822448	0.000782662	0.000970266	0.00179615	0.00450497	0.0161606	0.0833625	0.311976	0.577532
a88	0.00154636	0.00105666	0.000828849	0.000798414	0.00106584	0.00218201	0.00607905	0.0190495	0.08122	0.295011	0.591163
a93	0.000936016	0.000576461	0.000550144	0.000712459	0.000863599	0.00173033	0.00440602	0.0160354	0.0727769	0.31978	0.581633
a4	0.000463233	0.000268676	0.000229811	0.000252428	0.000295936	0.000912811	0.00256182	0.0107896	0.0668698	0.30277	0.614586
a13	0.000767831	0.000436019	0.000352551	0.000359375	0.000505105	0.00135213	0.00372403	0.0153869	0.0790546	0.317292	0.58077
a9	0.00206016	0.00128848	0.00111484	0.00129156	0.00257763	0.00429074	0.0157332	0.0483202	0.139271	0.302387	0.481665
a99	0.012913	0.00923277	0.00822202	0.00962907	0.0149251	0.0186356	0.0513716	0.081973	0.118795	0.285188	0.389115
a87	0.0511802	0.0376743	0.0296844	0.0337352	0.0405189	0.0504727	0.0696503	0.101628	0.131388	0.203058	0.25101
a23	0.199852	0.153136	0.130002	0.08636	0.0719579	0.0663477	0.0634991	0.0562263	0.0593212	0.0527262	0.0605716
a87	0.101227	0.0663421	0.0455559	0.0251388	0.0255584	0.0348338	0.0329532	0.0500779	0.110616	0.182277	0.32542
</S>	0.0294195	0.0227999	0.0183857	0.00821203	0.00514708	0.00786204	0.00859017	0.0174775	0.0803037	0.275159	0.526643
