 	j'	ai	les	maux	de	tête	</S>
a66	0.343279	0.153049	0.125216	0.173019	0.0912361	0.0657548	0.0484468
a87	0.235089	0.133631	0.100235	0.129987	0.10966	0.139646	0.151752
a23	0.435254	0.230548	0.109542	0.0792341	0.0495189	0.0524103	0.0434928
a18	0.547853	0.241256	0.0993723	0.0512749	0.0212133	0.0195041	0.0195259
a50	0.443678	0.302719	0.117619	0.0540373	0.0239781	0.0259728	0.0319954
a83	0.359843	0.269656	0.15737	0.0689558	0.0333684	0.0428513	0.0679558
a93	0.270046	0.248161	0.17395	0.0919031	0.0516385	0.0666024	0.0976998
a4	0.157641	0.240364	0.239053	0.102281	0.0624713	0.0831054	0.115085
a13	0.129826	0.231668	0.250946	0.0971034	0.0649013	0.0949837	0.130572
a53	0.118866	0.195881	0.230908	0.115912	0.0782191	0.114814	0.145401
a93	0.103021	0.165364	0.213591	0.142751	0.0979767	0.129186	0.148109
a94	0.086192	0.13937	0.208159	0.165611	0.113834	0.141124	0.14571
a70	0.0381356	0.0493111	0.103018	0.151155	0.136371	0.225456	0.296553
a93	0.0151489	0.016448	0.0395295	0.102414	0.128295	0.26911	0.429055
a4	0.0119833	0.0127543	0.0328217	0.0969935	0.143691	0.280745	0.421011
a70	0.00457949	0.00452973	0.0123859	0.0618316	0.142997	0.311152	0.462525
a44	0.00100126	0.000831741	0.00196109	0.019052	0.103231	0.334121	0.539802
a26	0.000853763	0.000700969	0.00141527	0.0186034	0.109349	0.337089	0.531988
a57	0.00402706	0.00228676	0.00273969	0.0185542	0.0974684	0.292323	0.582601
a97	0.0950517	0.038066	0.024274	0.0460988	0.11178	0.247242	0.437487
a87	0.153325	0.0707804	0.0414579	0.0619321	0.139991	0.244308	0.288205
a97	0.0986538	0.0488372	0.0326652	0.0685187	0.155666	0.277555	0.318103
a87	0.135688	0.0784071	0.058231	0.110883	0.162077	0.226986	0.227728
a23	0.0809021	0.0477807	0.0376255	0.0756986	0.149975	0.289118	0.3189
a87	0.0672306	0.0450178	0.0398993	0.0929941	0.181146	0.290264	0.283448
</S>	0.0638713	0.0437411	0.047968	0.0959553	0.183464	0.293881	0.271119
