 	l'	activité	commerciale	de	ma	femme	s'	est	extrêmement	épanouie	</S>
a66	0.474966	0.171431	0.0284433	0.0169529	0.0284076	0.0290904	0.0471727	0.0460064	0.0256805	0.0221072	0.109742
a87	0.184611	0.0726723	0.0121045	0.00735558	0.0126388	0.014601	0.0341503	0.0470383	0.0400412	0.0881793	0.486608
a97	0.548545	0.241627	0.0364475	0.0145674	0.0150109	0.0142822	0.0228037	0.0271497	0.0197627	0.0160821	0.0437214
a79	0.598846	0.202144	0.0620617	0.0213199	0.0168997	0.0148586	0.0173585	0.020887	0.0158414	0.00765077	0.0221328
a54	0.402368	0.22117	0.12169	0.0766336	0.052345	0.0295346	0.0282381	0.0238332	0.0155299	0.00629724	0.0223598
a79	0.189469	0.215123	0.17105	0.100532	0.099697	0.0666944	0.060071	0.0433959	0.031652	0.010327	0.0119889
a0	0.120154	0.166688	0.181037	0.128686	0.123688	0.0891363	0.0729501	0.0517424	0.0373124	0.012779	0.0158268
a54	0.0561038	0.0955142	0.148853	0.140844	0.129449	0.101207	0.0860429	0.0709198	0.0623562	0.0404001	0.0683098
a79	0.041541	0.0806982	0.133104	0.1397	0.137039	0.116966	0.10356	0.0785428	0.0666286	0.0421866	0.0600342
a44	0.0374532	0.0791823	0.121259	0.12982	0.121768	0.113442	0.103047	0.0869766	0.0789268	0.0558214	0.072303
a93	0.010217	0.0264615	0.0793134	0.114978	0.100637	0.0953653	0.089373	0.0885258	0.0975628	0.122085	0.175481
a4	0.0102614	0.0293672	0.10193	0.138083	0.117458	0.098017	0.0900333	0.0864915	0.0855667	0.0970865	0.145705
a70	0.00368485	0.0105401	0.049344	0.094438	0.0980506	0.0910819	0.0907753	0.0945048	0.103063	0.146767	0.217751
a93	0.00179556	0.00520327	0.0272126	0.0722765	0.0870339	0.0806189	0.0833364	0.0902654	0.102266	0.166584	0.283407
a4	0.00358044	0.00836248	0.0337349	0.0796439	0.0978389	0.089986	0.0953722	0.0981299	0.103386	0.131696	0.258269
a93	0.00274237	0.00622321	0.0266504	0.0659452	0.0834565	0.0810311	0.0851773	0.0953279	0.105885	0.1475	0.300061
a70	0.00248731	0.00624388	0.0248043	0.0562532	0.0648469	0.0630299	0.0722646	0.0894804	0.102519	0.178316	0.339755
a61	0.000682235	0.00187882	0.00786335	0.0253561	0.0395399	0.0411137	0.0474557	0.0574382	0.0729155	0.162108	0.543649
a43	0.000611034	0.00144419	0.0042634	0.0117653	0.0223424	0.027178	0.034819	0.0458282	0.0645576	0.162582	0.624609
a11	0.000453496	0.00112838	0.00266759	0.00441034	0.00887429	0.0130762	0.0177332	0.0245562	0.040833	0.155786	0.730482
a94	0.00069671	0.00159114	0.00435709	0.00487593	0.00733985	0.0102332	0.0152763	0.0240105	0.0469053	0.263453	0.621261
a4	0.00106569	0.00219703	0.00496499	0.00546547	0.00805074	0.0116931	0.0182204	0.0296871	0.0532659	0.206845	0.658544
a93	0.00065578	0.00148583	0.00340811	0.00363639	0.00594575	0.00956345	0.0152562	0.0247131	0.0405633	0.159565	0.735207
a44	0.000690828	0.0012318	0.00241551	0.00369506	0.00727134	0.0122453	0.0177569	0.0276451	0.0455478	0.158859	0.722641
a12	0.000468476	0.0010632	0.0025434	0.00236585	0.00325563	0.00487043	0.00858401	0.0161624	0.0293799	0.16424	0.767067
a96	0.00167172	0.00250995	0.00375048	0.00358301	0.00484573	0.00618282	0.0101564	0.0196037	0.035954	0.188852	0.72289
a5	0.000905611	0.00152207	0.00353851	0.00403652	0.0042837	0.00542196	0.00893802	0.0195309	0.0422386	0.233575	0.676009
a18	0.00226063	0.00308883	0.00522793	0.00596406	0.00813573	0.00999307	0.0164109	0.0336018	0.0653004	0.24698	0.603037
a4	0.000848038	0.00147822	0.00447912	0.00539215	0.0046753	0.004607	0.00781785	0.0177788	0.035119	0.25435	0.663454
a57	0.00271284	0.00317286	0.00622243	0.00812992	0.00740313	0.00828938	0.0132917	0.0289681	0.0655876	0.317161	0.539061
a3	0.00282588	0.00339249	0.00771928	0.00947538	0.00833084	0.00812272	0.0139937	0.02902	0.053981	0.318386	0.544753
a97	0.021065	0.0112434	0.0116396	0.0125627	0.0142133	0.0169004	0.0330466	0.0668286	0.0817083	0.350606	0.380186
a87	0.044416	0.0210697	0.0117526	0.0124802	0.0182868	0.0301357	0.065937	0.122872	0.114933	0.258949	0.299168
a97	0.044797	0.0239974	0.0143729	0.0146126	0.0255389	0.0498396	0.107451	0.173152	0.135821	0.185685	0.224733
a87	0.0513489	0.029608	0.0167317	0.0191234	0.0380678	0.0607551	0.125657	0.178428	0.129955	0.157896	0.192429
a97	0.0537293	0.0447139	0.0233399	0.0271219	0.051207	0.0695147	0.132619	0.174663	0.11891	0.119931	0.18425
</S>	0.0827212	0.0619468	0.029761	0.0378946	0.065638	0.0753236	0.143267	0.174984	0.106161	0.0887426	0.133561
