 	le	prix	du	manioc	a	augmenté	</S>
a23	0.480743	0.163585	0.0813873	0.0692225	0.0657183	0.0647177	0.0746264
a53	0.394301	0.174367	0.109306	0.0870309	0.071649	0.0675716	0.0957746
a94	0.620785	0.172043	0.0729316	0.0414059	0.0317122	0.0276419	0.0334804
a11	0.576742	0.295297	0.0757716	0.0240256	0.0119822	0.00765506	0.00852643
a90	0.496003	0.325637	0.0983612	0.0340955	0.0179917	0.0122808	0.0156303
a94	0.305603	0.32392	0.157635	0.0845628	0.0523198	0.0364917	0.0394681
a56	0.287778	0.316282	0.177551	0.0944577	0.052012	0.0346543	0.0372648
a96	0.216188	0.278448	0.192234	0.124847	0.0775286	0.0545744	0.0561802
a75	0.0999343	0.168731	0.20838	0.209007	0.132865	0.0904052	0.090678
a41	0.0882746	0.138603	0.169695	0.190354	0.15983	0.130679	0.122564
a32	0.0719376	0.111283	0.147133	0.212847	0.177049	0.141123	0.138628
a25	0.0728279	0.0968653	0.134904	0.220539	0.19426	0.136956	0.143649
a40	0.0232434	0.0311341	0.0573302	0.153023	0.206082	0.227062	0.302126
a98	0.0294214	0.0461448	0.0754566	0.142575	0.193689	0.23691	0.275803
a73	0.0193445	0.0343543	0.0567841	0.126177	0.193837	0.267709	0.301793
a20	0.0164661	0.0299503	0.0533401	0.120616	0.206671	0.26402	0.308936
a58	0.0161863	0.0278425	0.0483477	0.098864	0.173748	0.275381	0.359631
a82	0.0106252	0.0203976	0.0404907	0.0892498	0.170283	0.273375	0.39558
a87	0.00144027	0.00229342	0.00494474	0.0182474	0.0686388	0.23582	0.668616
a23	0.00528583	0.00525149	0.0113181	0.0380093	0.121301	0.27886	0.539974
a53	0.0132965	0.0134686	0.0266366	0.0738086	0.179969	0.298106	0.394714
a90	0.0209859	0.016629	0.0287974	0.0812817	0.161333	0.252517	0.438456
a70	0.0111679	0.013412	0.0226437	0.0638619	0.146872	0.252659	0.489383
a62	0.00570679	0.00845458	0.0166086	0.0465691	0.121236	0.249212	0.552213
a61	0.00706937	0.0105589	0.019544	0.0469169	0.113617	0.240953	0.56134
a21	0.00817416	0.0121222	0.0209047	0.0429321	0.0966297	0.231334	0.587903
a6	0.0146682	0.0171252	0.0244291	0.0456214	0.0937959	0.234282	0.570078
a7	0.0136689	0.0169757	0.0294873	0.0568036	0.11113	0.238382	0.533552
a26	0.00119973	0.0024848	0.00694418	0.0230128	0.0667179	0.208903	0.690738
a57	0.00118204	0.00156554	0.00447148	0.0182836	0.0628385	0.235914	0.675745
a87	0.00676237	0.00604624	0.0123929	0.031421	0.0762956	0.249313	0.617769
</S>	0.028316	0.0172971	0.0240236	0.044888	0.101772	0.263666	0.520038
