 	elle	a	divorcé	avec	lui	</S>
a23	0.667272	0.136337	0.0507323	0.0331844	0.0403134	0.072161
a79	0.479885	0.141959	0.0756452	0.0970662	0.0921525	0.113292
a20	0.203868	0.126845	0.124959	0.139804	0.159141	0.245382
a73	0.458108	0.217551	0.144934	0.085353	0.0506376	0.0434171
a84	0.31119	0.297065	0.204165	0.10404	0.0476521	0.0358886
a90	0.222872	0.279615	0.232757	0.116732	0.0779595	0.0700645
a98	0.184081	0.236244	0.200673	0.143354	0.116147	0.119502
a79	0.128061	0.149447	0.156056	0.172059	0.183599	0.210779
a94	0.162571	0.166264	0.152145	0.166864	0.165323	0.186831
a41	0.0413808	0.0516557	0.0849638	0.17825	0.277648	0.366102
a94	0.0170203	0.0226795	0.0444072	0.168841	0.300249	0.446803
a76	0.0127512	0.0154288	0.0289581	0.107223	0.266706	0.568932
a73	0.0135047	0.0175812	0.0394092	0.132753	0.254973	0.541779
a69	0.00993736	0.0155357	0.0364079	0.110386	0.242596	0.585137
a20	0.00854165	0.011379	0.0287657	0.123756	0.257236	0.570322
a84	0.0156949	0.0184991	0.0465207	0.158101	0.260437	0.500747
a87	0.00423838	0.00434419	0.0117456	0.067925	0.20973	0.702016
</S>	0.0168173	0.0129455	0.0242901	0.0948391	0.209085	0.642023
