 	je	suis	resté	à	la	maison	</S>
a83	0.379762	0.195124	0.153986	0.11555	0.0741849	0.0450051	0.0363877
a70	0.333129	0.26644	0.124285	0.0935326	0.0761256	0.0595438	0.0469444
a61	0.580201	0.238825	0.0928035	0.0450928	0.0242953	0.0117089	0.00707422
a24	0.466532	0.266418	0.162034	0.0626086	0.0284926	0.00945644	0.0044584
a88	0.316885	0.231035	0.232394	0.118097	0.0604245	0.0262526	0.0149113
a66	0.283429	0.216124	0.21645	0.123081	0.0802396	0.0471142	0.0335625
a11	0.0969459	0.107129	0.140615	0.140243	0.141402	0.16453	0.209135
a56	0.0464802	0.0508146	0.0784459	0.0990638	0.13584	0.223159	0.366196
a61	0.107708	0.106507	0.119024	0.14137	0.176716	0.17564	0.173035
a21	0.0505868	0.0523656	0.0698558	0.111234	0.17825	0.24343	0.294278
a47	0.0439414	0.0492587	0.0603251	0.122143	0.200728	0.256732	0.266872
a88	0.00811823	0.00864129	0.0119579	0.0344824	0.101627	0.308334	0.52684
a9	0.00440441	0.0052972	0.0081198	0.0266552	0.0865548	0.294512	0.574456
a87	0.00532911	0.00507558	0.00734568	0.0206477	0.0614317	0.226912	0.673258
a23	0.194959	0.118262	0.076878	0.0689408	0.0839639	0.138687	0.318309
a87	0.0718978	0.0395637	0.0238997	0.0380791	0.0827804	0.22779	0.515989
</S>	0.0399319	0.0295105	0.0184494	0.0378042	0.0921309	0.243782	0.538391
