 	ne	t'	absente	pas	demain	</S>
a23	0.0887415	0.111322	0.203239	0.236503	0.192347	0.167847
a79	0.208433	0.158871	0.194931	0.163398	0.139619	0.134749
a76	0.370366	0.148863	0.20326	0.111214	0.0828277	0.0834687
a90	0.466771	0.192888	0.16947	0.0897513	0.0501824	0.0309379
a25	0.376593	0.190218	0.191098	0.107435	0.0747347	0.0599218
a38	0.308277	0.216661	0.218907	0.115841	0.0774737	0.062841
a75	0.269403	0.224313	0.212762	0.115595	0.0911353	0.0867911
a14	0.226157	0.216754	0.215834	0.129399	0.108041	0.103814
a73	0.184094	0.225406	0.246198	0.143611	0.108146	0.092544
a94	0.108226	0.175803	0.243531	0.166014	0.146212	0.160213
a54	0.0809316	0.135419	0.231982	0.200345	0.176714	0.174607
a41	0.0680913	0.11761	0.178497	0.175156	0.211682	0.248964
a73	0.0669955	0.114536	0.150728	0.188247	0.226146	0.253347
a58	0.046191	0.0762566	0.133185	0.18646	0.246739	0.311169
a57	0.030373	0.0512958	0.0977386	0.172009	0.279509	0.369074
a53	0.0114572	0.0214958	0.0401098	0.101033	0.30127	0.524634
a94	0.02007	0.0300462	0.055076	0.116834	0.296379	0.481594
a98	0.0174898	0.0211589	0.0364761	0.0698107	0.252186	0.602878
a14	0.0122869	0.0178325	0.0300526	0.0694819	0.261942	0.608404
a35	0.0111053	0.0164907	0.0271823	0.0754086	0.275124	0.594689
a24	0.00625619	0.0088718	0.0157707	0.0496865	0.23634	0.683075
a98	0.0146786	0.0178346	0.0201209	0.0421436	0.184151	0.721071
a66	0.0109862	0.0141686	0.02601	0.0596553	0.207232	0.681948
a26	0.0148676	0.0207503	0.0404492	0.0722864	0.205349	0.646297
a24	0.0186734	0.027332	0.0611054	0.0887928	0.203933	0.600164
a41	0.0268435	0.0341207	0.073651	0.0914056	0.201097	0.572882
a24	0.00963995	0.0151797	0.03367	0.0557122	0.203354	0.682445
a98	0.0222978	0.0317717	0.067072	0.0825444	0.200414	0.5959
a83	0.0143856	0.0244075	0.0513534	0.0746742	0.210822	0.624358
a38	0.0189775	0.0297348	0.0705581	0.095871	0.20756	0.577299
a9	0.0316811	0.0524399	0.107988	0.116687	0.208382	0.482822
a87	0.038069	0.0557378	0.109189	0.124875	0.21037	0.461759
a23	0.0304262	0.0495038	0.0719378	0.120725	0.243259	0.484148
a87	0.0834494	0.0915183	0.0796779	0.115893	0.213836	0.415626
</S>	0.0542223	0.0774841	0.100369	0.141035	0.238178	0.388711
