 	je	ne	mange	pas	l'	igname	</S>
a15	0.365277	0.182034	0.147451	0.124806	0.0901799	0.0538842	0.036367
a66	0.356161	0.22257	0.157671	0.102816	0.0694229	0.0491381	0.0422213
a87	0.576229	0.201405	0.0788238	0.0418553	0.0289409	0.0301093	0.0426373
a23	0.519915	0.248032	0.0972639	0.0475071	0.0341149	0.0258063	0.0273602
a87	0.515453	0.227922	0.0954937	0.0469893	0.0407554	0.0371203	0.0362664
a23	0.481421	0.224623	0.102729	0.0533753	0.0501885	0.04674	0.0409233
a83	0.461409	0.202625	0.0968067	0.0560807	0.0601171	0.0624261	0.0605358
a54	0.359465	0.259037	0.148621	0.0762035	0.0555549	0.0528573	0.0482619
a36	0.22595	0.240468	0.193721	0.111015	0.0804927	0.0819294	0.0664239
a37	0.153847	0.20229	0.188645	0.125234	0.0980052	0.121235	0.110744
a18	0.169639	0.211262	0.196038	0.115376	0.0815912	0.107091	0.119003
a71	0.140118	0.165882	0.176085	0.133717	0.0969539	0.124061	0.163184
a24	0.0989977	0.143509	0.173045	0.141104	0.106992	0.142459	0.193894
a31	0.0894278	0.120759	0.155828	0.147578	0.113933	0.151082	0.221392
a0	0.0565584	0.0773872	0.124658	0.172823	0.146142	0.176213	0.246217
a11	0.0313293	0.0366594	0.0632031	0.120123	0.161693	0.233592	0.3534
a90	0.0280381	0.0283622	0.0443076	0.0835041	0.145303	0.247859	0.422626
a56	0.0160768	0.0191427	0.0357107	0.0957329	0.183585	0.255738	0.394014
a75	0.0106627	0.0127419	0.0248884	0.0737428	0.174332	0.288957	0.414675
a47	0.00882494	0.0126905	0.0262818	0.0711493	0.154864	0.251484	0.474706
a36	0.00298863	0.00420293	0.0111615	0.0406517	0.124793	0.278248	0.537954
a40	0.000941292	0.000879947	0.00179342	0.00837442	0.0564951	0.203565	0.727951
a36	0.00174927	0.00163211	0.00296228	0.0106989	0.0612465	0.213659	0.708052
a2	0.000986358	0.000930469	0.0019692	0.00915406	0.0648393	0.235022	0.687099
a57	0.0235314	0.0227238	0.0328906	0.0638753	0.13659	0.23604	0.484349
a9	0.296914	0.156076	0.107739	0.0919958	0.101522	0.112316	0.133437
a87	0.250561	0.13013	0.0907313	0.0856523	0.116904	0.146754	0.179267
a23	0.190148	0.111375	0.0861585	0.0975188	0.142589	0.177279	0.194931
a10	0.114105	0.0624133	0.0447365	0.0549627	0.1276	0.224313	0.371869
a87	0.0405462	0.0262531	0.0262754	0.0425244	0.103319	0.246215	0.514867
a23	0.0377152	0.0243233	0.0213096	0.0311253	0.0840061	0.245424	0.556096
</S>	0.041273	0.0284292	0.0241655	0.0374588	0.102712	0.250484	0.515477
