 	quand	j'	irai	en	ville	j'	accepterai	n'	importe	quel	emploi	</S>
a66	0.173951	0.1317	0.0690674	0.0751701	0.100742	0.107725	0.109783	0.114396	0.0777337	0.02074	0.0112093	0.00778146
a87	0.376422	0.224132	0.116932	0.06099	0.0646815	0.0313725	0.0196142	0.0255652	0.0228267	0.0185539	0.0188924	0.020018
a23	0.319086	0.174288	0.115625	0.103688	0.115451	0.0486666	0.0329496	0.0169098	0.0139269	0.0159103	0.0200813	0.0234162
a87	0.245388	0.160159	0.150236	0.114796	0.105369	0.0524361	0.01976	0.0175693	0.0203909	0.0300832	0.045243	0.0385707
a23	0.183168	0.148682	0.165759	0.158587	0.126851	0.063284	0.0214099	0.021059	0.0277152	0.0309527	0.028335	0.0241986
a30	0.198848	0.138762	0.148381	0.100651	0.0594484	0.0339814	0.0274801	0.0404488	0.0496786	0.0563391	0.0690716	0.0769093
a53	0.216499	0.158882	0.132614	0.0883859	0.0558983	0.0388258	0.0344377	0.0472789	0.0611978	0.0570387	0.0600498	0.0488913
a15	0.282567	0.236912	0.200136	0.0775811	0.0333674	0.0217454	0.0192294	0.0272404	0.0340245	0.0275426	0.0239827	0.0156714
a79	0.187282	0.1718	0.199221	0.101484	0.0511114	0.041151	0.0469745	0.052724	0.0462203	0.0484928	0.0340363	0.0195025
a7	0.138476	0.153503	0.205642	0.125232	0.0752621	0.0647614	0.0596508	0.0478895	0.0355436	0.0387451	0.033868	0.0214273
a56	0.10545	0.128993	0.222622	0.177654	0.107133	0.0760691	0.0513928	0.0304833	0.0242165	0.0258502	0.0285279	0.0216076
a62	0.0972616	0.113061	0.193214	0.175773	0.11788	0.0912938	0.0664296	0.0421453	0.028919	0.0265136	0.0261531	0.0213564
a88	0.0670662	0.0762539	0.141893	0.172754	0.14373	0.126198	0.10281	0.0707623	0.0391482	0.0259259	0.0186294	0.0148283
a75	0.0235042	0.036231	0.115113	0.206335	0.192093	0.144743	0.103466	0.0657393	0.0350842	0.0301667	0.0241727	0.0233513
a25	0.0153308	0.0198687	0.0661869	0.156144	0.156357	0.1234	0.089043	0.0867618	0.0685945	0.0692516	0.0744323	0.0746294
a56	0.0123478	0.0198389	0.0694371	0.15752	0.177716	0.126782	0.0720711	0.0607354	0.0509802	0.0575403	0.0740661	0.120965
a90	0.0126696	0.0184552	0.0495906	0.143193	0.217935	0.195029	0.13356	0.0876761	0.0438069	0.0314774	0.0301383	0.0364695
a93	0.00894119	0.0124755	0.0308853	0.097573	0.185949	0.195001	0.141254	0.0989372	0.0602526	0.0525236	0.051117	0.0650898
a75	0.00732732	0.00978356	0.026954	0.0940921	0.191126	0.196561	0.132866	0.109422	0.0632563	0.0529889	0.0525781	0.0630452
a85	0.00363823	0.00518145	0.012615	0.0404259	0.1209	0.153835	0.125034	0.117309	0.0868307	0.0960388	0.0990665	0.139126
a47	0.00332224	0.004955	0.0107897	0.0286318	0.0925832	0.123338	0.0974197	0.0978495	0.0763959	0.101979	0.139839	0.222896
a36	0.0055758	0.00980801	0.0199284	0.0379207	0.0885059	0.126891	0.160403	0.193779	0.114373	0.0872919	0.054391	0.101133
a2	0.00784618	0.0102558	0.0166449	0.0298129	0.0649005	0.0938935	0.106362	0.155028	0.096389	0.0947661	0.10652	0.217581
a57	0.0229231	0.024415	0.0243864	0.0363266	0.077663	0.111095	0.130211	0.168522	0.10726	0.100711	0.0769141	0.119572
a87	0.025477	0.025534	0.0298217	0.0499279	0.112051	0.14471	0.143764	0.152324	0.0998431	0.0771032	0.0569982	0.0824446
a23	0.0820012	0.0486989	0.0350997	0.0331046	0.0391568	0.0345684	0.0710735	0.16132	0.175148	0.1191	0.0889131	0.111816
a40	0.0223638	0.0168904	0.0177277	0.0269179	0.0460801	0.0451301	0.0477398	0.0807569	0.141962	0.167354	0.149907	0.23717
a37	0.00917981	0.0116506	0.0246479	0.0370625	0.0488241	0.0604395	0.114303	0.130106	0.132433	0.124671	0.123589	0.183094
a88	0.00618953	0.00718064	0.0155276	0.0375017	0.0649626	0.0823206	0.110085	0.0977489	0.0824151	0.0973782	0.163659	0.235032
a0	0.00375118	0.00466653	0.0112241	0.0323672	0.054069	0.0637905	0.0805879	0.108626	0.131893	0.126857	0.184426	0.197743
a75	0.00364926	0.00469553	0.00973857	0.0210545	0.0399344	0.0501039	0.0529102	0.101214	0.169801	0.174611	0.195802	0.176486
a5	0.00281534	0.00351552	0.00732275	0.0155265	0.0271265	0.0418642	0.0654607	0.093463	0.0996751	0.119888	0.212778	0.310565
a12	0.0030874	0.00339911	0.00652939	0.0152285	0.0246079	0.037035	0.0559588	0.093586	0.108992	0.13558	0.232315	0.283682
a62	0.00182647	0.00179191	0.00345256	0.00896462	0.0183216	0.0282605	0.0360693	0.0676148	0.094459	0.153451	0.269626	0.316162
a88	0.00187786	0.00191059	0.00316153	0.00715595	0.0151023	0.0235392	0.0298481	0.0594446	0.0941754	0.164557	0.282172	0.317055
