 	dans	un	village	les	gens	doivent	s'	entraider	</S>
a66	0.242387	0.217004	0.203558	0.160546	0.109352	0.0360128	0.0170774	0.00879133	0.00527198
a87	0.440643	0.224937	0.125041	0.075322	0.0511337	0.0310947	0.0213127	0.017275	0.0132414
a23	0.420189	0.236957	0.139089	0.0768881	0.0456886	0.0238688	0.015934	0.019824	0.0215618
a10	0.372163	0.188031	0.0987951	0.0512405	0.0317541	0.027669	0.028825	0.0992028	0.102319
a20	0.297235	0.162205	0.108044	0.071078	0.0429303	0.0351452	0.041739	0.12852	0.113103
a7	0.156396	0.166372	0.182397	0.17414	0.144867	0.0972219	0.0370037	0.0262626	0.0153401
a84	0.0997013	0.148532	0.16626	0.137388	0.116413	0.139945	0.104605	0.0639082	0.0232474
a4	0.0818992	0.106939	0.131067	0.094644	0.0979453	0.154855	0.179439	0.115242	0.0379687
a13	0.04369	0.0681448	0.0882952	0.0649722	0.0717377	0.174168	0.236522	0.174594	0.0778761
a40	0.0598015	0.0813314	0.106353	0.102528	0.0876854	0.117533	0.160361	0.16072	0.123686
a54	0.0524477	0.0646883	0.0809807	0.0781317	0.0934893	0.156908	0.171027	0.178984	0.123342
a36	0.0630082	0.0692085	0.0840093	0.0796592	0.106958	0.17196	0.171478	0.149463	0.104257
a37	0.024065	0.0206241	0.0305313	0.0326397	0.0499008	0.100813	0.188365	0.269292	0.283769
a62	0.0248704	0.0228885	0.0357522	0.0456435	0.0596246	0.101177	0.155494	0.220926	0.333624
a0	0.00978238	0.00929206	0.0136435	0.0220989	0.0306346	0.0488742	0.151045	0.30861	0.40602
a38	0.00477035	0.00415041	0.00414473	0.00645444	0.0106903	0.0260463	0.152946	0.414036	0.376762
a70	0.00436177	0.00327744	0.00321124	0.00504341	0.00883407	0.0244056	0.111329	0.351441	0.488097
a54	0.00747831	0.005374	0.00486426	0.00586725	0.0089767	0.0197676	0.077344	0.268921	0.601407
a47	0.000738854	0.000604175	0.00064384	0.00113897	0.00259699	0.00845999	0.0682231	0.341623	0.575971
a36	0.0015538	0.00116099	0.00120407	0.00174405	0.00488481	0.0200588	0.0876554	0.299651	0.582087
a26	0.0136026	0.00861218	0.00777503	0.00939004	0.0283091	0.0791121	0.101049	0.177826	0.574324
a18	0.0997921	0.0564831	0.0401116	0.0494023	0.112776	0.154018	0.125594	0.131068	0.230756
a27	0.04409	0.0227519	0.016273	0.0223313	0.0480491	0.0955679	0.121881	0.187053	0.442003
a57	0.123654	0.0559384	0.0405924	0.0489144	0.0872629	0.113569	0.111702	0.141646	0.27672
a87	0.354871	0.138094	0.0782228	0.0662199	0.0840902	0.0762459	0.05867	0.0606844	0.0829024
</S>	0.277609	0.171203	0.111129	0.086524	0.0842935	0.0652336	0.0548453	0.0707704	0.0783925
