 	cette	femme	élève	ses	enfants	par	ses	propres	moyens	</S>
a66	0.126507	0.133335	0.163733	0.166116	0.149809	0.108837	0.0637767	0.0348448	0.031133	0.0219085
a87	0.277073	0.23762	0.186329	0.121311	0.0616363	0.0347307	0.0212085	0.0198716	0.0250522	0.0151674
a23	0.316819	0.220372	0.18029	0.133211	0.0754673	0.0415196	0.0172193	0.00779872	0.00403572	0.00326754
a13	0.415946	0.226915	0.133831	0.0901295	0.0440404	0.0297399	0.0184009	0.0172951	0.0139198	0.00978288
a99	0.245237	0.16687	0.167634	0.138111	0.0817157	0.0676144	0.0472583	0.0362357	0.0284496	0.0208732
a70	0.165363	0.125695	0.142935	0.133959	0.102215	0.0955097	0.0799978	0.0662948	0.0516895	0.0363412
a53	0.0924512	0.083553	0.0974516	0.105616	0.104636	0.113182	0.118483	0.130705	0.0908822	0.063039
a44	0.0844657	0.101646	0.138955	0.138765	0.127547	0.131371	0.106358	0.0833855	0.0517984	0.0357092
a54	0.0617798	0.082992	0.123934	0.131176	0.123835	0.133352	0.112492	0.099797	0.0764684	0.0541744
a56	0.0993753	0.139611	0.18467	0.154372	0.119504	0.112518	0.0734824	0.0521477	0.0366367	0.0276836
a44	0.0730511	0.0950546	0.127533	0.116547	0.109588	0.124953	0.0981386	0.0893697	0.0916901	0.0740743
a93	0.0711398	0.0843928	0.110323	0.111322	0.105315	0.122244	0.0934899	0.0904368	0.107983	0.103353
a69	0.0749983	0.0890064	0.101684	0.102136	0.103249	0.121945	0.103403	0.106006	0.105521	0.0920508
a4	0.0585265	0.0762461	0.096681	0.101268	0.107367	0.124695	0.107605	0.114674	0.118633	0.0943036
a13	0.0468326	0.0541833	0.0672019	0.0773925	0.0867049	0.107889	0.101834	0.128274	0.172005	0.157683
a20	0.0218927	0.0265675	0.0424833	0.062411	0.0744957	0.0990099	0.0979413	0.129163	0.197795	0.248241
a7	0.0365485	0.0441833	0.0670841	0.0898485	0.110556	0.140115	0.128053	0.132949	0.140646	0.110016
a44	0.0112136	0.0120681	0.0191393	0.0374684	0.0592085	0.0914099	0.108585	0.143823	0.242123	0.274961
a4	0.00785245	0.00777273	0.0115429	0.0222752	0.0363954	0.0618695	0.0800636	0.128719	0.283301	0.360208
a57	0.00547322	0.00535215	0.00771046	0.0148477	0.026573	0.0488213	0.0663764	0.12036	0.316639	0.387847
a53	0.00170897	0.00138756	0.00213216	0.00439914	0.00845731	0.0172142	0.0284895	0.0745477	0.383121	0.478542
a69	0.00275218	0.00278822	0.0041353	0.00831302	0.0164313	0.0322222	0.0497529	0.103597	0.334562	0.445445
a4	0.00363589	0.0039683	0.00623957	0.0112889	0.0208508	0.0393454	0.0563533	0.118353	0.33501	0.404954
a44	0.00201722	0.0016001	0.00159882	0.00278208	0.00569039	0.0122202	0.025129	0.0732555	0.358048	0.517659
a4	0.00178912	0.00132039	0.00127118	0.00219005	0.00461605	0.00997949	0.0201748	0.0709284	0.38191	0.505821
a69	0.00205024	0.00154012	0.00141876	0.00238942	0.00486417	0.0102616	0.0199744	0.0647076	0.369674	0.52312
a4	0.00122303	0.000990686	0.000987722	0.00154291	0.00295492	0.00615966	0.0126106	0.0505449	0.313351	0.609634
a99	0.000814463	0.000665789	0.000633408	0.00108332	0.00232311	0.00515445	0.0125814	0.0456643	0.304795	0.626284
a70	0.000600558	0.000430976	0.000471806	0.000704389	0.00136956	0.00249607	0.00596547	0.0371829	0.285879	0.664899
a66	0.000585198	0.000452169	0.000511374	0.000771359	0.00157562	0.00298919	0.00791232	0.0441146	0.258108	0.68298
a71	0.00320078	0.00250549	0.00267489	0.0034788	0.00572767	0.00794041	0.0137596	0.046189	0.201291	0.713232
a9	0.0100039	0.00552075	0.0040792	0.00499596	0.00772496	0.010983	0.0179367	0.0520252	0.197285	0.689446
a97	0.0672953	0.035039	0.0191959	0.0200302	0.0247059	0.0290346	0.0332136	0.068579	0.205882	0.497024
a38	0.182678	0.106178	0.0578085	0.0590575	0.0690926	0.0758175	0.0673849	0.0698369	0.132139	0.180006
a10	0.14057	0.0776753	0.0458935	0.0448599	0.0579896	0.0750588	0.0662163	0.09508	0.165124	0.231532
</S>	0.101325	0.0708164	0.0558502	0.0643611	0.0810295	0.1015	0.0818741	0.103999	0.149642	0.189604
