 	les	élèves	ont	réussi	l'	examen	</S>
a66	0.334508	0.289202	0.137596	0.115127	0.064462	0.0340064	0.0250993
a87	0.417609	0.30773	0.109647	0.0518112	0.049425	0.0358839	0.0278941
a23	0.499354	0.290899	0.112491	0.0276505	0.0215827	0.0242207	0.0238016
a87	0.420594	0.286299	0.109342	0.0381121	0.0487854	0.0533092	0.0435578
a23	0.454228	0.287356	0.0968176	0.033544	0.0415478	0.0457001	0.0408062
a40	0.441325	0.232904	0.103484	0.0540537	0.0672798	0.0565965	0.0443572
a54	0.473652	0.310136	0.102251	0.0442159	0.0271599	0.0227513	0.0198339
a44	0.21255	0.288595	0.19918	0.117673	0.0782946	0.0613662	0.0423408
a54	0.107382	0.214378	0.240422	0.152289	0.102611	0.10145	0.0814679
a94	0.0976606	0.204423	0.241077	0.145404	0.105337	0.10651	0.0995886
a34	0.0623327	0.124749	0.193309	0.115981	0.118914	0.17919	0.205524
a54	0.0380447	0.0596287	0.0976489	0.0883781	0.125887	0.269167	0.321245
a44	0.0419805	0.0608674	0.120188	0.140075	0.157178	0.228711	0.251
a53	0.0272353	0.032284	0.0730287	0.124277	0.152364	0.264228	0.326583
a54	0.0223911	0.022408	0.0505512	0.139636	0.173331	0.270437	0.321246
a79	0.00988624	0.0086838	0.0221837	0.10258	0.207452	0.298007	0.351208
a54	0.0150106	0.0111731	0.0236629	0.101934	0.215933	0.291126	0.341159
a56	0.00470487	0.00360533	0.0106552	0.0736598	0.222643	0.330186	0.354546
a94	0.00226902	0.00148288	0.0040163	0.032807	0.1724	0.369538	0.417487
a70	0.00121343	0.000667357	0.00176247	0.0124112	0.114033	0.396671	0.473242
a0	0.0003683	0.000169976	0.000443343	0.00341847	0.062479	0.365047	0.568074
a62	0.000369939	0.000167131	0.000404436	0.0030216	0.0444314	0.342137	0.609469
a83	0.000278098	0.000154372	0.000347906	0.00215864	0.0344806	0.312671	0.649909
a24	0.000279207	0.000145208	0.000363634	0.0027235	0.0391502	0.312559	0.644779
a83	0.000921924	0.000424653	0.000939911	0.00532749	0.0382006	0.287356	0.666829
a18	0.00037865	0.000169635	0.000473007	0.0040678	0.0389798	0.282665	0.673266
a83	0.00382181	0.00158759	0.00274537	0.0101381	0.0438754	0.237949	0.699882
a56	0.000966731	0.00046522	0.00114814	0.0066974	0.0415614	0.251942	0.697219
a37	0.00025432	0.000142385	0.000364161	0.00296352	0.031698	0.252086	0.712492
a70	0.000454753	0.00021596	0.000554115	0.00376113	0.0295524	0.216215	0.749246
a83	0.000364664	0.000165506	0.000446371	0.00298346	0.0288775	0.227183	0.73998
a13	0.000394344	0.000173021	0.000540616	0.00435126	0.0400568	0.265074	0.68941
a3	0.00179504	0.000705581	0.00176358	0.00944742	0.0574142	0.291956	0.636918
a97	0.044743	0.0164344	0.0144656	0.0229841	0.0821726	0.256391	0.562809
a87	0.147579	0.0534851	0.0378426	0.0432145	0.112903	0.240486	0.36449
a23	0.134002	0.0754682	0.0623465	0.077667	0.139914	0.192218	0.318384
a87	0.0959782	0.0501677	0.0309672	0.0463024	0.160491	0.25674	0.359354
</S>	0.0706109	0.0461028	0.0320007	0.055414	0.152057	0.241486	0.402329
