 	il	abaisse	son	pagne	</S>
a87	0.319357	0.321142	0.149724	0.121255	0.088522
a23	0.358032	0.202861	0.1336	0.166212	0.139295
a53	0.30011	0.307982	0.13918	0.13299	0.119738
a20	0.645778	0.219327	0.0626505	0.0422584	0.0299852
a30	0.633304	0.23311	0.075398	0.040093	0.0180944
a57	0.567824	0.277506	0.0922676	0.0400747	0.0223278
a2	0.464187	0.323465	0.114203	0.0549906	0.0431536
a30	0.209383	0.245993	0.196259	0.157951	0.190415
a35	0.212344	0.255739	0.196847	0.149242	0.185829
a11	0.396131	0.341093	0.163637	0.0647548	0.0343845
a90	0.355952	0.354806	0.168306	0.0736892	0.0472469
a83	0.301658	0.384014	0.177931	0.0830527	0.0533453
a38	0.180234	0.349563	0.236539	0.142419	0.0912458
a70	0.129336	0.321418	0.259727	0.171126	0.118393
a32	0.0752311	0.21542	0.25693	0.250575	0.201844
a24	0.0583088	0.172644	0.247513	0.268132	0.253402
a62	0.046261	0.118942	0.197682	0.300525	0.336591
a98	0.0244323	0.0660902	0.145469	0.287852	0.476156
a9	0.0192827	0.0619177	0.150436	0.271091	0.497273
a87	0.0154911	0.0404876	0.114389	0.235002	0.594631
a38	0.0119871	0.0354576	0.110003	0.272026	0.570527
a90	0.0176919	0.0329315	0.108051	0.292045	0.549281
a9	0.0211368	0.04005	0.108908	0.269971	0.559934
a38	0.00862952	0.0296888	0.103399	0.251721	0.606562
a75	0.00855474	0.0228911	0.0931586	0.252362	0.623034
a41	0.00824898	0.01509	0.0588617	0.228301	0.689499
a56	0.00529025	0.0115915	0.0598811	0.243598	0.679639
a98	0.00618015	0.0136945	0.052237	0.192459	0.735429
a14	0.00836284	0.0146661	0.0583143	0.225549	0.693108
a73	0.0078565	0.0173203	0.0675642	0.24409	0.663169
a90	0.0114001	0.024672	0.0808431	0.225706	0.657379
a20	0.00694581	0.0166124	0.0643568	0.245092	0.666993
a84	0.0127036	0.0274087	0.0829984	0.247564	0.629325
a57	0.016396	0.0287976	0.0763849	0.183434	0.694987
a87	0.0422584	0.0629755	0.101227	0.206609	0.58693
a23	0.0462202	0.0630649	0.118317	0.263855	0.508543
a10	0.0930868	0.0803441	0.118382	0.23175	0.476437
a87	0.0421313	0.0453038	0.0900641	0.233069	0.589431
</S>	0.0315601	0.0398007	0.0918546	0.248225	0.588559
