 	nyasoni	a	du	mal	à	préparer	pour	son	mari	car	celui-ci	n'	aime	pas	manger	certains	repas	</S>
a15	0.0904177	0.0594581	0.0348821	0.0562721	0.0783686	0.0778798	0.0675421	0.0672403	0.0879375	0.0751526	0.0941558	0.0727309	0.0703415	0.0312697	0.0152042	0.00829415	0.00683288	0.00602001
a66	0.462669	0.0745655	0.0350901	0.0289192	0.0266934	0.0213237	0.0176115	0.0173201	0.0210488	0.0270416	0.0323218	0.0382768	0.0428081	0.0330952	0.0354536	0.0295641	0.030103	0.0260939
a87	0.443894	0.178878	0.086082	0.0509604	0.0362139	0.0222055	0.0116792	0.00994672	0.012114	0.0105551	0.0123261	0.0113172	0.0127049	0.0110126	0.0139999	0.0174464	0.026771	0.0318932
a10	0.409718	0.141706	0.0686029	0.0546189	0.0410275	0.0276547	0.0178731	0.0188215	0.0226099	0.0219454	0.0251849	0.0244325	0.024789	0.0188688	0.0181532	0.0160168	0.0208547	0.0271226
a99	0.33827	0.131473	0.0617215	0.052944	0.0386274	0.0284025	0.0234757	0.0262736	0.0358828	0.0394134	0.0392153	0.0384257	0.036761	0.0292174	0.0269094	0.0167059	0.0156635	0.0206179
a87	0.208304	0.124483	0.0669147	0.0633123	0.0543308	0.0516137	0.041316	0.0411889	0.0473616	0.0421369	0.0435722	0.0380271	0.0423005	0.0358272	0.0328624	0.0227127	0.0196834	0.0240517
a23	0.28965	0.109652	0.0586691	0.0539046	0.0481972	0.0443793	0.0347531	0.036022	0.0428652	0.0424997	0.0418952	0.0398302	0.0392172	0.0346205	0.0327083	0.0213821	0.0150872	0.0146668
a99	0.166777	0.0895041	0.0578443	0.0598161	0.0537504	0.0539615	0.0456668	0.0467685	0.0472812	0.0433119	0.0437737	0.0424706	0.0430484	0.0408349	0.0420777	0.0373419	0.0355805	0.0501906
a83	0.153276	0.148029	0.0883361	0.0769813	0.0623374	0.048938	0.0345126	0.030358	0.0309268	0.0283413	0.0317736	0.0286205	0.0349571	0.0396473	0.0513472	0.0446269	0.0311467	0.035844
a5	0.270968	0.255549	0.119191	0.0616961	0.0374024	0.0253552	0.0166538	0.0119386	0.0121637	0.0104431	0.0103901	0.00830803	0.0111474	0.0138055	0.0264295	0.033474	0.0340451	0.0410388
a0	0.122473	0.167946	0.132398	0.096719	0.0765255	0.0663243	0.0514812	0.0347958	0.0319153	0.0259128	0.0205965	0.0123522	0.0131167	0.0128519	0.0234879	0.0344797	0.0368183	0.0398054
a43	0.0764946	0.112243	0.121079	0.110846	0.0988508	0.0932401	0.074469	0.0580916	0.0519149	0.0460088	0.032929	0.0207353	0.0161568	0.0139661	0.0179436	0.0206336	0.0178653	0.0165331
a75	0.0600066	0.102599	0.125662	0.124287	0.108976	0.101274	0.0793517	0.0633656	0.0572002	0.0498357	0.0358981	0.0223085	0.0155325	0.0120829	0.0127494	0.0117849	0.00878555	0.00829974
a92	0.0251128	0.0659227	0.112904	0.120703	0.108436	0.101795	0.0886939	0.0691146	0.0626145	0.0592909	0.0417076	0.025795	0.0180868	0.0133404	0.0166198	0.0197714	0.0222693	0.0278214
a75	0.0344716	0.071994	0.104607	0.103214	0.09238	0.0834553	0.0730675	0.0631015	0.0609628	0.0624057	0.0519747	0.0406725	0.0311506	0.0196531	0.0181847	0.0203356	0.0286885	0.0396812
a85	0.0237272	0.0547912	0.0977486	0.10931	0.0979033	0.0869489	0.0750172	0.0656598	0.0652424	0.0687056	0.0582497	0.0480941	0.036351	0.0209361	0.0160719	0.016613	0.0247838	0.0338458
a6	0.0180321	0.0328221	0.0602163	0.077106	0.0747665	0.0758827	0.0728952	0.0719413	0.0698364	0.0808483	0.0657322	0.0620362	0.0533812	0.0409436	0.027577	0.023854	0.0365208	0.055608
a36	0.0129344	0.0322928	0.0775526	0.108738	0.101809	0.0923114	0.0795519	0.0708101	0.0729222	0.0777149	0.0676965	0.0580635	0.0448139	0.0262763	0.0164041	0.0145259	0.0200495	0.0255329
a85	0.00460012	0.00885959	0.0244729	0.0730504	0.105743	0.115553	0.0965465	0.096716	0.0947734	0.0957963	0.0855017	0.0648791	0.041246	0.0225474	0.0159	0.0137134	0.0172537	0.0228478
a6	0.00217507	0.00483243	0.016129	0.0561287	0.0875359	0.102521	0.0908712	0.0904812	0.0887949	0.0874601	0.081726	0.0697196	0.0534185	0.0351808	0.0242381	0.0236824	0.0345555	0.0505493
a36	0.00133126	0.00286465	0.00918449	0.0368735	0.0767951	0.11108	0.1011	0.102161	0.0998656	0.0962289	0.0887244	0.0722088	0.0519566	0.0302465	0.0209649	0.0223312	0.0305957	0.0454871
a21	0.00143847	0.00232429	0.00517767	0.0178893	0.0456804	0.101012	0.118753	0.137075	0.137426	0.135406	0.108474	0.0678479	0.0392883	0.0179104	0.0115012	0.0113062	0.0161643	0.0253258
a92	0.00145608	0.00218322	0.00538737	0.0167173	0.0399948	0.0824428	0.0862014	0.104062	0.099971	0.106633	0.103883	0.0984824	0.0745973	0.0476521	0.0261451	0.0221855	0.0336015	0.0484033
a56	0.000737412	0.00139142	0.00453194	0.0169062	0.0331523	0.0747332	0.0861112	0.107032	0.103653	0.116529	0.0998988	0.0886533	0.0631344	0.0430139	0.0301859	0.0279257	0.040828	0.0615822
a34	0.00115376	0.002026	0.00551646	0.0173218	0.0319459	0.0704114	0.0874598	0.115076	0.11077	0.119736	0.103616	0.0905926	0.0613611	0.038653	0.0250125	0.0228912	0.0366827	0.0597744
a47	0.00118762	0.00203428	0.00557584	0.0175112	0.0304253	0.0685025	0.0865799	0.116339	0.110028	0.115896	0.0995364	0.086457	0.0599707	0.0416308	0.0276158	0.0246091	0.0402199	0.0658798
a75	0.00137277	0.0024407	0.00612808	0.0192722	0.0325786	0.067872	0.0938425	0.128647	0.125117	0.135305	0.108753	0.0851551	0.0546767	0.0341977	0.0195599	0.0142471	0.0245071	0.0463269
a85	0.000532045	0.000821584	0.00226166	0.00852235	0.0194715	0.0526077	0.0661753	0.0959768	0.0873543	0.106604	0.0884575	0.0898193	0.0643528	0.0560503	0.0470285	0.0467151	0.0676884	0.0995612
a47	0.000531906	0.000856305	0.00239714	0.00928948	0.0218927	0.0596328	0.0767804	0.114978	0.102228	0.119192	0.0973982	0.0879965	0.0526223	0.0399244	0.0298587	0.0291997	0.0520713	0.103151
a36	0.000805318	0.00136857	0.00396776	0.0134253	0.0274905	0.0691734	0.0899199	0.125565	0.114935	0.116104	0.0989219	0.0813526	0.0551053	0.0398433	0.0266994	0.0222049	0.0397351	0.0733826
a26	0.0027597	0.00392453	0.00757271	0.0178821	0.0302935	0.0588468	0.0876969	0.119399	0.120271	0.136242	0.108156	0.0785466	0.0499294	0.033138	0.0210617	0.0200553	0.0395385	0.0646869
a57	0.0127289	0.0129481	0.0189701	0.0339343	0.0449185	0.0644063	0.0835465	0.112758	0.108749	0.11813	0.0870242	0.0722609	0.0440046	0.0298368	0.0197551	0.0205594	0.0401095	0.0753602
a87	0.0181329	0.0160881	0.0203762	0.0302056	0.0399324	0.0611268	0.0782693	0.104256	0.0963447	0.100286	0.0784107	0.0714014	0.0569008	0.0436715	0.0346652	0.0363644	0.0499922	0.0635757
a23	0.0704457	0.0325877	0.0252458	0.0179371	0.0264451	0.0385701	0.0404692	0.0372846	0.03747	0.0354505	0.0383285	0.0381496	0.0553832	0.0559946	0.0733594	0.101408	0.13208	0.143391
a87	0.0270301	0.0119669	0.0135172	0.0180331	0.0298519	0.0431384	0.0460726	0.0431687	0.0470189	0.0555455	0.0551213	0.0595067	0.0716184	0.070902	0.0785721	0.0659846	0.108111	0.154841
a23	0.0334477	0.0127036	0.0153941	0.0232305	0.0425473	0.0570645	0.0540501	0.0534563	0.0546253	0.0591305	0.0611699	0.0728329	0.0773283	0.0730752	0.0686837	0.0533825	0.0792098	0.108668
a10	0.0218525	0.00972025	0.012525	0.0177586	0.0294511	0.0370995	0.036717	0.0325393	0.0352358	0.0422606	0.0450427	0.0536405	0.0630871	0.0632671	0.0888214	0.0801224	0.130019	0.20084
a83	0.00474356	0.00387936	0.008575	0.0151575	0.025806	0.0352706	0.0334101	0.0313754	0.0283997	0.0317983	0.029894	0.0337882	0.0380742	0.0492607	0.0990267	0.112554	0.180127	0.238859
a54	0.00100423	0.00122223	0.00268606	0.00480599	0.0113182	0.0170431	0.0174176	0.0192722	0.0179873	0.0227051	0.0228247	0.0281345	0.0344849	0.0603292	0.154984	0.170764	0.192515	0.220502
a79	0.000643506	0.00128999	0.00290465	0.00575904	0.0165973	0.0312603	0.0334937	0.0334549	0.0281284	0.0353158	0.0284941	0.0280722	0.0323109	0.0424841	0.0871489	0.148799	0.212009	0.231834
a93	0.00109489	0.002258	0.00455445	0.0088455	0.0200874	0.0303365	0.0300514	0.031883	0.0278377	0.031548	0.029373	0.0301244	0.0310294	0.0351983	0.0636726	0.127681	0.239651	0.254774
a75	0.00144641	0.00281334	0.00559174	0.00971814	0.0179798	0.0300175	0.0310691	0.0330557	0.0316371	0.0283146	0.0283391	0.0252602	0.0235851	0.0252402	0.0537205	0.130516	0.241945	0.279751
a92	0.0007954	0.00159577	0.00365961	0.00769364	0.0145635	0.0292394	0.0317594	0.0353417	0.0335647	0.0371588	0.036245	0.0351192	0.0343076	0.0362591	0.0619683	0.11565	0.208374	0.276706
a37	0.00119999	0.00216938	0.00466876	0.00949473	0.018718	0.0342542	0.035741	0.0377378	0.0360666	0.0398055	0.0374744	0.0360099	0.0343911	0.0351496	0.0521951	0.0961427	0.200467	0.288314
a61	0.00141849	0.002573	0.00573752	0.0131411	0.0238577	0.0468155	0.0533373	0.0606382	0.0594695	0.0536718	0.05369	0.0455409	0.0374247	0.0339337	0.0533816	0.100764	0.158595	0.19601
