 	où	est	la	machette	</S>
a15	0.574894	0.199962	0.0905526	0.0683815	0.0662099
a87	0.417608	0.23196	0.138041	0.0985145	0.113877
a79	0.463632	0.18903	0.114673	0.0989008	0.133764
a15	0.527596	0.214269	0.0949765	0.0644966	0.0986623
a69	0.437594	0.235829	0.129962	0.0845399	0.112075
a58	0.278705	0.221346	0.171559	0.136514	0.191875
a82	0.227586	0.212103	0.183295	0.158095	0.218921
a53	0.210091	0.205119	0.196844	0.173263	0.214683
a98	0.129053	0.139877	0.17472	0.217931	0.33842
a92	0.128863	0.137594	0.175942	0.221896	0.335704
a66	0.130403	0.135847	0.174601	0.230979	0.328169
a61	0.117311	0.135472	0.189024	0.215064	0.343128
a21	0.0744458	0.0999316	0.178523	0.259688	0.387411
a47	0.0562023	0.0685374	0.117881	0.294384	0.462996
a88	0.0494091	0.0624946	0.10934	0.277973	0.500782
a9	0.0186605	0.0266727	0.0651095	0.276622	0.612935
a87	0.014943	0.0166267	0.0364646	0.23855	0.693415
a23	0.194384	0.108732	0.0979321	0.210973	0.387978
a87	0.153002	0.0956202	0.0957056	0.213749	0.441923
</S>	0.0625921	0.0519808	0.0760231	0.277893	0.531511
