 	l'	argent	que	j'	avais	gardé	chez	lui	est	encore	juste	</S>
a66	0.32143	0.192093	0.119735	0.0931988	0.0813915	0.062133	0.0418181	0.030719	0.0166478	0.0117145	0.0127641	0.0163546
a87	0.304354	0.196039	0.139359	0.0991878	0.0590446	0.035307	0.025207	0.0282124	0.0217659	0.0219411	0.0229945	0.046587
a23	0.345062	0.227306	0.174668	0.092534	0.0377279	0.0223209	0.015666	0.0125761	0.0129258	0.0156707	0.0178011	0.0257419
a99	0.249166	0.187839	0.141702	0.0850447	0.0382694	0.0252724	0.0192683	0.0248926	0.0349863	0.0460564	0.0554502	0.0920528
a20	0.203033	0.143987	0.109166	0.0708542	0.0364204	0.0276056	0.0263941	0.0405941	0.0617593	0.0710536	0.0892552	0.119877
a76	0.286826	0.249988	0.169937	0.104475	0.059635	0.0336853	0.0245701	0.0186077	0.0152204	0.0114281	0.0116826	0.0139445
a90	0.194003	0.206058	0.182731	0.157998	0.106402	0.0512426	0.035763	0.0248918	0.014063	0.0085096	0.00807301	0.0102653
a98	0.0849173	0.121597	0.158339	0.193325	0.159705	0.0725032	0.053639	0.0366003	0.0291832	0.0266098	0.0300913	0.0334898
a85	0.0871045	0.113013	0.155656	0.200356	0.17297	0.072247	0.0521924	0.0378904	0.0244996	0.0211734	0.0286085	0.0342895
a47	0.0716845	0.0953932	0.146691	0.21081	0.192431	0.0785824	0.0521718	0.0358638	0.0220718	0.0201305	0.0326345	0.0415355
a36	0.0542849	0.0691195	0.103676	0.146169	0.167021	0.076918	0.0503138	0.0364024	0.0295495	0.040804	0.089872	0.135869
a56	0.0333004	0.0391638	0.0651613	0.116831	0.17491	0.104495	0.0848827	0.0519324	0.0428842	0.0560333	0.098476	0.131931
a37	0.0460945	0.0459535	0.0746495	0.136352	0.175245	0.11182	0.105859	0.0603812	0.0469019	0.0521337	0.0680796	0.0765308
a54	0.0216852	0.0196433	0.0302681	0.0641876	0.136908	0.129443	0.153802	0.0978617	0.0726749	0.0752122	0.0931247	0.10519
a15	0.00775504	0.0082259	0.0145647	0.0329933	0.0884456	0.0985221	0.115305	0.11023	0.098759	0.104576	0.142149	0.178474
a94	0.00950038	0.00956286	0.0135857	0.0234517	0.0627831	0.0950171	0.132048	0.118348	0.0890987	0.091784	0.152394	0.202427
a85	0.0070664	0.00602188	0.00735456	0.0107102	0.0290019	0.0609188	0.112696	0.087824	0.0798548	0.109752	0.212241	0.276559
a47	0.00464673	0.00422836	0.00575153	0.0100521	0.0333112	0.0511511	0.0802206	0.0869348	0.0987102	0.137211	0.215967	0.271815
a36	0.00364449	0.00321914	0.00366762	0.00517794	0.0141383	0.0255952	0.0504769	0.0613914	0.0726086	0.105529	0.255488	0.399064
a15	0.00508891	0.00364941	0.00360794	0.00417538	0.00872662	0.0162862	0.0363437	0.0416856	0.064743	0.126226	0.310329	0.379139
a98	0.00212389	0.00179531	0.0022245	0.00339023	0.00840195	0.0157356	0.0352592	0.0500577	0.0937229	0.166219	0.283706	0.337364
a15	0.00202823	0.00167459	0.00192861	0.0027588	0.00696227	0.0122401	0.0246119	0.034413	0.0685487	0.150524	0.318991	0.375319
a79	0.00094767	0.000794397	0.000967635	0.00147421	0.00435838	0.0087813	0.0208619	0.02921	0.0613962	0.137569	0.347552	0.386088
a15	0.000648192	0.000552445	0.000659512	0.00101665	0.00297065	0.00776619	0.0206969	0.0300774	0.0767445	0.19716	0.338417	0.323291
a47	0.000767737	0.000671617	0.000762612	0.00106599	0.00287685	0.0069945	0.0192816	0.0287905	0.0729152	0.181104	0.346797	0.337973
a36	0.000470458	0.000451236	0.000592493	0.000840089	0.00232795	0.00472134	0.0132862	0.0236577	0.0621958	0.175429	0.311118	0.40491
a5	0.00753829	0.00671926	0.00633196	0.00649927	0.0108904	0.0142765	0.0223683	0.031213	0.0575291	0.135665	0.295304	0.405664
a0	0.00298043	0.00291188	0.00327587	0.00404911	0.00855128	0.0137979	0.0246412	0.032558	0.0786181	0.204706	0.295728	0.328183
a75	0.0027538	0.00312637	0.00358193	0.00471115	0.0103946	0.0148945	0.0220385	0.0290837	0.0713566	0.182652	0.297513	0.357894
a85	0.000972379	0.000956235	0.00128413	0.00188694	0.00364856	0.00475179	0.00908163	0.0150682	0.0521013	0.19706	0.341656	0.371533
a47	0.000693716	0.000633013	0.000699912	0.000851312	0.00166671	0.00251676	0.00599676	0.0113057	0.0446578	0.204133	0.359033	0.367812
a7	0.000403711	0.000373063	0.00050236	0.000808368	0.00204471	0.00309877	0.00783892	0.0176752	0.0651129	0.22676	0.325494	0.349888
a26	0.00333557	0.00323694	0.00368905	0.00474276	0.00907371	0.0131656	0.0217331	0.0352411	0.0872489	0.183396	0.289858	0.345279
a36	0.0286439	0.0234339	0.0194951	0.022801	0.0380755	0.0461808	0.0594075	0.0833199	0.12884	0.166479	0.183578	0.199745
a2	0.0519234	0.0366995	0.0273753	0.0287682	0.0411278	0.038894	0.0457463	0.0656103	0.112211	0.163875	0.204143	0.183626
a57	0.0927788	0.0742421	0.0572974	0.0572637	0.0747402	0.0748818	0.0842323	0.0908584	0.0925575	0.0931292	0.106591	0.101427
a87	0.183072	0.109383	0.0760679	0.062595	0.0583069	0.0554753	0.0586774	0.0713733	0.086129	0.0838578	0.0786717	0.0763911
a23	0.246846	0.135169	0.0869484	0.0588076	0.0428792	0.0397559	0.043974	0.0538639	0.0690563	0.0814781	0.0661115	0.07511
a87	0.0504118	0.0263242	0.0216643	0.0209635	0.0230758	0.0217407	0.0361003	0.052537	0.112998	0.207447	0.213	0.213738
</S>	0.0121571	0.00788768	0.00857471	0.0110742	0.0166887	0.0164416	0.0224305	0.0308996	0.0749212	0.172326	0.293268	0.33333
