 	ondongo	est	parti	récolter	le	vin	de	palme	dans	la	forêt	</S>
a15	0.313452	0.212884	0.150737	0.0973901	0.0717805	0.0485961	0.0365011	0.0271366	0.0169788	0.010149	0.00741079	0.0069842
a66	0.299582	0.203214	0.138084	0.101	0.0888346	0.0577534	0.0374138	0.0286821	0.0169154	0.0105888	0.00886539	0.00906678
a87	0.331022	0.28108	0.16703	0.103906	0.05285	0.0220277	0.00926262	0.00632335	0.00491459	0.00502068	0.00710495	0.0094575
a23	0.310804	0.263696	0.17735	0.127446	0.056637	0.0245026	0.010732	0.00756455	0.00543861	0.00439587	0.00477499	0.00665895
a70	0.248598	0.22147	0.172313	0.167228	0.0718157	0.0349316	0.0160754	0.0100951	0.00945294	0.0121996	0.0155752	0.0202461
a90	0.244702	0.22803	0.17558	0.167108	0.0797214	0.0389272	0.0183088	0.0119486	0.00885134	0.00822494	0.00912603	0.00947224
a98	0.171104	0.185566	0.164016	0.241285	0.116007	0.0578504	0.0241086	0.0149955	0.00836168	0.00564287	0.0053703	0.00569126
a85	0.0527706	0.0743747	0.100728	0.244994	0.185582	0.130719	0.078512	0.0513618	0.026446	0.017377	0.0169769	0.020158
a6	0.0261323	0.040895	0.0563567	0.138267	0.143086	0.160396	0.167963	0.139667	0.061493	0.0258723	0.0199207	0.0199515
a0	0.0398819	0.0544303	0.0653287	0.159642	0.170191	0.179446	0.145013	0.102196	0.0395874	0.0171837	0.0131893	0.0139105
a21	0.0354892	0.0478303	0.0600416	0.0944672	0.117433	0.160613	0.161391	0.143489	0.0733258	0.0377738	0.0324752	0.0356707
a75	0.0344021	0.0427231	0.0471178	0.0571384	0.082935	0.133635	0.180392	0.186159	0.105154	0.0524359	0.0391954	0.0387116
a25	0.0116974	0.0151893	0.0206423	0.0254325	0.0539456	0.111023	0.193005	0.213605	0.141025	0.0849348	0.0661976	0.0633026
a92	0.0105944	0.0126409	0.0175558	0.0194435	0.0516459	0.0974895	0.166819	0.187256	0.163188	0.104831	0.083499	0.0850372
a21	0.0161558	0.0175781	0.0231973	0.0229523	0.0463913	0.0752553	0.129978	0.145561	0.146451	0.124384	0.120914	0.131183
a61	0.0119086	0.0132307	0.0135706	0.0108922	0.0207806	0.0426544	0.10674	0.151904	0.190869	0.167971	0.131845	0.137635
a21	0.00893628	0.0094707	0.00891413	0.00739097	0.0126218	0.0209773	0.056433	0.0888799	0.146546	0.19856	0.209577	0.231693
a12	0.00477706	0.00463232	0.00431954	0.00352484	0.00556248	0.00831511	0.0227822	0.0399275	0.0877971	0.181255	0.266585	0.370522
a75	0.00396679	0.00348326	0.00328474	0.00256941	0.00378879	0.00437886	0.0106222	0.0188312	0.0528362	0.14283	0.281	0.472409
a6	0.000713619	0.000660639	0.000680407	0.000610824	0.00116337	0.00201612	0.00746123	0.0159511	0.0511929	0.149063	0.297007	0.47348
a7	0.00095177	0.000839295	0.00086339	0.00072333	0.00138432	0.00171457	0.00454803	0.00836412	0.029015	0.104561	0.288673	0.558363
a69	0.00283945	0.00223479	0.00236732	0.00236111	0.00265917	0.00205475	0.00414305	0.00740332	0.0300538	0.110566	0.293869	0.539448
a58	0.00272858	0.00246229	0.00274494	0.0030735	0.00450999	0.00459401	0.0105743	0.017267	0.0430043	0.109664	0.268065	0.531312
a82	0.00247609	0.00195939	0.00242353	0.00301423	0.00413977	0.00343149	0.00879465	0.0165541	0.0507721	0.125213	0.284031	0.497191
a10	0.0532994	0.0446875	0.0433958	0.0481318	0.0453699	0.0272971	0.0335465	0.0401525	0.0807614	0.129143	0.194053	0.260162
a87	0.175994	0.179405	0.148468	0.139494	0.0810034	0.0391636	0.0336805	0.031098	0.0394269	0.0427396	0.0445747	0.0449529
a23	0.187779	0.196962	0.174503	0.184452	0.0879769	0.0357687	0.0236864	0.0196835	0.0207018	0.0211739	0.0234667	0.0238458
a87	0.0414652	0.0506442	0.041833	0.0353996	0.0313616	0.0164103	0.0181818	0.0236699	0.0563427	0.114047	0.236257	0.334387
a23	0.00720289	0.00844875	0.00719881	0.00835136	0.0085943	0.00669591	0.0150777	0.0290897	0.0734808	0.13212	0.27638	0.42736
a57	0.0193305	0.0265998	0.0256481	0.0256347	0.0312956	0.0196516	0.0231157	0.0286945	0.0644884	0.123231	0.239836	0.372474
</S>	0.0147166	0.021769	0.0234785	0.0252873	0.0307201	0.0235907	0.0362923	0.0479076	0.0929416	0.136051	0.224017	0.323229
