 	j'	ai	coupé	la	tige	de	la	mangue	</S>
a23	0.347314	0.199599	0.117566	0.0880574	0.0704465	0.0667696	0.0441032	0.0322903	0.0338542
a99	0.5633	0.191274	0.0874923	0.0515147	0.0352623	0.0293489	0.0171179	0.0112172	0.0134731
a83	0.262867	0.170297	0.126554	0.113891	0.101113	0.0658705	0.0502779	0.0467755	0.0623547
a88	0.39847	0.273951	0.130366	0.053389	0.0314188	0.0236089	0.0229903	0.0256555	0.0401504
a71	0.205542	0.305628	0.237495	0.119298	0.0575352	0.0255838	0.0166878	0.0131548	0.0190755
a62	0.0743702	0.145717	0.204839	0.186839	0.1549	0.0676892	0.052295	0.0510775	0.0622731
a96	0.0471454	0.104533	0.161084	0.168449	0.195872	0.0931626	0.0644595	0.0726163	0.0926782
a93	0.0306111	0.0696207	0.122286	0.140756	0.181202	0.110258	0.0892509	0.11114	0.144875
a4	0.0223489	0.0433628	0.0957573	0.116482	0.172071	0.139483	0.122141	0.133522	0.154833
a13	0.0156568	0.0288192	0.0784518	0.110346	0.157858	0.150213	0.143886	0.149738	0.165031
a38	0.0134229	0.0207961	0.061588	0.111996	0.180205	0.169767	0.147242	0.141704	0.153281
a93	0.0104623	0.0122916	0.0313624	0.0783493	0.170438	0.181203	0.168472	0.161427	0.185993
a94	0.00820351	0.00866808	0.0190297	0.0498755	0.149653	0.181122	0.199315	0.19423	0.189904
a79	0.00418627	0.00414644	0.0092841	0.0277545	0.133115	0.201413	0.215047	0.207103	0.19795
a7	0.00608796	0.00761482	0.0170055	0.0425625	0.114937	0.168266	0.202889	0.221235	0.219401
a54	0.00118607	0.000864514	0.00210417	0.00957806	0.0721429	0.178464	0.261846	0.23111	0.242704
a47	0.00202415	0.00162649	0.00358632	0.0113713	0.0475723	0.0924654	0.199902	0.284702	0.35675
a37	0.00206592	0.00161623	0.00285151	0.00923045	0.0479069	0.114087	0.240127	0.275289	0.306826
a26	0.000539363	0.000352147	0.000586088	0.00246424	0.017737	0.0673017	0.241493	0.30972	0.359806
a82	0.000734946	0.000436466	0.000438265	0.00147967	0.00670164	0.0266434	0.122658	0.289763	0.551145
a87	0.00336099	0.00154955	0.000863442	0.00167905	0.00362565	0.0152225	0.0895741	0.317736	0.566389
</S>	0.223802	0.0878927	0.0371434	0.0326036	0.0293843	0.0392562	0.0925806	0.173848	0.283489
