 	il	s'	est	arrêté	au	village	pour	dormir	</S>
a23	0.318037	0.197682	0.0926637	0.0928237	0.064163	0.0419933	0.043368	0.0659242	0.0833451
a87	0.286413	0.173525	0.113782	0.0999869	0.0818053	0.0563953	0.0516092	0.0587416	0.0777422
a23	0.184076	0.136915	0.113115	0.0960346	0.0956135	0.0872915	0.0861616	0.0898338	0.110959
a20	0.189293	0.133252	0.0812054	0.0775761	0.0726104	0.0750193	0.0754606	0.119256	0.176327
a73	0.390997	0.235134	0.105999	0.0843205	0.0646565	0.0422597	0.0288533	0.0264578	0.0213219
a32	0.25546	0.275362	0.19142	0.130385	0.0789838	0.0348559	0.0159413	0.00957843	0.00801454
a90	0.185401	0.210156	0.202928	0.168068	0.114877	0.0580502	0.0273954	0.0171845	0.0159394
a76	0.178796	0.185533	0.193357	0.166513	0.126975	0.0704109	0.0374562	0.0220551	0.0189034
a32	0.163424	0.17261	0.179464	0.150444	0.119076	0.0853672	0.0612493	0.0387523	0.0296131
a75	0.117979	0.134681	0.16808	0.164508	0.146401	0.115691	0.0756906	0.0427981	0.0341714
a73	0.084367	0.101032	0.155246	0.18189	0.157896	0.124925	0.0930602	0.0556712	0.0459124
a84	0.067124	0.0816469	0.13297	0.173534	0.169573	0.146275	0.10486	0.0654862	0.0585304
a76	0.0217446	0.0307	0.0558502	0.100529	0.137201	0.19081	0.182702	0.132351	0.148112
a94	0.0386952	0.0541371	0.104966	0.178734	0.168911	0.135424	0.111451	0.0959767	0.111704
a24	0.0132278	0.0159842	0.0328262	0.080763	0.133092	0.200661	0.220354	0.166572	0.13652
a32	0.0107551	0.0113576	0.0188577	0.0424047	0.0812581	0.165017	0.21844	0.222564	0.229346
a38	0.0165288	0.0153329	0.0200092	0.0341278	0.0572253	0.125636	0.174507	0.227427	0.329207
a73	0.0095898	0.00894289	0.011713	0.0212368	0.0387595	0.0958194	0.150937	0.247028	0.415973
a20	0.0101365	0.00915613	0.0108627	0.0193592	0.0354542	0.0928509	0.14787	0.256116	0.418195
a73	0.011864	0.0101526	0.012718	0.0247538	0.0445081	0.101639	0.153309	0.250488	0.390568
a32	0.00816688	0.00682138	0.00747719	0.0152572	0.0283221	0.068882	0.120677	0.25776	0.486637
a11	0.00443596	0.00425962	0.00584595	0.013091	0.02713	0.0716938	0.123866	0.267431	0.482247
a90	0.00228522	0.00240616	0.00330975	0.00630132	0.0122449	0.0372062	0.0846494	0.251188	0.600409
a94	0.00381171	0.00359882	0.00416256	0.0087861	0.018845	0.0496737	0.0978974	0.248699	0.564525
a57	0.0037061	0.00391014	0.00427731	0.00790721	0.0156519	0.0382761	0.0830424	0.239585	0.603644
a9	0.00546924	0.00533409	0.00659293	0.0128822	0.0215421	0.0452924	0.0943503	0.257163	0.551374
a97	0.00333902	0.00294415	0.00367814	0.00725952	0.0129305	0.0347724	0.0806898	0.230152	0.624234
a87	0.00856446	0.0067772	0.00795904	0.0136646	0.0211245	0.0634972	0.121891	0.261877	0.494646
</S>	0.0127494	0.010637	0.0150086	0.0260969	0.0381459	0.100717	0.160566	0.262978	0.373102
