 	il	est	venu	hier	après	midi	</S>
a85	0.322186	0.176167	0.138069	0.12555	0.0966291	0.0699456	0.0714524
a87	0.317545	0.225206	0.179691	0.0821813	0.0608925	0.0512863	0.0831972
a23	0.250419	0.241615	0.210175	0.0890269	0.0679834	0.0566072	0.0841739
a87	0.395914	0.251831	0.121118	0.034076	0.0332528	0.0506704	0.113139
a23	0.271508	0.203904	0.144536	0.0623676	0.0644188	0.0881784	0.165087
a20	0.398396	0.208464	0.0906579	0.0351652	0.041089	0.079421	0.146806
a94	0.503392	0.221847	0.1096	0.0481018	0.0422043	0.0364101	0.0384447
a24	0.367213	0.303209	0.183237	0.0659112	0.0377841	0.0228787	0.0197679
a41	0.296459	0.284618	0.210284	0.0973112	0.0573185	0.0299878	0.0240208
a35	0.223104	0.259184	0.212592	0.123196	0.085866	0.0517406	0.0443172
a98	0.197757	0.235236	0.198614	0.134722	0.105691	0.0690274	0.0589527
a14	0.143622	0.186891	0.165622	0.136316	0.136133	0.119086	0.112329
a73	0.114616	0.155941	0.183375	0.175227	0.158278	0.112855	0.0997084
a84	0.0938766	0.118381	0.158527	0.179622	0.177158	0.141999	0.130436
a20	0.0656384	0.0789247	0.127126	0.148791	0.183103	0.191325	0.205092
a73	0.0524518	0.0535156	0.0751414	0.10834	0.150491	0.243723	0.316338
a41	0.0339298	0.0380122	0.0702033	0.130922	0.200145	0.251163	0.275624
a18	0.034695	0.0321677	0.0567008	0.124751	0.189021	0.263463	0.299201
a38	0.0286205	0.0232721	0.0305328	0.0825998	0.17179	0.296806	0.366379
a73	0.0233057	0.0172155	0.0222741	0.0640142	0.146519	0.307577	0.419095
a98	0.0254667	0.0165011	0.0212884	0.0634552	0.143236	0.312372	0.41768
a73	0.0329357	0.0219617	0.0279426	0.0709474	0.15141	0.298821	0.395982
a2	0.0239701	0.0162181	0.0202433	0.0556553	0.127789	0.312343	0.443782
a57	0.0151294	0.011411	0.0119009	0.0259789	0.0626512	0.254794	0.618134
a87	0.023788	0.0163432	0.0153794	0.0247033	0.056475	0.207023	0.656288
</S>	0.0170038	0.0110675	0.013512	0.0328454	0.0745529	0.230781	0.620237
